TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,56,Before We Vanish,Super,"$9,799",+17.1%,5,+3,"$1,960","$26,699",-,2
63,54,The Breadwinner,GK,"$8,068",-33.1%,10,-,$807,"$287,774",-,13
64,92,Let there be Light,ADC,"$7,590","+1,064.1%",15,+14,$506,"$7,224,786",-,16
65,N,The Female Brain,IFC,"$6,886",-,2,-,"$3,443","$6,886",-,1
66,64,Deep Sea 3D (IMAX),WB,"$6,125",+24.9%,3,+2,"$2,042","$46,280,365",-,602
67,55,Have a Nice Day,Strand,"$5,876",-47.3%,4,-,"$1,469","$41,760",-,3
68,63,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$5,513",+12.3%,4,-2,"$1,378","$264,821",-,12
69,-,Island of Lemurs: Madagascar (IMAX),WB,"$5,370",-,5,+2,"$1,074","$11,130,186",-,202
70,N,The Peacemaker (2018),Central Squa,"$4,400",-,1,-,"$4,400","$4,400",-,1
71,57,24 Frames,Jan.,"$4,199",-48.2%,2,+1,"$2,100","$18,304",-,2
72,67,Hubble 3D,WB,"$4,022",-6.1%,4,+1,"$1,006","$52,019,098",-,413
73,60,In the Intense Now,Icar.,"$3,222",-42.1%,1,-,"$3,222","$13,772",-,2
74,71,Under the Sea 3D,WB,"$2,971",+2.8%,7,+2,$424,"$35,710,286",-,470
75,65,A Ciambra,IFC,"$2,318",-49.8%,5,-,$464,"$29,812",-,4
76,66,"Roman J. Israel, Esq.",Sony,"$2,176",-50.4%,6,-4,$363,"$11,961,105",$22,13
77,53,Jane (2017),Abr.,"$2,165",-83.9%,3,-7,$722,"$1,681,209",-,17
78,61,In Between,FM,"$2,142",-59.2%,3,-2,$714,"$52,763",-,6
79,59,Beuys,KL,"$2,025",-66.2%,1,-3,"$2,025","$43,052",-,4
80,50,The Final Year,Magn.,"$1,858",-89.3%,3,-17,$619,"$182,217",-,4
81,58,Tom of Finland,KL,"$1,758",-72.5%,2,-,$879,"$359,603",-,18
82,86,Born to Be Wild (IMAX),WB,"$1,536",+69.0%,6,-2,$256,"$25,635,084",-,358
83,-,Signature Move,Newcity,"$1,291",-,1,-,"$1,291","$30,900",-,11
84,69,Django,UTMW,"$1,165",-71.2%,2,-3,$583,"$52,692",-,6
85,70,My Friend Dahmer,FR,"$1,138",-62.2%,1,-1,"$1,138","$1,353,774",-,15
86,85,Memories of Underdevelopment (2017 re-release),Jan.,"$1,089",+15.6%,1,-,"$1,089","$29,245",-,5
87,74,Wastelander,Indic.,"$1,002",-63.0%,2,-1,$501,"$56,481",-,5
88,84,Novitiate,SPC,$900,-8.2%,3,+1,$300,"$580,346",-,16
89,93,The Other Side of Hope,Jan.,$730,+14.6%,1,-,$730,"$183,853",-,11
90,77,Ridge Runners,Indic.,$730,-65.3%,2,-1,$365,"$24,309",-,4
91,89,The Lucky Man,Indic.,$728,-14.0%,1,-,$728,"$23,063",-,-31
92,101,Porto,KL,$648,+278.9%,1,-,$648,"$14,995",-,13
93,87,God's Own Country,Orion,$621,-29.5%,1,-,$621,"$332,220",-,16
94,N,Monster Family,VPD,$576,-,10,-,$58,$576,-,1
95,-,The Sacrifice (2017 re-release),KL,$544,-,1,-,$544,"$50,968",-,17
96,62,BPM (Beats Per Minute),Orch.,$542,-89.1%,2,-3,$271,"$111,377",-,17
97,-,On the Beach at Night Alone,CGld,$511,-,2,-,$256,"$34,666",-,13
98,80,1945,Men.,$460,-68.8%,1,-,$460,"$279,432",-,15
99,83,Please Stand By,Magn.,$410,-58.6%,1,-1,$410,"$8,134",-,3
100,78,Like Me,KL,$280,-86.3%,1,-3,$280,"$12,965",-,3
101,79,Vazante,MBox,$200,-89.3%,2,-3,$100,"$17,774",-,5
102,-,Bob Le Flambeur (2017 re-release),Rialto,$185,-,-,-,n/a,"$9,407",-,6
103,-,Legend of the Mountain (2017 re-release),KL,$58,-,1,-,$58,"$3,333",-,2
