TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
61,39,Ex-File 3 (Qian Ren 3),CL,"$7,648",-80.2%,3,-18,"$2,549","$831,466",-,5
62,62,A Ciambra,IFC,"$7,559",+19.4%,2,+1,"$3,780","$17,433",-,2
63,61,Wonder Wheel,Amazon,"$6,517",+2.1%,5,-1,"$1,303","$1,403,237",-,9
64,57,Wastelander,Indic.,"$5,929",-31.3%,7,-2,$847,"$49,731",-,3
65,58,Ridge Runners,Indic.,"$5,802",-27.6%,6,-1,$967,"$19,256",-,2
66,63,Django,UTMW,"$5,455",-9.2%,7,-,$779,"$40,728",-,4
67,67,Island of Lemurs: Madagascar (IMAX),WB,"$5,373",+7.2%,5,+2,"$1,075","$11,117,279",-,200
68,N,Like Me,KL,"$5,064",-,3,-,"$1,688","$5,664",-,1
69,74,Big Sonia,Argo.,"$5,055",+51.8%,3,+1,"$1,685","$154,416",-,11
70,54,Parchi,ADC,"$4,595",-57.1%,1,-9,"$4,595","$67,123",-,3
71,78,The Breadwinner,GK,"$4,532",+62.1%,4,-,"$1,133","$256,205",-,11
72,69,Under the Sea 3D,WB,"$4,522",-6.5%,5,-1,$904,"$35,701,972",-,468
73,N,Please Stand By,Magn.,"$4,090",-,5,-,$818,"$4,090",-,1
74,59,My Friend Dahmer,FR,"$4,068",-44.4%,1,-1,"$4,068","$1,343,935",-,13
75,46,The Road Movie,Osci.,"$4,019",-76.6%,7,-12,$574,"$28,700",-,2
76,49,Goldbuster,WGUSA,"$4,006",-70.9%,2,-4,"$2,003","$184,075",-,4
77,95,Vazante,MBox,"$3,991",+409.1%,4,+3,$998,"$10,902",-,3
78,83,Born to Be Wild (IMAX),WB,"$3,730",+69.6%,7,+1,$533,"$25,628,328",-,356
79,N,Kickboxer Retaliation,WGUSA,"$3,061",-,10,-,$306,"$3,061",-,1
80,64,In Between,FM,"$2,803",-52.5%,5,-2,$561,"$39,708",-,4
81,-,Chavela,MBox,"$2,789",-,3,-,$930,"$148,666",-,17
82,98,BPM (Beats Per Minute),Orch.,"$2,579",+834.4%,4,+3,$645,"$99,972",-,15
83,71,Birdboy: The Forgotten Children,GK,"$2,393",-35.8%,3,-2,$798,"$33,860",-,7
84,72,Hubble 3D,WB,"$2,177",-39.4%,2,-2,"$1,089","$52,000,383",-,411
85,99,God's Own Country,Orion,"$1,980","+1,177.4%",2,+1,$990,"$326,549",-,14
86,73,Mama Africa Miriam Makeba,Artma,"$1,689",-51.7%,1,-,"$1,689","$8,123",-,2
87,68,Freak Show,IFC,"$1,641",-66.7%,8,+1,$205,"$16,136",-,3
88,90,Novitiate,SPC,"$1,427",-5.1%,4,-2,$357,"$577,501",-,14
89,88,The Lucky Man,Indic.,"$1,388",-19.4%,2,-,$694,"$20,736",-,-35
90,70,1945,Men.,"$1,334",-64.3%,2,-4,$667,"$272,771",-,13
91,101,On the Beach at Night Alone,CGld,"$1,054","+1,686.4%",3,+2,$351,"$33,869",-,11
92,N,West of the Jordan River,KL,"$1,047",-,1,-,"$1,047","$1,047",-,1
93,93,The Divine Order,Zeit.,"$1,046",+15.2%,3,+1,$349,"$68,046",-,14
94,76,Memories of Underdevelopment (2017 re-release),Jan.,"$1,003",-65.6%,1,-,"$1,003","$22,792",-,3
95,-,The Ghosts of Johnson Woods,DWOES,$810,-,1,-,$810,"$3,145",-,5
96,100,Shadowman,FM,$808,"+1,006.8%",3,+2,$269,"$12,380",-,9
97,89,The Other Side of Hope,Jan.,$716,-58.3%,1,-,$716,"$181,322",-,9
98,-,Space Station 3-D (IMAX),Imax,$612,-,2,-,$306,"$93,315,534",-,809
99,-,Aida's Secrets,MBox,$559,-,2,-,$280,"$98,468",-,15
100,79,The Sacrifice (2017 re-release),KL,$453,-83.1%,1,-2,$453,"$43,989",-,15
101,81,Same Kind of Different as Me,PFR,$420,-83.1%,3,-6,$140,"$6,423,312",-,15
102,-,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,$350,-,1,-,$350,"$27,643",-,19
103,66,Youth (2017),CL,$238,-95.5%,1,-2,$238,"$1,891,956",-,7
104,86,Tom of Finland,KL,$76,-95.9%,2,-,$38,"$348,362",-,16
