TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$35,316,382",-,"4,071",-,"$8,675","$35,316,382",$135,1
2,1,X-Men: Apocalypse,Fox,"$22,825,484",-65.3%,"4,153",+3,"$5,496","$116,998,716",$178,2
3,N,Me Before You,WB (NL),"$18,723,269",-,"2,704",-,"$6,924","$18,723,269",$20,1
4,2,Alice Through the Looking Glass,BV,"$11,314,635",-57.9%,"3,763",-,"$3,007","$51,396,232",$170,2
5,3,The Angry Birds Movie,Sony,"$10,214,076",-45.6%,"3,484",-448,"$2,932","$87,116,802",$73,3
6,4,Captain America: Civil War,BV,"$7,829,479",-49.1%,"3,084",-311,"$2,539","$389,178,636",$250,5
7,5,Neighbors 2: Sorority Rising,Uni.,"$4,863,365",-48.0%,"2,417",-999,"$2,012","$48,723,590",-,3
8,N,Popstar: Never Stop Never Stopping,Uni.,"$4,698,715",-,"2,311",-,"$2,033","$4,698,715",-,1
9,6,The Jungle Book (2016),BV,"$4,445,272",-37.3%,"1,990",-533,"$2,234","$347,667,933",$175,8
10,7,The Nice Guys,WB,"$3,453,344",-47.0%,"1,888",-977,"$1,829","$29,054,194",$50,3
11,9,Love & Friendship,RAtt.,"$2,139,663",-11.3%,819,+326,"$2,613","$7,022,037",-,4
12,8,Money Monster,TriS,"$1,865,537",-56.9%,"1,323",-992,"$1,410","$38,304,947",$27,4
13,11,The Lobster (US Release),A24,"$1,457,928",+94.1%,560,+444,"$2,603","$3,529,045",-,4
14,N,A Aa,BSC,"$1,213,057",-,115,-,"$10,548","$1,708,668",-,1
15,10,Zootopia,BV,"$753,723",-6.0%,400,-172,"$1,884","$337,183,405",-,14
16,N,Housefull 3,Eros,"$683,620",-,145,-,"$4,715","$683,620",-,1
17,14,Batman v Superman: Dawn of Justice,WB,"$286,178",-44.7%,270,-91,"$1,060","$329,905,951",$250,11
18,15,The Man Who Knew Infinity,IFC,"$276,638",-36.0%,195,-93,"$1,419","$2,932,277",-,6
19,13,The Meddler,SPC,"$255,225",-51.5%,232,-188,"$1,100","$3,645,380",-,7
20,-,The Wailing (Goksung),WGUSA,"$218,520",-,32,-,"$6,829","$296,812",-,3
21,24,Weiner,IFC,"$201,007",+26.9%,58,+31,"$3,466","$593,048",-,3
22,29,WARx2,WARX2,"$182,549",+88.2%,14,+4,"$13,039","$1,424,191",-,19
23,12,The Darkness,BH Tilt,"$176,186",-75.3%,208,-796,$847,"$10,411,993",-,4
24,16,A Bigger Splash,FoxS,"$162,260",-60.0%,220,-158,$738,"$1,725,790",-,5
25,28,Maggie's Plan,SPC,"$142,631",+37.1%,34,+15,"$4,195","$395,549",-,3
26,17,The Huntsman: Winter's War,Uni.,"$136,200",-62.8%,167,-207,$816,"$47,804,160",$115,7
27,25,A Beautiful Planet,Imax,"$127,553",-19.4%,39,-3,"$3,271","$1,881,710",-,6
28,19,Miracles from Heaven,TriS,"$108,053",-57.1%,159,-48,$680,"$61,251,744",$13,12
29,21,The Boss,Uni.,"$102,855",-55.7%,157,-74,$655,"$62,900,550",$29,9
30,22,Mother's Day,ORF,"$98,400",-56.3%,208,-127,$473,"$32,364,994",$25,6
