TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Finding Dory,BV,"$72,959,954",-46.0%,"4,305",-,"$16,948","$286,277,856",-,2
2,N,Independence Day: Resurgence,Fox,"$41,039,944",-,"4,130",-,"$9,937","$41,039,944",$165,1
3,2,Central Intelligence,WB (NL),"$18,241,416",-48.7%,"3,508",-,"$5,200","$69,173,874",$50,2
4,N,The Shallows,Sony,"$16,800,868",-,"2,962",-,"$5,672","$16,800,868",$17,1
5,3,The Conjuring 2,WB (NL),"$7,702,194",-48.2%,"3,033",-323,"$2,539","$86,903,628",$40,3
6,N,Free State of Jones,STX,"$7,572,206",-,"2,815",-,"$2,690","$7,572,206",$50,1
7,4,Now You See Me 2,LG/S,"$5,593,399",-40.3%,"2,745",-487,"$2,038","$51,997,613",-,3
8,6,X-Men: Apocalypse,Fox,"$2,489,881",-53.1%,"1,679",-953,"$1,483","$151,141,872",$178,5
9,7,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$2,464,351",-53.1%,"1,947","-1,139","$1,266","$77,181,906",$135,4
10,5,Warcraft,Uni.,"$2,247,420",-69.0%,"1,952","-1,454","$1,151","$44,003,890",$160,3
11,9,Me Before You,WB (NL),"$1,937,092",-50.5%,"1,538","-1,107","$1,259","$51,239,843",$20,4
12,8,Alice Through the Looking Glass,BV,"$1,852,805",-56.8%,495,"-1,385","$3,743","$74,279,668",$170,5
13,10,Captain America: Civil War,BV,"$1,368,558",-41.3%,753,-681,"$1,817","$403,857,288",$250,8
14,12,The Jungle Book (2016),BV,"$1,257,732",-15.5%,478,-475,"$2,631","$358,041,523",$175,11
15,N,The Neon Demon,BG,"$589,014",-,783,-,$752,"$589,014",-,1
16,15,Love & Friendship,RAtt.,"$468,219",-36.4%,281,-216,"$1,666","$11,864,113",-,7
17,11,The Angry Birds Movie,Sony,"$454,961",-73.1%,443,"-1,578","$1,027","$104,934,754",$73,6
18,16,The Lobster (US Release),A24,"$403,661",-33.0%,210,-109,"$1,922","$7,002,686",-,7
19,14,The Nice Guys,WB,"$400,341",-51.3%,291,-231,"$1,376","$34,986,172",$50,6
20,18,Maggie's Plan,SPC,"$273,940",-36.4%,203,-132,"$1,349","$2,255,796",-,6
21,13,Zootopia,BV,"$271,891",-71.3%,233,-72,"$1,167","$340,361,033",-,17
22,21,WARx2,WARX2,"$245,418",-9.2%,16,-,"$15,339","$2,088,662",-,25
23,20,Genius,RAtt.,"$213,984",-28.3%,152,+18,"$1,408","$804,785",-,3
24,19,Neighbors 2: Sorority Rising,Uni.,"$154,220",-56.2%,189,-275,$816,"$54,917,360",-,6
25,17,Gentleman,Gaatri,"$130,560",-75.7%,70,-56,"$1,865","$772,740",-,2
26,26,A Beautiful Planet,Imax,"$119,394",-3.0%,35,-4,"$3,411","$2,716,339",-,9
27,22,Money Monster,TriS,"$107,618",-53.0%,131,-155,$822,"$40,545,182",$27,7
28,N,Swiss Army Man,A24,"$105,453",-,3,-,"$35,151","$105,453",-,1
29,24,Weiner,IFC,"$103,621",-19.1%,88,+8,"$1,178","$1,214,893",-,6
30,38,The Music of Strangers,Orch.,"$96,204",+212.4%,43,+32,"$2,237","$182,827",-,3
31,27,Dark Horse (2016),SPC,"$88,580",+20.1%,74,+31,"$1,197","$489,237",-,8
32,25,The Man Who Knew Infinity,IFC,"$81,786",-36.1%,66,-22,"$1,239","$3,549,835",-,9
33,N,Hunt for the Wilderpeople,Orch.,"$78,439",-,5,-,"$15,688","$78,439",-,1
34,N,Three,WGUSA,"$58,196",-,23,-,"$2,530","$58,196",-,1
35,43,Tickled,Magn.,"$56,309",+157.1%,18,+16,"$3,128","$93,991",-,2
36,28,Barbershop: The Next Cut,WB (NL),"$51,725",-23.5%,80,-41,$647,"$53,888,117",-,11
37,29,The Meddler,SPC,"$47,722",-28.1%,59,-35,$809,"$4,124,107",-,10
38,34,The Darkness,BH Tilt,"$43,564",+3.5%,79,-27,$551,"$10,732,841",-,7
39,33,Miracles from Heaven,TriS,"$38,933",-15.0%,75,-18,$519,"$61,561,170",$13,15
40,32,Keanu,WB (NL),"$38,257",-31.1%,115,-8,$333,"$20,566,327",$15,9
41,35,Eye in the Sky,BST,"$26,655",-36.4%,47,-19,$567,"$18,629,319",-,16
42,46,AmeriGeddon,Forewarned,"$26,256",+29.6%,21,+10,"$1,250","$316,554",-,5
43,53,The Fits,Osci.,"$25,092",+115.0%,20,+13,"$1,255","$80,848",-,4
44,N,Wiener-Dog,IFC,"$24,311",-,2,-,"$12,156","$24,311",-,1
45,42,Kung Fu Panda 3,Fox,"$23,331",-0.5%,47,-6,$496,"$143,446,022",$145,22
46,37,A Bigger Splash,FoxS,"$20,556",-40.9%,20,-17,"$1,028","$1,982,505",-,8
47,31,The Wailing (Goksung),WGUSA,"$19,379",-65.9%,14,-9,"$1,384","$715,211",-,6
48,N,Eat That Question: Frank Zappa in His Own Words,SPC,"$16,695",-,2,-,"$8,348","$16,695",-,1
49,40,Sing Street,Wein.,"$16,438",-38.7%,33,-22,$498,"$3,075,082",-,11
50,36,De Palma,A24,"$15,981",-55.4%,19,-,$841,"$121,639",-,3
51,49,The Witness,FR,"$15,255",-16.6%,15,+6,"$1,017","$82,876",-,4
52,48,Dheepan,IFC,"$15,023",-23.0%,26,+2,$578,"$212,355",-,8
53,55,Dough,Men.,"$14,543",+34.9%,11,+1,"$1,322","$1,036,623",-,20
54,44,"Hello, My Name is Doris",RAtt.,"$13,890",-33.0%,29,-18,$479,"$14,406,753",-,16
55,N,Les cowboys,Cohen,"$13,178",-,4,-,"$3,295","$13,178",-,1
56,52,A Hologram for the King,RAtt.,"$8,839",-26.8%,14,-2,$631,"$4,198,183",-,10
57,N,The Kind Words,Strand,"$8,571",-,1,-,"$8,571","$8,571",-,1
58,-,Therapy for a Vampire,MBox,"$8,318",-,9,-,$924,"$14,150",-,3
59,59,"My Love, Don't Cross that River",FM,"$7,822",+23.4%,6,+4,"$1,304","$19,537",-,2
60,45,God's Not Dead 2,PFR,"$7,292",-64.8%,19,+7,$384,"$20,748,319",-,13
61,57,Seoul Searching,Wonder,"$7,204",-19.7%,2,+1,"$3,602","$18,654",-,2
62,60,Born to Be Wild (IMAX),WB,"$6,685",+30.2%,7,-1,$955,"$24,776,394",-,273
63,70,Our Last Tango,Strand,"$6,153",+137.5%,6,+3,"$1,026","$87,857",-,11
64,41,Raiders!: The Story of the Greatest Fan Film Ever Made,Drft.,"$5,799",-77.7%,12,-12,$483,"$42,005",-,2
65,N,"Right Now, Wrong Then",Ghop,"$5,291",-,2,-,"$2,646","$5,291",-,1
66,58,High-Rise,Magn.,"$4,931",-42.4%,8,-,$616,"$308,910",-,7
67,54,Sunset Song,Magn.,"$4,918",-57.3%,8,-6,$615,"$126,268",-,7
68,50,Diary of a Chambermaid,Cohen,"$4,835",-71.3%,8,-1,$604,"$46,661",-,3
69,93,Unlocking the Cage,FRun,"$4,776","+1,143.8%",1,-,"$4,776","$21,522",-,5
70,61,Jimmy Vestvood: Amerikan Hero,SkyI,"$4,709",-5.8%,3,-2,"$1,570","$201,638",-,7
71,39,Clown,W/Dim.,"$4,115",-84.7%,22,-78,$187,"$51,809",-,2
72,91,Golden Kingdom,KL,"$3,894",+602.9%,2,+1,"$1,947","$8,077",-,2
73,56,Wedding Doll,Strand,"$3,672",-61.2%,4,-3,$918,"$49,804",-,11
74,51,Miles Ahead,SPC,"$3,486",-76.5%,7,-12,$498,"$2,595,006",-,13
75,71,L'attesa,Osci.,"$2,883",+15.5%,4,-2,$721,"$52,407",-,9
76,-,Francofonia,MBox,"$2,834",-,4,-,$709,"$302,762",-,13
77,64,Saturday's Warrior,Purd.,"$2,672",-37.3%,5,-3,$534,"$643,864",-,13
78,81,Under the Sea 3D,WB,"$2,580",+100.3%,6,+2,$430,"$35,052,287",-,385
79,-,Ran (2016 re-issue),Rialto,"$1,851",-,1,-,"$1,851","$66,097",-,18
80,78,Paths of the Soul,Icar.,"$1,700",+4.6%,2,+1,$850,"$16,918",-,7
81,68,Green Room,A24,"$1,653",-43.0%,4,-4,$413,"$3,214,607",-,11
82,N,The Vigilante Diaries,Anch.,"$1,650",-,2,-,$825,"$1,650",-,1
83,-,Fireworks Wednesday,Ghop,"$1,559",-,1,-,"$1,559","$80,193",-,13
84,66,Germans & Jews,FRun,"$1,512",-54.3%,1,-,"$1,512","$17,380",-,3
85,74,Presenting Princess Shaw,Magn.,"$1,403",-36.4%,2,-2,$702,"$32,227",-,5
86,N,Breaking a Monster,Abr.,"$1,302",-,1,-,"$1,302","$1,302",-,1
87,67,Viva,Magn.,"$1,164",-63.0%,2,-5,$582,"$177,062",-,9
88,76,The Fallen Idol (2016 re-issue),Rialto,"$1,140",-37.9%,1,-1,"$1,140","$47,617",-,5
89,88,Island of Lemurs: Madagascar (IMAX),WB,"$1,092",+58.7%,4,-2,$273,"$10,655,406",-,117
90,80,Hockney,FM,"$1,024",-21.2%,2,-,$512,"$115,145",-,10
91,73,Argentina,FRun,"$1,002",-55.9%,1,-,"$1,002","$5,468",-,2
92,62,From Afar,Strand,$941,-80.5%,2,-,$471,"$18,300",-,3
93,-,Los Sures,Osci.,$833,-,1,-,$833,"$82,019",-,9
94,96,Hubble 3D,WB,$808,+676.9%,3,+2,$269,"$51,691,030",-,328
95,87,Band of Outsiders (2016 re-issue),Rialto,$748,-8.3%,1,-,$748,"$28,555",-,8
96,63,The Last King,Magn.,$666,-85.5%,1,-2,$666,"$8,550",-,2
97,-,Almost Holy,Orch.,$400,-,3,-,$133,"$19,400",-,5
98,-,Deep Sea 3D (IMAX),WB,$349,-,1,-,$349,"$46,208,107",-,513
99,84,Journey to the South Pacific,Imax,$305,-70.2%,4,+1,$76,"$7,136,759",-,135
100,-,Galapagos (IMAX),Imax,$278,-,4,-,$70,"$18,562,806",-,817
