TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Sully,WB,"$21,653,017",-38.2%,"3,525",-,"$6,143","$70,194,368",$60,2
2,N,Blair Witch,LGF,"$9,576,057",-,"3,121",-,"$3,068","$9,576,057",$5,1
3,N,Bridget Jones's Baby,Uni.,"$8,571,785",-,"2,927",-,"$2,929","$8,571,785",$35,1
4,N,Snowden,ORF,"$8,000,058",-,"2,443",-,"$3,275","$8,000,058",$40,1
5,3,Don't Breathe,SGem,"$5,640,232",-31.6%,"3,208",-176,"$1,758","$75,369,013",$9.9,4
6,2,When the Bough Breaks,SGem,"$5,483,126",-61.4%,"2,246",-,"$2,441","$22,655,858",$10,2
7,4,Suicide Squad,WB,"$4,701,834",-17.8%,"2,740",-363,"$1,716","$313,774,166",$175,7
8,5,The Wild Life (2016),LG/S,"$2,771,443",-17.1%,"2,493",-,"$1,112","$6,785,712",-,2
9,6,Kubo and the Two Strings,Focus,"$2,540,031",-23.1%,"1,757",-578,"$1,446","$44,272,005",$60,5
10,7,Pete's Dragon (2016),BV,"$2,152,802",-30.6%,"1,948",-737,"$1,105","$72,917,327",$65,6
11,9,Hell or High Water,LGF,"$2,074,974",-15.7%,"1,505",+60,"$1,379","$22,875,505",$12,6
12,8,Bad Moms,STX,"$1,765,403",-31.9%,"1,486",-402,"$1,188","$110,010,331",$20,8
13,N,Hillsong - Let Hope Rise,PFR,"$1,357,243",-,816,-,"$1,663","$1,357,243",-,1
14,11,No Manches Frida,PNT,"$1,291,512",-38.9%,456,-9,"$2,832","$9,195,621",-,3
15,16,The Secret Life of Pets,Uni.,"$1,231,895",-20.1%,"1,005",-405,"$1,226","$363,388,255",$75,11
16,10,Sausage Party,Sony,"$1,203,151",-48.6%,"1,181",-890,"$1,019","$95,338,012",$19,6
17,14,Jason Bourne,Uni.,"$1,098,085",-37.1%,"1,008",-502,"$1,089","$160,408,000",$120,8
18,12,War Dogs,WB,"$1,025,050",-49.4%,902,-879,"$1,136","$41,675,235",-,5
19,15,Mechanic: Resurrection,LG/S,"$802,401",-53.2%,958,-943,$838,"$20,142,970",-,4
20,13,The Light Between Oceans,BV,"$785,939",-57.5%,"1,133",-367,$694,"$11,186,715",$20,3
21,N,The Beatles: Eight Days a Week - The Touring Years,Abr.,"$785,336",-,85,-,"$9,239","$785,336",-,1
22,18,Star Trek Beyond,Par.,"$618,720",-33.6%,508,-240,"$1,218","$157,552,406",$185,9
23,19,Florence Foster Jenkins,Par.,"$392,863",-54.0%,235,-827,"$1,672","$26,555,545",$29,6
24,17,The Disappointments Room,Rela.,"$377,322",-73.1%,"1,554",-,$243,"$2,218,098",$15,2
25,N,Mr. Church,Free,"$338,551",-,354,-,$956,"$338,551",-,1
26,23,Finding Dory,BV,"$292,000",-30.3%,292,-198,"$1,000","$483,931,392",-,14
27,28,Ice Age: Collision Course,Fox,"$238,035",-13.0%,239,-70,$996,"$63,463,371",$105,9
28,21,Ben-Hur (2016),Par.,"$231,766",-59.5%,240,-734,$966,"$26,041,585",$100,5
29,24,Lights Out,WB (NL),"$210,401",-32.9%,282,-66,$746,"$67,056,461",$4.9,9
30,27,Ghostbusters (2016),Sony,"$204,513",-27.4%,225,-131,$909,"$127,264,100",$144,10
31,35,Nerve,LGF,"$195,882",+38.9%,244,+31,$803,"$38,303,575",$19,8
32,26,Don't Think Twice,TFA,"$188,151",-36.2%,140,-35,"$1,344","$3,795,007",-,9
33,N,Digimon Adventure tri.,Elev.,"$163,005",-,457,-,$357,"$180,815",-,1
34,20,Baar Baar Dekho,Eros,"$143,325",-76.6%,146,-,$982,"$901,988",-,2
35,32,The BFG,BV,"$135,384",-21.0%,179,-32,$756,"$55,246,405",$140,12
36,30,Nine Lives (2016),EC,"$127,078",-27.7%,193,-74,$658,"$19,314,140",$30,7
37,41,The Hollars,SPC,"$117,354",+85.9%,97,+65,"$1,210","$407,322",-,4
38,33,Greater,Ham,"$116,255",-24.6%,107,-46,"$1,086","$1,743,459",-,4
39,36,Hunt for the Wilderpeople,Orch.,"$87,218",-7.5%,76,-10,"$1,148","$4,901,524",-,13
40,34,Cafe Society,LGF,"$84,681",-41.2%,89,-53,$951,"$10,894,248",-,10
41,25,Southside with You,RAtt.,"$81,874",-72.9%,114,-330,$718,"$6,188,716",-,4
42,37,Captain Fantastic,BST,"$76,342",-15.5%,83,-11,$920,"$5,605,657",-,11
43,40,A Beautiful Planet,Imax,"$65,932",+3.8%,32,-2,"$2,060","$6,146,827",-,21
44,54,Kicks,FCW,"$64,051",+99.5%,65,+62,$985,"$105,459",-,2
45,39,Train to Busan,WGUSA,"$49,997",-25.7%,20,+4,"$2,500","$1,947,399",-,9
46,55,The People vs. Fritz Bauer,Cohen,"$43,003",+40.5%,35,+14,"$1,229","$236,279",-,5
47,45,The Shallows,Sony,"$40,894",-25.7%,37,-14,"$1,105","$55,096,601",$17,13
48,N,Victor,CZ,"$38,594",-,12,-,"$3,216","$44,674",-,1
49,46,Little Men (2016),Magn.,"$37,495",-30.7%,43,-16,$872,"$573,258",-,7
50,22,Morgan,Fox,"$35,516",-93.0%,99,"-1,921",$359,"$3,865,093",$8,3
51,N,Cock and Bull,CL,"$33,231",-,12,-,"$2,769","$33,231",-,1
52,38,Equity,SPC,"$29,798",-62.8%,44,-150,$677,"$1,524,681",-,8
53,N,3 Weeks in Yerevan,RME,"$29,245",-,3,-,"$9,748","$29,245",-,1
54,47,The Jungle Book (2016),BV,"$29,086",-44.1%,57,-30,$510,"$363,976,270",$175,23
55,44,Indignation,RAtt.,"$29,020",-51.9%,37,-35,$784,"$3,271,075",-,8
56,57,White Girl,FR,"$27,495",+4.2%,16,+8,"$1,718","$117,784",-,3
57,83,Dancer,IFC,"$26,050",+264.8%,6,+5,"$4,342","$35,014",-,2
58,43,A Tale of Love and Darkness,Focus,"$24,982",-58.6%,33,-31,$757,"$527,918",-,5
59,31,Hands of Stone,Wein.,"$24,566",-86.0%,105,-998,$234,"$4,664,146",-,4
60,49,Mia Madre,MBox,"$21,693",-46.4%,20,-15,"$1,085","$223,226",-,4
61,N,Wild Oats,W/Dim.,"$21,554",-,100,-,$216,"$21,554",-,1
