TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
64,-,Chasing Trane: The John Coltrane Documentary,Abr.,"$12,314",-,6,-,"$2,052","$406,284",-,18
65,71,The King's Choice,Gold.,"$11,736",+49.5%,5,+3,"$2,347","$24,804",-,2
66,64,Unrest,INDEP,"$11,258",+6.1%,6,+5,"$1,876","$24,851",-,2
67,48,Maudie,SPC,"$8,879",-61.8%,18,-26,$493,"$6,139,048",-,25
68,-,The Tiger Hunter,Shout!,"$7,879",-,23,-19,$343,"$58,905",-,2
69,59,Lost in Paris,Osci.,"$7,783",-37.7%,12,+1,$649,"$667,412",-,16
70,73,The Last Dalai Lama?,Mats.,"$7,690",+7.7%,8,-10,$961,"$120,413",-,13
71,70,Island of Lemurs: Madagascar (IMAX),WB,"$6,508",-20.6%,3,-,"$2,169","$10,916,802",-,183
72,88,Napping Princess,GK,"$6,282",+113.3%,4,-6,"$1,571","$46,021",-,4
73,79,Journey to the South Pacific,Imax,"$6,276",+15.8%,2,-,"$3,138","$7,564,827",-,201
74,N,The Pathological Optimist,TFA,"$5,946",-,1,-,"$5,946","$5,946",-,1
75,62,Manolo: The Boy Who Made Shoes for Lizards,MBox,"$5,912",-47.1%,9,-2,$657,"$39,504",-,3
76,47,Shubh Mangal Saavdhan,Eros,"$5,893",-75.3%,80,-,$74,"$687,869",-,5
77,60,Wish Upon,BG,"$5,298",-57.3%,11,-14,$482,"$14,298,385",$12,12
78,72,Step (2017),FoxS,"$5,009",-30.4%,8,-4,$626,"$1,137,759",-,9
79,75,Marjorie Prime,FR,"$4,968",-22.6%,5,-2,$994,"$168,703",-,7
80,-,Saving Brinton,BOP,"$4,916",-,2,-,"$2,458","$10,296",-,3
81,58,The Midwife,MBox,"$4,713",-64.6%,8,-15,$589,"$589,394",-,11
82,67,A Taxi Driver,WGUSA,"$4,326",-53.9%,7,-,$618,"$1,526,393",-,8
83,69,Memoir of a Murderer,WGUSA,"$3,823",-56.2%,3,-3,"$1,274","$89,649",-,4
84,57,Polina,Osci.,"$3,689",-74.2%,9,-10,$410,"$158,256",-,6
85,68,Detroit,Annapurna,"$3,667",-59.5%,21,-23,$175,"$16,784,436",$34,10
86,55,Good Time,A24,"$3,390",-79.3%,13,-11,$261,"$1,984,611",-,8
87,66,School Life,Magn.,"$3,063",-68.3%,8,-5,$383,"$26,963",-,4
88,77,Ribbons,Indic.,"$3,012",-47.3%,3,-2,"$1,004","$12,742",-,2
89,80,Whose Streets?,Magn.,"$2,882",-37.8%,9,-2,$320,"$180,214",-,8
90,104,Brigsby Bear,SPC,"$2,515",+102.0%,5,-1,$503,"$529,426",-,10
91,85,The Fencer,CFI,"$2,397",-29.7%,4,-,$599,"$87,679",-,11
92,78,Patti Cake$,FoxS,"$2,389",-57.0%,7,-4,$341,"$794,817",-,7
93,93,Born to Be Wild (IMAX),WB,"$2,223",-8.7%,5,-2,$445,"$25,549,078",-,339
94,95,May It Last: A Portrait Of The Avett Brothers,Osci.,"$2,203",+5.5%,4,+1,$551,"$702,789",-,3
95,74,Bobbi Jene,Osci.,"$2,196",-68.8%,1,-,"$2,196","$13,275",-,2
96,100,"Love, Kennedy",Purd.,"$2,114",+47.9%,3,+1,$705,"$405,632",-,18
97,92,Under the Sea 3D,WB,"$2,097",-19.8%,3,-,$699,"$35,628,085",-,451
98,81,Walk With Me,Gathr,"$2,058",-50.1%,37,+3,$56,"$280,402",-,8
99,52,Because of Gracia,AAE,"$2,000",-89.5%,9,-11,$222,"$89,604",-,3
100,82,Trophy,Orch.,"$1,873",-54.4%,21,+2,$89,"$16,245",-,4
101,98,Il Boom (2017 re-release),Rialto,"$1,771",+16.7%,1,-,"$1,771","$52,695",-,16
102,109,Man from Outerspace,Indic.,"$1,655",+93.6%,2,-,$828,"$7,546",-,4
103,96,Thirst Street,Gold.,"$1,652",-4.9%,1,-,"$1,652","$5,027",-,2
104,91,Beatriz At Dinner,RAtt.,"$1,622",-38.5%,3,-6,$541,"$7,115,326",-,17
105,83,The Women's Balcony,Men.,"$1,519",-60.3%,3,-3,$506,"$1,183,969",-,31
106,110,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,"$1,419",+78.3%,2,-,$710,"$19,700",-,8
107,54,Rat Film,CGld,"$1,325",-92.5%,1,-1,"$1,325","$22,837",-,3
108,105,Paradise Club,Indic.,"$1,310",+6.3%,2,-,$655,"$9,196",-,4
109,65,Lady Macbeth,RAtt.,"$1,251",-87.6%,6,-8,$209,"$1,127,938",-,12
110,-,In Pursuit of Silence,CGld,"$1,247",-,1,-,"$1,247","$23,384",-,15
111,76,Rumble: The Indians Who Rocked The World,KL,"$1,029",-83.5%,3,-9,$343,"$196,250",-,20
112,103,Crown Heights,IFC,"$1,020",-22.4%,3,-2,$340,"$238,127",-,7
113,-,The Teacher,FM,$962,-,2,-,$481,"$51,862",-,5
114,-,Bugs,KL,$951,-,1,-,$951,"$1,473",-,17
115,-,The Villainess,WGUSA,$927,-,4,-,$232,"$26,719",-,6
116,111,Dawson City: Frozen Time,KL,$884,+16.6%,2,-1,$442,"$122,207",-,53
117,63,The Force (2017),KL,$872,-92.2%,2,-3,$436,"$54,487",-,12
118,-,Pop Aye,KL,$633,-,1,-,$633,"$71,128",-,14
119,86,Last Rampage,EpicPics,$626,-79.5%,1,-17,$626,"$5,937",-,2
120,124,Lemon,Magn.,$538,+114.3%,2,-1,$269,"$29,074",-,7
121,112,Simple Creature,Indic.,$525,-29.9%,2,-,$263,"$21,982",-,9
122,106,"We Love You, Sally Carmichael!",Purd.,$412,-62.1%,1,-1,$412,"$113,284",-,9
123,89,The Nile Hilton Incident,Strand,$397,-86.1%,1,-2,$397,"$77,377",-,8
124,128,13 Minutes,SPC,$255,+44.9%,1,-,$255,"$160,450",-,14
125,121,The Challenge (2017),KL,$237,-49.3%,1,-,$237,"$6,430",-,4
126,-,Hidden Figures,Fox,$230,-,1,-,$230,"$169,385,416",$25,41
127,90,Wolf Warrior 2,HC,$198,-92.6%,1,-2,$198,"$2,720,898",$30.1,10
128,-,The Wound,KL,$147,-,1,-,$147,"$27,534",-,29
129,126,Harold and Lillian: A Hollywood Love Story,Zeit.,$112,-46.9%,1,-,$112,"$78,301",-,23
130,123,The Hero,Orch.,$111,-63.6%,1,-,$111,"$4,076,366",-,17
131,-,The Untamed,Strand,$98,-,1,-,$98,"$26,750",-,10
