TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Kung Fu Panda 3,Fox,"$41,282,042",-,"3,955",-,"$10,438","$41,282,042",$145,1
2,1,The Revenant,Fox,"$12,779,530",-20.2%,"3,330",-381,"$3,838","$138,550,898",$135,6
3,2,Star Wars: The Force Awakens,BV,"$11,116,684",-21.0%,"2,556",-809,"$4,349","$895,760,846",$245,7
4,N,The Finest Hours,BV,"$10,288,932",-,"3,143",-,"$3,274","$10,288,932",-,1
5,3,Ride Along 2,Uni.,"$8,426,610",-32.3%,"2,412",-780,"$3,494","$70,856,300",$40,3
6,4,Dirty Grandpa,LGF,"$7,591,049",-31.7%,"2,912",-,"$2,607","$22,837,059",$25,2
7,5,The Boy (2016),STX,"$7,551,388",-29.9%,"2,671",-,"$2,827","$21,185,304",$10,2
8,6,The 5th Wave,Sony,"$7,142,826",-30.8%,"2,908",-,"$2,456","$20,330,975",$38,2
9,7,13 Hours: The Secret Soldiers of Benghazi,Par.,"$6,274,244",-30.5%,"2,803",-114,"$2,238","$42,848,089",$50,3
10,N,Fifty Shades of Black,ORF,"$5,900,528",-,"2,075",-,"$2,844","$5,900,528",-,1
11,10,The Big Short,Par.,"$3,063,220",-3.6%,983,-368,"$3,116","$60,963,697",$28,8
12,8,Daddy's Home,Par.,"$3,056,042",-38.1%,"1,718","-1,071","$1,779","$143,036,385",-,6
13,12,Brooklyn,FoxS,"$1,761,149",+2.4%,748,-214,"$2,354","$30,432,320",-,13
14,15,Room,A24,"$1,236,878",-7.4%,795,-67,"$1,556","$9,901,663",-,16
15,16,Spotlight,ORF,"$1,200,039",-5.8%,715,-315,"$1,678","$34,765,827",-,13
16,9,Norm of the North,LGF,"$972,321",-74.6%,"1,506",-905,$646,"$15,964,838",-,3
17,N,Jane Got a Gun,Wein.,"$835,572",-,"1,210",-,$691,"$835,572",-,1
18,14,The Hateful Eight,Wein.,"$719,694",-47.3%,505,-772,"$1,425","$52,368,676",$44,6
19,11,Sisters,Uni.,"$646,485",-63.5%,529,"-1,073","$1,222","$86,119,480",$30,7
20,17,Joy,Fox,"$574,953",-49.4%,447,-519,"$1,286","$55,368,577",$60,6
21,N,2016 Oscar Nominated Short Films,Shrts.,"$559,502",-,123,-,"$4,549","$559,502",-,1
22,19,Ip Man 3,WGUSA,"$526,338",-32.9%,115,+12,"$4,577","$1,643,671",-,2
23,31,45 Years,IFC,"$473,729",+196.4%,93,+54,"$5,094","$1,260,217",-,6
24,18,Alvin and the Chipmunks: The Road Chip,Fox,"$459,571",-58.4%,453,-751,"$1,015","$83,281,601",-,7
25,13,The Forest,Focus,"$442,930",-73.6%,532,"-1,478",$833,"$25,943,940",$10,4
26,20,Carol,Wein.,"$435,966",-32.4%,313,-379,"$1,393","$11,403,211",-,11
27,25,Anomalisa,Par.,"$355,848",-2.4%,169,+26,"$2,106","$1,933,392",$8,5
28,29,The Lady in the Van,SPC,"$300,387",+71.4%,50,+20,"$6,008","$721,680",-,8
29,22,The Good Dinosaur,BV,"$293,553",-41.7%,285,-182,"$1,030","$120,421,192",-,10
30,24,Creed,WB (NL),"$283,139",-34.2%,248,-310,"$1,142","$108,691,646",$35,10
31,23,The Hunger Games: Mockingjay - Part 2,LGF,"$270,044",-43.4%,254,-262,"$1,063","$280,737,534",$160,11
32,21,The Danish Girl,Focus,"$258,960",-50.8%,224,-570,"$1,156","$10,332,364",-,10
33,27,The Martian,Fox,"$211,935",-24.6%,230,-46,$921,"$227,938,641",$108,18
34,26,Bridge of Spies,BV,"$201,117",-41.1%,218,-305,$923,"$71,884,220",$40,16
35,38,Son of Saul,SPC,"$164,298",+79.1%,55,+21,"$2,987","$716,129",-,7
36,-,Patterns of Evidence: The Exodus,TMF,"$161,267",-,652,-,$247,"$925,576",-,2
37,28,Concussion (2015),Sony,"$160,954",-37.7%,158,-157,"$1,019","$34,099,541",$35,6
38,35,Point Break (2015),WB,"$152,309",+59.9%,172,+34,$886,"$28,457,841",$105,6
39,30,Spectre,Sony,"$132,751",-22.0%,195,-22,$681,"$199,475,816",$245,13
40,32,The Peanuts Movie,Fox,"$110,309",-27.0%,179,-41,$616,"$129,889,987",$99,13
41,N,Lazer Team,Ampl.,"$108,586",-,35,-,"$3,102","$1,117,333",-,1
42,33,In the Heart of the Sea,WB,"$100,520",-26.1%,155,-47,$649,"$24,860,870",$100,8
43,36,Trumbo (2015),BST,"$79,497",-15.9%,78,-58,"$1,019","$7,630,772",-,13
44,N,Saala Khadoos,UTV,"$76,931",-,70,-,"$1,099","$76,931",-,1
45,37,Goosebumps,Sony,"$70,150",-23.6%,88,-18,$797,"$79,968,628",$58,16
46,34,Hotel Transylvania 2,Sony,"$69,705",-38.5%,109,-30,$639,"$169,559,753",$80,19
47,39,Youth,FoxS,"$59,831",-26.9%,44,-32,"$1,360","$2,516,402",-,9
48,42,Mustang,Cohen,"$44,314",-12.3%,32,-22,"$1,385","$517,614",-,11
49,N,Mastizaade,Eros,"$29,878",-,46,-,$650,"$29,878",-,1
50,47,Hubble 3D,WB,"$20,565",-3.5%,10,+4,"$2,057","$51,003,814",-,290
51,49,Aferim!,BWP,"$19,499",+22.7%,6,+1,"$3,250","$46,477",-,2
52,40,Detective Chinatown (Tang ren jie tan an),CL,"$14,420",-79.5%,8,-28,"$1,803","$474,252",-,3
53,45,The Himalayas,CJ,"$14,082",-41.6%,5,-4,"$2,816","$688,153",-,7
