TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$21,226,953",-,"2,388",-,"$8,889","$21,226,953",$25,1
2,N,Geostorm,WB,"$13,707,376",-,"3,246",-,"$4,223","$13,707,376",$120,1
3,1,Happy Death Day,Uni.,"$9,363,415",-64.0%,"3,298",+149,"$2,839","$40,672,780",$4.8,2
4,2,Blade Runner 2049,WB,"$7,353,151",-52.5%,"3,203",-855,"$2,296","$74,203,354",$150,3
5,N,Only The Brave,Sony,"$6,002,665",-,"2,577",-,"$2,329","$6,002,665",$38,1
6,3,The Foreigner,STX,"$5,787,447",-55.9%,"2,515",-,"$2,301","$23,181,700",$35,2
7,4,It,WB (NL),"$3,451,663",-43.0%,"2,560",-616,"$1,348","$320,186,279",$35,7
8,N,The Snowman,Uni.,"$3,372,565",-,"1,812",-,"$1,861","$3,372,565",$35,1
9,6,American Made,Uni.,"$3,131,650",-43.1%,"2,559",-539,"$1,224","$45,473,385",$50,4
10,7,Kingsman: The Golden Circle,Fox,"$3,011,307",-44.0%,"2,318",-664,"$1,299","$94,580,239",$104,5
11,5,The Mountain Between Us,Fox,"$2,773,757",-51.8%,"3,151",-108,$880,"$25,552,642",$35,3
12,N,Same Kind of Different as Me,PFR,"$2,591,985",-,"1,362",-,"$1,903","$2,591,985",-,1
13,8,The LEGO Ninjago Movie,WB,"$2,226,261",-48.4%,"2,102",-951,"$1,059","$54,709,763",-,5
14,10,Victoria and Abdul,Focus,"$2,126,115",-29.3%,"1,060",+160,"$2,006","$14,836,649",-,5
15,9,My Little Pony: The Movie,LGF,"$2,027,064",-50.7%,"2,301",-227,$881,"$18,556,663",-,3
16,11,Marshall,ORF,"$1,482,383",-50.6%,821,-,"$1,806","$5,434,374",$12,2
17,N,Golmaal Again,Rel.,"$1,013,893",-,265,-,"$3,826","$1,013,893",-,1
18,16,The Florida Project,A24,"$602,171",+63.6%,112,+79,"$5,377","$1,340,794",-,3
19,13,Battle of the Sexes,FoxS,"$586,763",-56.4%,545,-849,"$1,077","$11,453,930",-,5
20,17,Loving Vincent,Good Deed,"$429,447",+29.5%,114,+59,"$3,767","$1,354,696",-,5
21,12,Flatliners (2017),Sony,"$288,022",-81.4%,535,"-1,448",$538,"$16,483,073",$19,4
22,14,Professor Marston & the Wonder Women,Annapurna,"$239,512",-67.5%,959,-270,$250,"$1,319,958",-,2
23,21,Despicable Me 3,Uni.,"$194,730",-20.4%,337,+71,$578,"$263,268,750",$80,17
24,28,Mark Felt: The Man Who Brought Down the White House,SPC,"$178,521",+51.8%,332,+243,$538,"$477,626",-,4
25,15,American Assassin,LGF,"$163,292",-68.6%,312,-508,$523,"$35,972,458",$33,6
26,51,Breathe (2017),BST,"$162,853",+630.8%,315,+311,$517,"$190,717",-,2
27,20,Spider-Man: Homecoming,Sony,"$160,679",-43.2%,209,-97,$769,"$333,777,094",$175,16
28,38,Goodbye Christopher Robin,FoxS,"$153,372",+164.8%,61,+52,"$2,514","$232,877",-,2
29,22,The Emoji Movie,Sony,"$139,203",-23.2%,186,-34,$748,"$85,674,064",$50,13
30,30,Lucky (2017),Magn.,"$130,577",+13.7%,111,+51,"$1,176","$548,348",-,4
31,N,A Silent Voice,Elev.,"$121,732",-,41,-,"$2,969","$121,732",-,1
32,N,The Killing of a Sacred Deer,A24,"$115,120",-,4,-,"$28,780","$115,120",-,1
33,36,The Hitman's Bodyguard,LG/S,"$105,249",+30.8%,172,+7,$612,"$75,321,844",$30,10
34,25,Dunkirk,WB,"$100,121",-34.3%,188,-80,$533,"$187,730,954",$100,14
35,18,The Stray,Purd.,"$94,695",-66.9%,139,-291,$681,"$1,426,090",-,3
36,41,Human Flow,Magn.,"$85,953",+88.2%,28,+25,"$3,070","$154,791",-,2
37,-,The Fortress,CJ,"$70,157",-,27,-,"$2,598","$138,486",-,3
38,N,Wonderstruck,RAtt.,"$65,882",-,4,-,"$16,471","$65,882",-,1
39,19,Til Death Do Us Part,NN,"$65,453",-77.0%,96,-214,$682,"$3,373,812",-,4
40,35,Cars 3,BV,"$62,294",-29.0%,94,-25,$663,"$152,832,527",-,19
41,29,Annabelle: Creation,WB (NL),"$61,253",-47.1%,138,-64,$444,"$102,027,650",$15,11
42,27,mother!,Par.,"$60,281",-53.0%,106,-53,$569,"$17,760,328",$30,6
43,N,Jane (2017),Abr.,"$58,348",-,3,-,"$19,449","$58,348",-,1
44,32,Wind River,Wein.,"$56,088",-48.7%,121,-73,$464,"$33,561,813",$11,12
45,34,Leap!,Wein.,"$54,868",-45.2%,116,-69,$473,"$21,506,189",-,9
46,23,Home Again,ORF,"$52,833",-67.9%,158,-203,$334,"$26,911,487",$12,7
47,42,Faces Places,Cohen,"$45,912",+4.9%,26,+1,"$1,766","$163,631",-,3
48,37,War for the Planet of the Apes,Fox,"$43,846",-33.2%,73,-27,$601,"$146,742,862",$150,15
49,24,A Question Of Faith,PFR,"$37,190",-75.8%,72,-156,$517,"$2,304,787",-,4
50,26,American Satan,Sumerian,"$32,026",-76.3%,50,-5,$641,"$194,555",-,2
51,31,Stronger,RAtt.,"$31,872",-71.0%,84,-90,$379,"$4,119,382",-,5
52,58,Tom of Finland,KL,"$27,605",+104.1%,5,+4,"$5,521","$60,935",-,2
