TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Happy Death Day,Uni.,"$26,039,025",-,"3,149",-,"$8,269","$26,039,025",$4.8,1
2,1,Blade Runner 2049,WB,"$15,492,244",-52.7%,"4,058",-,"$3,818","$60,970,631",$150,2
3,N,The Foreigner,STX,"$13,113,024",-,"2,515",-,"$5,214","$13,113,024",$35,1
4,3,It,WB (NL),"$6,055,633",-39.3%,"3,176",-429,"$1,907","$314,935,154",$35,6
5,2,The Mountain Between Us,Fox,"$5,750,951",-45.5%,"3,259",+171,"$1,765","$20,603,873",$35,2
6,6,American Made,Uni.,"$5,500,950",-34.9%,"3,098",+67,"$1,776","$40,230,815",$50,3
7,5,Kingsman: The Golden Circle,Fox,"$5,379,417",-38.0%,"2,982",-506,"$1,804","$89,716,457",$104,4
8,7,The LEGO Ninjago Movie,WB,"$4,316,424",-38.4%,"3,053",-558,"$1,414","$51,579,113",-,4
9,4,My Little Pony: The Movie,LGF,"$4,111,877",-53.7%,"2,528",-,"$1,627","$15,625,311",-,2
10,8,Victoria and Abdul,Focus,"$3,006,155",-27.9%,900,+168,"$3,340","$11,233,099",-,4
11,N,Marshall,ORF,"$3,000,805",-,821,-,"$3,655","$3,000,805",$12,1
12,9,Flatliners (2017),Sony,"$1,544,995",-61.1%,"1,983",-569,$779,"$15,672,966",$19,3
13,10,Battle of the Sexes,FoxS,"$1,346,007",-47.6%,"1,394",-428,$966,"$10,369,486",-,4
14,N,Professor Marston & the Wonder Women,Annapurna,"$736,883",-,"1,229",-,$600,"$736,883",-,1
15,11,American Assassin,LGF,"$520,583",-62.5%,820,-836,$635,"$35,603,092",$33,5
16,27,The Florida Project,A24,"$368,149",+133.7%,33,+29,"$11,156","$590,957",-,2
17,26,Loving Vincent,Good Deed,"$331,602",+97.8%,55,+27,"$6,029","$750,674",-,4
18,13,The Stray,Purd.,"$286,494",-52.0%,430,-210,$666,"$1,191,487",-,2
