TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,54,A Beautiful Planet,Imax,"$16,976",-28.5%,18,+1,$943,"$12,462,361",-,79
63,50,Stronger,RAtt.,"$13,886",-56.4%,43,-41,$323,"$4,151,012",-,6
64,65,Tragedy Girls,G&S,"$12,432",+2.5%,18,+16,$691,"$30,254",-,2
65,55,Wonder Woman,WB,"$12,163",-48.0%,55,-29,$221,"$412,546,242",$149,22
66,56,City of Rock,WGUSA,"$11,994",-40.3%,4,-2,"$2,999","$290,221",-,4
67,57,Kidnap (2017),Aviron,"$11,512",-42.1%,27,-5,$426,"$30,696,195",$21,13
68,59,Columbus,INDEP,"$11,490",-34.5%,18,-2,$638,"$989,139",-,13
69,53,Logan Lucky,BST,"$10,947",-53.9%,45,-25,$243,"$27,767,143",$29,11
70,60,Dina,Orch.,"$9,926",-36.2%,19,-1,$522,"$58,991",-,4
71,61,Walking Out,IFC,"$9,422",-37.3%,25,-6,$377,"$75,808",-,4
72,58,Chavela,MBox,"$8,238",-57.4%,9,-2,$915,"$120,534",-,4
73,81,78/52: Hitchcock's Shower Scene,IFC,"$8,049",+74.6%,19,+15,$424,"$24,156",-,3
74,69,BPM (Beats Per Minute),Orch.,"$7,913",-7.6%,4,+2,"$1,978","$23,357",-,2
75,71,The Paris Opera,FM,"$7,785",+1.0%,8,+4,$973,"$24,905",-,2
76,62,Chasing the Dragon,WGUSA,"$7,051",-49.4%,2,-1,"$3,526","$444,607",-,5
77,N,Bill Nye: Science Guy,PBS,"$7,005",-,1,-,"$7,005","$7,005",-,1
78,N,Mansfield 66/67,FB,"$6,451",-,1,-,"$6,451","$6,451",-,1
79,66,The King's Choice,Gold.,"$5,677",-49.4%,5,-4,"$1,135","$98,996",-,6
80,68,Friend Request,ENTMP,"$5,569",-46.9%,32,-8,$174,"$3,754,992",$9.9,6
81,85,Born to Be Wild (IMAX),WB,"$4,949",+27.7%,10,+3,$495,"$25,577,984",-,343
82,52,Take Every Wave: The Life of Liard Hamilton,IFC,"$4,778",-82.5%,10,-21,$478,"$161,089",-,5
83,77,Island of Lemurs: Madagascar (IMAX),WB,"$4,446",-21.2%,3,+2,"$1,482","$10,956,454",-,187
84,73,Viceroy's House,IFC,"$4,329",-38.8%,7,-6,$618,"$1,101,230",-,9
85,N,The Work,Orch.,"$3,286",-,2,-,"$1,643","$3,286",-,1
86,89,Walk With Me,Gathr,"$3,022",+6.7%,12,-26,$252,"$492,517",-,12
