TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Incredibles 2,BV,"$182,687,905",-,"4,410",-,"$41,426","$182,687,905",-,1
2,1,Ocean's 8,WB,"$18,968,184",-54.4%,"4,145",-,"$4,576","$78,588,354",$70,2
3,N,Tag,WB (NL),"$14,947,396",-,"3,382",-,"$4,420","$14,947,396",$28,1
4,2,Solo: A Star Wars Story,BV,"$10,001,056",-36.5%,"3,182","-1,153","$3,143","$193,765,143",-,4
5,3,Deadpool 2,Fox,"$8,681,501",-38.6%,"3,212",-611,"$2,703","$294,562,309",$110,5
6,N,Superfly,Col.,"$6,870,740",-,"2,220",-,"$3,095","$9,012,057",$16,1
7,4,Hereditary,A24,"$6,855,063",-49.5%,"2,998",+34,"$2,287","$27,016,183",-,2
8,5,Avengers: Infinity War,BV,"$5,442,261",-24.8%,"2,164",-718,"$2,515","$664,346,211",-,8
9,6,Adrift,STX,"$2,200,332",-58.3%,"1,929","-1,086","$1,141","$26,905,478",$35,3
10,7,Book Club,Par.,"$1,827,492",-57.4%,"1,656","-1,146","$1,104","$61,977,585",-,5
11,N,Gotti,VE,"$1,719,902",-,503,-,"$3,419","$1,719,902",-,1
12,N,Race 3,Yash,"$1,690,861",-,314,-,"$5,385","$1,690,861",-,1
13,30,A Wrinkle in Time,BV,"$1,678,797","+1,551.4%",245,+88,"$6,852","$99,906,924",-,15
14,8,Hotel Artemis,Global Road,"$1,008,109",-68.8%,"2,299",-108,$438,"$5,821,628",-,2
15,19,Won't You Be My Neighbor?,Focus,"$1,002,709",+110.9%,96,+67,"$10,445","$1,710,413",-,2
16,9,Upgrade,BH Tilt,"$518,330",-78.3%,646,-812,$802,"$11,078,295",-,3
17,16,RBG,Magn.,"$498,234",-33.1%,290,-85,"$1,718","$10,116,762",-,7
18,10,Life of the Party ,WB (NL),"$448,369",-79.3%,608,"-1,234",$737,"$51,850,137",-,6
19,12,Overboard (2018),PNT,"$435,447",-62.5%,581,-475,$749,"$48,567,231",-,7
20,11,Breaking In (2018),Uni.,"$431,195",-70.1%,504,-658,$856,"$45,170,800",$6,6
21,13,A Quiet Place,Par.,"$360,213",-65.8%,397,-507,$907,"$186,459,020",$17,11
22,17,First Reformed,A24,"$344,748",-37.5%,273,-61,"$1,263","$2,420,597",-,5
23,18,Rampage (2018),WB (NL),"$268,165",-45.0%,288,-115,$931,"$96,433,029",$120,10
24,37,Hearts Beat Loud,G&S,"$246,763",+231.1%,83,+79,"$2,973","$345,634",-,2
25,20,American Animals,Orch.,"$210,684",-8.3%,72,+30,"$2,926","$754,930",-,3
26,15,Show Dogs,Global Road,"$173,614",-77.5%,424,-724,$409,"$17,106,331",-,5
27,25,Black Panther,BV,"$144,983",+4.5%,146,-40,$993,"$699,613,337",-,18
28,31,The Seagull,SPC,"$136,715",+36.0%,211,+122,$648,"$865,551",-,6
29,21,Ready Player One,WB,"$133,689",-37.3%,201,-47,$665,"$136,658,218",-,12
30,32,Pandas,WB,"$86,803",-13.2%,35,-,"$2,480","$2,194,353",-,11
31,34,2001: A Space Odyssey (2018 re-release),WB,"$86,669",-8.6%,13,+8,"$6,667","$865,017",-,5
32,27,The Rider,SPC,"$72,230",-41.2%,94,-94,$768,"$2,117,915",-,10
33,22,Believer,WGUSA,"$62,165",-57.6%,19,-13,"$3,272","$292,172",-,2
34,35,Isle Of Dogs,FoxS,"$56,846",-38.8%,85,-30,$669,"$31,696,581",-,13
35,24,I Feel Pretty,STX,"$54,405",-60.9%,110,-97,$495,"$48,753,442",$32,9
36,38,I Can Only Imagine,RAtt.,"$50,220",-17.6%,86,-22,$584,"$83,343,604",$7,14
37,28,Super Troopers 2,Fox,"$42,898",-58.3%,54,-23,$794,"$30,551,330",$13.5,9
38,29,Disobedience,BST,"$37,765",-63.2%,47,-54,$804,"$3,371,368",-,8
39,N,Eating Animals,IFC,"$34,524",-,2,-,"$17,262","$34,524",-,1
40,43,Mountain,Greenwich,"$30,907",+8.7%,27,+8,"$1,145","$183,090",-,6
41,26,On Chesil Beach,BST,"$28,780",-77.2%,73,-130,$394,"$677,238",-,5
42,41,Let the Sunshine In,IFC,"$28,321",-16.3%,27,-23,"$1,049","$809,639",-,8
43,53,The Greatest Showman,Fox,"$28,040",+160.4%,20,-1,"$1,402","$174,073,082",$84,26
44,36,How Long Will I Love U,WGUSA,"$26,684",-65.1%,15,-10,"$1,779","$714,790",-,4
45,42,Beast,RAtt.,"$20,828",-30.2%,49,-34,$425,"$755,138",-,6
46,50,Summer 1993,Osci.,"$20,147",+52.4%,17,+10,"$1,185","$98,271",-,4
47,40,The Gospel According to André,Magn.,"$19,876",-52.1%,22,-12,$903,"$305,228",-,4
48,-,A Beautiful Planet,Imax,"$19,602",-,10,-,"$1,960","$14,432,255",-,112
49,46,Game Night,WB (NL),"$16,673",-19.0%,47,-11,$355,"$68,995,995",$37,17
50,49,Nancy (2018),Gold.,"$12,500",-17.0%,11,+8,"$1,136","$32,625",-,2
51,44,The Miracle Season,Mirr/LD,"$11,783",-46.2%,18,-10,$655,"$10,187,086",-,11
52,73,The Guardians,MBox,"$11,705",+301.4%,9,+4,"$1,301","$84,607",-,7
53,48,The Death of Stalin,IFC,"$10,516",-35.0%,10,-4,"$1,052","$7,992,577",-,15
54,52,Always at the Carlyle,Good Deed,"$8,370",-28.0%,11,-2,$761,"$135,450",-,6
55,N,Five Seasons: The Gardens of Piet Oudolf,Argo.,"$7,525",-,3,-,"$2,508","$14,574",-,1
56,51,En el Septimo Dia (On the Seventh Day),CGld,"$6,973",-45.5%,2,-,"$3,487","$28,723",-,2
57,47,Mary Shelley,IFC,"$5,958",-68.7%,17,-13,$350,"$83,410",-,4
58,-,Hubble 3D,WB,"$5,660",-,4,-,"$1,415","$52,273,895",-,431
59,62,A Kid Like Jake,IFC,"$5,347",+11.5%,13,+9,$411,"$25,955",-,3
60,63,"Westwood: Punk, Icon, Activist",Greenwich,"$5,335",+19.9%,2,+1,"$2,668","$14,214",-,2
61,N,Gabriel and the Mountain,Strand,"$4,963",-,2,-,"$2,482","$4,963",-,1
62,54,Chappaquiddick,ENTMP,"$4,882",-45.9%,14,-15,$349,"$17,371,390",-,11
63,61,The Leisure Seeker,SPC,"$4,546",-10.2%,6,-9,$758,"$3,207,012",-,27
64,59,Bag of Marbles,Gaum.,"$4,093",-29.7%,3,-,"$1,364","$370,277",-,13
65,65,Itzhak,Greenwich,"$4,024",-4.2%,4,-3,"$1,006","$569,761",-,15
66,60,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,"$4,017",-20.6%,13,+8,$309,"$144,461",-,6
67,55,Breath,FR,"$3,880",-56.4%,10,-11,$388,"$27,553",-,3
