TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,It,WB (NL),"$60,103,110",-51.3%,"4,148",+45,"$14,490","$218,813,729",$35,2
2,N,American Assassin,LGF,"$14,846,778",-,"3,154",-,"$4,707","$14,846,778",$33,1
3,N,mother!,Par.,"$7,534,673",-,"2,368",-,"$3,182","$7,534,673",$30,1
4,2,Home Again,ORF,"$5,183,004",-39.5%,"3,036",+96,"$1,707","$16,984,088",$12,2
5,3,The Hitman's Bodyguard,LG/S,"$3,588,883",-25.3%,"3,272",-50,"$1,097","$70,395,923",$30,5
6,5,Wind River,Wein.,"$2,572,397",-17.9%,"2,619",-271,$982,"$29,141,212",$11,7
7,4,Annabelle: Creation,WB (NL),"$2,411,319",-39.8%,"2,117",-886,"$1,139","$99,711,680",$15,6
8,6,Leap!,Wein.,"$2,163,778",-11.4%,"2,416",-275,$896,"$18,705,564",-,4
9,7,Spider-Man: Homecoming,Sony,"$1,858,740",-7.4%,"1,436",-221,"$1,294","$330,245,988",$175,11
10,8,Dunkirk,WB,"$1,311,449",-29.6%,"1,478",-632,$887,"$185,148,101",$100,9
11,10,The Emoji Movie,Sony,"$1,001,256",-12.1%,"1,151",-299,$870,"$83,911,291",$50,8
12,9,Logan Lucky,BST,"$996,576",-40.3%,"1,401",-766,$711,"$26,826,677",$29,5
13,11,Despicable Me 3,Uni.,"$857,205",-8.1%,983,-291,$872,"$261,094,650",$80,12
14,13,The Dark Tower,Sony,"$757,815",+0.1%,"1,235",+287,$614,"$49,922,920",$60,7
15,N,Canelo Vs. GGG: Supremacy,Fathom,"$703,396",-,465,-,"$1,513","$703,396",-,1
16,14,Wonder Woman,WB,"$667,794",+1.1%,659,-302,"$1,013","$411,430,094",$149,16
17,12,Girls Trip,Uni.,"$570,725",-30.4%,733,-390,$779,"$114,337,980",$19,9
18,15,The Nut Job 2: Nutty by Nature,ORF,"$461,885",-19.9%,846,-389,$546,"$28,093,664",$40,6
19,18,All Saints,Sony,"$371,464",-20.1%,750,-84,$495,"$5,234,199",$2,4
20,16,The Glass Castle,LGF,"$351,887",-34.1%,698,-339,$504,"$16,724,214",-,6
21,19,War for the Planet of the Apes,Fox,"$349,237",-22.5%,470,-183,$743,"$145,861,747",$150,10
22,20,The Big Sick,LGF,"$317,772",-28.1%,338,-197,$940,"$42,487,093",-,13
23,21,Baby Driver,TriS,"$298,828",-29.3%,381,-237,$784,"$107,077,236",$34,12
24,32,Viceroy's House,IFC,"$205,356",+63.4%,109,+68,"$1,884","$458,291",-,3
25,26,Atomic Blonde,Focus,"$184,715",-36.3%,270,-120,$684,"$51,365,430",$30,8
26,17,True to the Game,Faith Media,"$178,575",-62.2%,235,-226,$760,"$874,976",-,2
27,25,Cars 3,BV,"$166,455",-44.3%,259,-251,$643,"$152,279,065",-,14
28,22,Hazlo Como Hombre (Do It Like An Hombre),PNT,"$153,418",-60.6%,226,-156,$679,"$2,335,946",-,3
29,23,Birth of the Dragon,BH Tilt,"$122,965",-64.4%,275,-427,$447,"$6,833,170",-,4
30,28,Kidnap (2017),Aviron,"$122,176",-41.9%,506,-412,$241,"$30,423,058",$21,7
31,27,Tulip Fever,Wein.,"$116,910",-59.4%,247,-525,$473,"$2,239,631",-,3
