TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Rampage (2018),WB (NL),"$35,753,093",-,"4,101",-,"$8,718","$35,753,093",$120,1
2,1,A Quiet Place,Par.,"$32,970,049",-34.3%,"3,589",+81,"$9,186","$100,005,934",$17,2
3,N,Truth or Dare,Uni.,"$18,667,855",-,"3,029",-,"$6,163","$18,667,855",$3.5,1
4,2,Ready Player One,WB,"$11,519,388",-53.2%,"3,661",-573,"$3,147","$114,922,186",-,3
5,3,Blockers,Uni.,"$10,770,310",-47.6%,"3,418",+39,"$3,151","$37,403,980",$21,2
6,4,Black Panther,BV,"$5,777,896",-33.6%,"2,180",-567,"$2,650","$674,233,418",-,9
7,10,Isle Of Dogs,FoxS,"$5,475,139",+20.0%,"1,939","+1,385","$2,824","$18,926,003",-,4
8,6,I Can Only Imagine,RAtt.,"$4,146,261",-46.9%,"2,573",-321,"$1,611","$75,297,826",$7,5
9,5,Tyler Perry's Acrimony,LGF,"$3,652,698",-56.4%,"1,332",-674,"$2,742","$37,828,175",-,3
10,7,Chappaquiddick,ENTMP,"$3,059,561",-46.9%,"1,645",+85,"$1,860","$11,040,943",-,2
11,8,Sherlock Gnomes,Par.,"$2,404,661",-55.8%,"2,116",-617,"$1,136","$37,228,148",$59,4
12,11,The Miracle Season,Mirr/LD,"$2,213,207",-44.0%,"1,707",-,"$1,297","$7,042,043",-,2
13,N,Beirut,BST,"$1,734,497",-,755,-,"$2,297","$2,107,195",-,1
14,9,Pacific Rim Uprising,Uni.,"$1,451,540",-69.9%,"1,537","-1,090",$944,"$57,605,675",$150,4
15,12,A Wrinkle in Time,BV,"$1,380,257",-58.2%,"1,112",-589,"$1,241","$92,476,477",-,6
16,N,Sgt. Stubby: An American Hero,FunAcad,"$1,164,403",-,"1,633",-,$713,"$1,164,403",-,1
17,13,"Love, Simon",Fox,"$1,060,295",-61.7%,889,-575,"$1,193","$39,329,296",$17,5
18,15,"Paul, Apostle of Christ",Sony,"$611,693",-65.5%,581,-681,"$1,053","$16,394,992",$5,4
19,18,The Death of Stalin,IFC,"$481,691",-51.2%,330,-218,"$1,460","$6,319,502",-,6
20,14,Tomb Raider,WB,"$460,619",-76.1%,502,"-1,171",$918,"$56,227,188",$94,5
21,19,Peter Rabbit,Sony,"$386,835",-60.0%,519,-508,$745,"$113,869,487",$50,10
22,17,Game Night,WB (NL),"$343,434",-68.0%,356,-448,$965,"$67,887,388",$37,8
23,29,You Were Never Really Here,Amazon,"$325,949",+145.4%,51,+48,"$6,391","$512,782",-,2
24,30,Finding Your Feet,RAtt.,"$282,895",+127.9%,277,+220,"$1,021","$573,074",-,3
25,20,The Leisure Seeker,SPC,"$273,275",-48.2%,276,-77,$990,"$2,346,198",-,13
26,23,The Greatest Showman,Fox,"$226,044",-39.0%,209,-39,"$1,082","$173,296,519",$84,17
27,21,Jumanji: Welcome to the Jungle,Sony,"$186,654",-57.7%,183,-295,"$1,020","$403,951,484",$90,17
28,27,Pandas,WB,"$128,861",-18.9%,33,-,"$3,905","$381,777",-,2
29,16,God's Not Dead: A Light in Darkness,PFR,"$123,042",-88.8%,193,"-1,184",$638,"$5,437,334",-,3
30,24,Red Sparrow,Fox,"$119,156",-54.2%,152,-92,$784,"$46,515,233",$69,7
31,28,Annihilation,Par.,"$102,455",-34.1%,119,-26,$861,"$32,685,385",$40,8
32,22,Midnight Sun,Global Road,"$93,359",-77.9%,251,-500,$372,"$9,406,720",-,4
33,26,Strangers: Prey at Night,Aviron,"$90,902",-53.4%,61,-188,"$1,490","$24,227,749",-,6
34,41,Lean on Pete,A24,"$77,151",+64.2%,18,+14,"$4,286","$139,567",-,2
35,31,Death Wish (2018),MGM,"$76,543",-30.9%,111,-36,$690,"$33,796,404",$30,7
36,N,Grace Jones: Bloodlight and Bami,KL,"$56,171",-,3,-,"$18,724","$60,613",-,1
37,N,Borg vs. McEnroe,Neon,"$52,625",-,51,-,"$1,032","$52,625",-,1
38,25,Baaghi 2,FIP,"$49,042",-80.4%,48,-75,"$1,022","$1,299,994",-,3
39,N,The Rider,SPC,"$42,244",-,3,-,"$14,081","$42,244",-,1
40,37,Final Portrait,SPC,"$39,909",-26.4%,32,+11,"$1,247","$201,366",-,4
41,35,Coco,BV,"$37,553",-47.1%,85,-14,$442,"$209,680,314",-,21
42,34,Ferdinand,Fox,"$35,632",-50.7%,85,-28,$419,"$84,284,388",$111,18
43,38,The Shape of Water,FoxS,"$34,293",-35.9%,48,-32,$714,"$63,814,637",-,20
44,36,Foxtrot,SPC,"$33,314",-40.4%,38,-7,$877,"$500,496",-,7
45,39,Itzhak,Greenwich,"$30,239",-39.3%,26,-3,"$1,163","$287,771",-,6
46,42,The Post,Fox,"$27,658",-40.0%,41,-16,$675,"$81,835,084",$50,17
47,40,Maze Runner: The Death Cure,Fox,"$27,600",-43.0%,61,-19,$452,"$57,992,782",$62,12
48,N,Zama,Strand,"$26,123",-,3,-,"$8,708","$26,123",-,1
49,53,Back to Burgundy,MBox,"$24,433",+5.9%,18,+4,"$1,357","$138,006",-,4
50,46,"Three Billboards Outside Ebbing, Missouri",FoxS,"$23,986",-29.2%,41,-10,$585,"$54,465,037",-,23
51,54,Film Stars Don't Die in Liverpool,SPC,"$22,934",+8.4%,24,-1,$956,"$973,182",-,16
52,43,1945,Men.,"$21,143",-46.7%,12,-1,"$1,762","$525,159",-,24
53,66,Sweet Country (2018),Gold.,"$21,062",+136.8%,24,+22,$878,"$34,546",-,2
54,50,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$20,546",-27.0%,17,-3,"$1,209","$716,873",-,21
55,N,Gonjiam: Haunted Asylum,WGUSA,"$19,017",-,2,-,"$9,509","$19,017",-,1
56,33,Gemini,Neon,"$18,131",-76.1%,33,-23,$549,"$180,002",-,3
57,49,A Fantastic Woman,SPC,"$17,549",-43.5%,23,-15,$763,"$1,925,940",-,11
58,48,Leaning Into The Wind,Magn.,"$16,226",-51.1%,27,-5,$601,"$315,437",-,6
59,44,A Beautiful Planet,Imax,"$14,645",-62.1%,10,-2,"$1,465","$13,901,568",-,103
60,68,Bag of Marbles,Gaum.,"$14,178",+63.0%,6,+2,"$2,363","$70,126",-,4
61,51,Call Me by Your Name,SPC,"$12,564",-55.0%,18,-32,$698,"$18,065,180",-,21
62,55,"I, Tonya",Neon,"$11,549",-45.2%,25,-13,$462,"$30,006,215",-,19
63,65,The Endless,WGUSA,"$11,542",+27.1%,3,+2,"$3,847","$26,189",-,2
64,75,Forever My Girl,RAtt.,"$11,114",+91.3%,19,+7,$585,"$16,349,707",$3.5,13
65,63,Ismael's Ghosts,Magn.,"$10,405",-6.6%,14,+7,$743,"$70,681",-,4
66,N,Hitler's Hollywood,KL,"$8,634",-,1,-,"$8,634","$18,253",-,1
67,52,But Deliver Us from Evil,Indic.,"$8,550",-65.3%,6,-7,"$1,425","$261,136",-,10
68,-,Belle de jour (2018 re-release),Jan.,"$7,859",-,3,-,"$2,620","$20,684",-,3
69,56,Outside In,Orch.,"$7,819",-62.8%,6,-10,"$1,303","$60,065",-,3
70,60,Love After Love,IFC,"$7,390",-44.4%,5,+2,"$1,478","$44,338",-,3
71,74,Hubble 3D,WB,"$7,294",+21.4%,5,-,"$1,459","$52,130,844",-,422
72,N,Quai des Orfevres (2018 Re-issue),Rialto,"$7,125",-,1,-,"$7,125","$7,125",-,1
73,58,Oh Lucy!,FM,"$6,638",-67.6%,10,-14,$664,"$287,188",-,7
74,47,Star Wars: The Last Jedi,BV,"$5,845",-82.6%,28,-33,$209,"$620,178,595",-,18
75,N,Bye Bye Germany,FM,"$4,874",-,2,-,"$2,437","$6,698",-,1
76,87,Walk With Me,Gathr,"$4,618",+55.6%,4,+1,"$1,155","$709,094",-,29
77,57,Journey's End,Good Deed,"$4,536",-78.3%,9,-19,$504,"$148,275",-,5
78,64,Keep the Change,KL,"$4,497",-58.5%,4,-5,"$1,124","$114,747",-,5
79,73,Getting Grace,Hann.,"$4,322",-36.4%,6,-1,$720,"$159,965",-,4
80,62,Loveless (2018),SPC,"$4,225",-65.0%,12,-23,$352,"$545,077",-,9
81,70,The Insult,Cohen,"$3,758",-53.2%,5,-3,$752,"$1,000,439",-,14
82,95,The Gardener,Grav.,"$3,750",+111.9%,1,-,"$3,750","$33,284",-,3
83,76,The Party (2017),RAtt.,"$3,312",-42.4%,14,-6,$237,"$730,632",-,9
84,96,The Last Movie Star,A24,"$3,191",+93.5%,5,+2,$638,"$12,261",-,3
85,81,Claire's Camera,CGld,"$3,167",-32.1%,3,-2,"$1,056","$60,660",-,6
86,78,Ramen Heads,FB,"$3,052",-44.3%,3,-,"$1,017","$51,706",-,5
87,88,Under the Sea 3D,WB,"$2,881",+7.6%,8,+2,$360,"$35,795,858",-,479
88,93,Big Sonia,Argo.,"$2,777",+27.1%,3,+1,$926,"$201,069",-,22
89,105,Born to Be Wild (IMAX),WB,"$2,322",+388.8%,10,+4,$232,"$25,672,884",-,367
90,91,The Hurricane Heist,ENTMP,"$2,085",-10.7%,8,-,$261,"$6,108,470",$35,6
91,82,Blood Feast,Hann.,"$1,984",-51.0%,3,+2,$661,"$6,446",$1.2,2
92,85,Hostiles,ENTMP,"$1,870",-50.7%,7,-6,$267,"$29,812,030",-,17
93,100,Faces Places,Cohen,"$1,477",+75.8%,2,-1,$739,"$951,839",-,28
94,N,Nana,FunAcad,"$1,240",-,1,-,"$1,240","$1,240",-,1
95,67,Flower,Orch.,"$1,184",-86.7%,4,-33,$296,"$325,976",-,5
97,98,Apocalypsis,Indic.,"$1,172",+29.9%,2,+1,$586,"$14,662",-,7
96,71,The Workshop,Strand,"$1,172",-84.3%,1,-7,"$1,172","$19,865",-,4
98,90,Vazante,MBox,"$1,079",-56.4%,1,-,"$1,079","$23,884",-,14
99,77,Operation Red Sea,WGUSA,"$1,001",-82.2%,1,-2,"$1,001","$1,541,725",-,8
100,86,Goldstone,Lightyear,$953,-68.2%,1,-6,$953,"$80,994",-,7
101,N,The Breadwinner (Gathr Release),Gathr,$834,-,1,-,$834,$834,-,1
102,111,Did You Wonder Who Fired the Gun?,Ghop,$797,+167.4%,2,-,$399,"$18,104",-,7
103,84,The Young Karl Marx,Orch.,$655,-82.8%,2,-3,$328,"$120,826",-,8
104,92,Summer in the Forest,Abr.,$636,-72.7%,3,-1,$212,"$23,874",-,4
105,N,Marrowbone,Magn.,$624,-,7,-,$89,$624,-,1
106,-,Island of Lemurs: Madagascar (IMAX),WB,$623,-,1,-,$623,"$11,220,220",-,211
107,-,Beuys,KL,$618,-,1,-,$618,"$57,379",-,12
108,106,Journey to the South Pacific,Imax,$296,-33.9%,1,-,$296,"$7,622,627",-,220
109,97,Deep Sea 3D (IMAX),WB,$256,-82.4%,3,+1,$85,"$46,328,437",-,619
110,80,The China Hustle,Magn.,$172,-96.6%,1,-5,$172,"$48,600",-,3
111,-,Western,CGld,$153,-,2,-,$77,"$32,833",-,9
112,113,Chronicle of Anna Magdalena Bach,Ghop,$85,-54.8%,1,-,$85,"$13,520",-,7
113,107,Have a Nice Day,Strand,$40,-89.0%,1,-,$40,"$79,326",-,12
