TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Zootopia,BV,"$75,063,401",-,"3,827",-,"$19,614","$75,063,401",-,1
2,N,London Has Fallen,Focus,"$21,635,601",-,"3,490",-,"$6,199","$21,635,601",$60,1
3,1,Deadpool,Fox,"$16,725,929",-46.2%,"3,624",-232,"$4,615","$311,484,061",$58,4
4,N,Whiskey Tango Foxtrot,Par.,"$7,450,275",-,"2,374",-,"$3,138","$7,450,275",$35,1
5,2,Gods of Egypt,LG/S,"$5,198,091",-63.2%,"3,117",-,"$1,668","$23,046,411",$140,2
6,4,Risen,Sony,"$3,906,484",-42.7%,"2,507",-408,"$1,558","$28,672,407",$20,3
7,3,Kung Fu Panda 3,Fox,"$3,572,683",-59.9%,"2,700",-596,"$1,323","$133,879,516",$145,6
8,10,The Revenant,Fox,"$3,402,675",-13.9%,"1,488",-157,"$2,287","$176,054,596",$135,11
9,6,Eddie the Eagle,Fox,"$3,128,815",-48.6%,"2,044",+2,"$1,531","$10,889,947",$23,2
10,7,The Witch,A24,"$2,485,035",-51.0%,"1,715",-489,"$1,449","$20,895,610",$4,3
11,5,Triple 9,ORF,"$2,263,668",-62.9%,"2,205",-,"$1,027","$10,374,702",-,2
12,8,How to Be Single,WB (NL),"$2,117,076",-57.7%,"1,602","-1,445","$1,322","$43,320,541",$38,4
13,11,Star Wars: The Force Awakens,BV,"$1,864,704",-37.6%,"1,021",-412,"$1,826","$928,842,219",$245,12
14,21,Spotlight,ORF,"$1,766,212",+140.0%,"1,227",+542,"$1,439","$41,562,351",-,18
15,9,Race (2016),Focus,"$1,511,530",-63.2%,"1,286","-1,101","$1,175","$16,511,093",-,3
16,N,The Other Side of the Door,Fox,"$1,211,210",-,546,-,"$2,218","$1,211,210",-,1
17,15,The Lady in the Van,SPC,"$717,445",-39.2%,429,-173,"$1,672","$7,116,006",-,14
18,13,Ride Along 2,Uni.,"$706,660",-53.1%,607,-334,"$1,164","$89,504,525",$40,8
19,16,The Big Short,Par.,"$503,566",-50.1%,314,-229,"$1,604","$69,352,683",$28,13
20,23,Room,A24,"$461,605",-20.4%,565,+35,$817,"$14,161,502",-,21
21,14,"Hail, Caesar!",Uni.,"$433,205",-64.1%,313,-646,"$1,384","$29,233,595",$22,5
22,17,The Boy (2016),STX,"$401,212",-55.0%,339,-333,"$1,184","$35,129,770",$10,7
23,20,Brooklyn,FoxS,"$379,666",-49.4%,287,-190,"$1,323","$37,212,788",-,18
24,22,The Mermaid (Mei ren yu),Sony,"$375,963",-46.5%,106,+29,"$3,547","$2,678,732",-,3
25,12,Zoolander 2,Par.,"$367,168",-83.6%,407,"-1,567",$902,"$28,321,635",-,4
26,18,The 5th Wave,Sony,"$361,197",-57.6%,339,-249,"$1,065","$33,639,418",$38,7
27,24,Daddy's Home,Par.,"$341,132",-37.8%,286,-83,"$1,193","$148,870,837",-,11
28,N,The Boy and the Beast,FUN,"$274,247",-,122,-,"$2,248","$274,247",-,1
29,26,The Finest Hours,BV,"$259,970",-40.1%,218,-289,"$1,193","$26,766,651",-,6
30,28,Where to Invade Next,Drft.,"$228,617",-36.6%,150,-62,"$1,524","$2,971,046",-,4
31,31,The Good Dinosaur,BV,"$197,465",-33.1%,232,-18,$851,"$122,513,864",-,15
32,19,The Choice,LGF,"$192,087",-76.8%,337,-723,$570,"$18,459,575",-,5
33,25,Neerja,FIP,"$171,478",-62.6%,100,-21,"$1,715","$1,535,234",-,3
34,33,Alvin and the Chipmunks: The Road Chip,Fox,"$167,469",-27.5%,218,-26,$768,"$85,040,997",-,12
35,37,Son of Saul,SPC,"$150,945",+15.6%,180,+29,$839,"$1,524,582",-,12
36,30,13 Hours: The Secret Soldiers of Benghazi,Par.,"$148,471",-50.5%,211,-109,$704,"$52,516,965",$50,8
