TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,47,Loveless (2018),SPC,"$12,059",-63.3%,35,-24,$345,"$531,664",-,8
63,70,Ismael's Ghosts,Magn.,"$11,146",+27.4%,7,+5,"$1,592","$53,600",-,3
64,64,Keep the Change,KL,"$10,835",-9.3%,9,-4,"$1,204","$106,207",-,4
65,N,The Endless,WGUSA,"$9,083",-,1,-,"$9,083","$9,083",-,1
66,N,Sweet Country (2018),Gold.,"$8,895",-,2,-,"$4,448","$8,895",-,1
67,42,Flower,Orch.,"$8,882",-80.0%,37,-64,$240,"$319,156",-,4
68,68,Bag of Marbles,Gaum.,"$8,700",-4.3%,4,-,"$2,175","$50,876",-,3
69,96,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,"$8,363",+676.5%,2,-6,"$4,182","$12,954",-,3
70,72,The Insult,Cohen,"$8,024",+1.6%,8,-1,"$1,003","$990,180",-,13
71,95,The Workshop,Strand,"$7,484",+557.1%,8,+7,$936,"$14,896",-,3
72,N,Where is Kyra?,Great Point,"$7,000",-,1,-,"$7,000","$7,000",-,1
73,55,Getting Grace,Hann.,"$6,791",-63.3%,7,-8,$970,"$151,880",-,3
74,92,Hubble 3D,WB,"$6,009",+311.0%,5,-,"$1,202","$52,113,982",-,421
75,71,Forever My Girl,RAtt.,"$5,810",-31.4%,12,-4,$484,"$16,336,743",$3.5,12
76,65,The Party (2017),RAtt.,"$5,749",-51.1%,20,-15,$287,"$723,027",-,8
77,58,Operation Red Sea,WGUSA,"$5,617",-66.0%,3,-,"$1,872","$1,537,187",-,7
78,75,Ramen Heads,FB,"$5,480",-13.0%,3,-2,"$1,827","$45,117",-,4
79,69,The Great Silence (2018 re-release),FM,"$5,186",-40.8%,2,+1,"$2,593","$23,767",-,2
80,52,The China Hustle,Magn.,"$4,996",-80.6%,6,-14,$833,"$46,511",-,2
81,80,Claire's Camera,CGld,"$4,663",-6.6%,5,+1,$933,"$55,111",-,5
82,N,Blood Feast,Hann.,"$4,046",-,1,-,"$4,046","$4,046",$1.2,1
83,N,The Heart of Nuba,Abr.,"$4,016",-,1,-,"$4,016","$4,016",-,1
84,93,The Young Karl Marx,Orch.,"$3,809",+223.6%,5,-4,$762,"$119,300",-,7
85,56,Hostiles,ENTMP,"$3,796",-79.0%,13,-40,$292,"$29,807,513",-,16
86,60,Goldstone,Lightyear,"$2,998",-80.1%,7,-12,$428,"$78,842",-,6
87,90,Walk With Me,Gathr,"$2,967",+75.1%,3,+2,$989,"$702,771",-,27
88,77,Under the Sea 3D,WB,"$2,677",-50.4%,6,-,$446,"$35,789,848",-,478
89,N,ACORN and the Firestorm,FRun,"$2,621",-,1,-,"$2,621","$2,621",-,1
90,104,Vazante,MBox,"$2,472",+682.3%,1,-,"$2,472","$22,805",-,13
91,49,The Hurricane Heist,ENTMP,"$2,335",-92.8%,8,-28,$292,"$6,105,309",$35,5
92,91,Summer in the Forest,Abr.,"$2,333",+57.1%,4,+3,$583,"$20,836",-,3
93,94,Big Sonia,Argo.,"$2,185",+91.7%,2,-,"$1,093","$197,008",-,21
94,73,Samson,PFR,"$2,178",-71.6%,6,-16,$363,"$4,719,494",-,8
95,74,The Gardener,Grav.,"$1,770",-71.9%,1,-,"$1,770","$29,534",-,2
96,81,The Last Movie Star,A24,"$1,649",-56.4%,3,+1,$550,"$8,025",-,2
97,-,Deep Sea 3D (IMAX),WB,"$1,457",-,2,-,$729,"$46,327,100",-,617
98,106,Apocalypsis,Indic.,$902,+260.8%,1,-,$902,"$11,656",-,6
99,-,Women Like Us,Gathr,$861,-,1,-,$861,"$20,648",-,31
100,86,Faces Places,Cohen,$840,-61.7%,3,-2,$280,"$950,487",-,27
101,84,Tehran Taboo,KL,$744,-70.5%,3,-,$248,"$73,681",-,8
102,105,King of Hearts (2018 re-release),Cohen,$672,+151.7%,1,-,$672,"$17,646",-,7
103,-,In Between,FM,$641,-,1,-1,$641,"$105,776",-,14
104,-,Bomb City,Grav.,$578,-,1,-,$578,"$59,329",-,5
105,101,Born to Be Wild (IMAX),WB,$475,-14.6%,6,-2,$79,"$25,665,953",-,366
106,-,Journey to the South Pacific,Imax,$448,-,1,-,$448,"$7,621,532",-,218
107,103,Have a Nice Day,Strand,$363,+13.1%,1,-,$363,"$78,796",-,11
108,-,The Sacrifice (2017 re-release),KL,$361,-,1,-,$361,"$61,018",-,25
109,102,The Happys,Indic.,$350,-6.7%,1,-,$350,"$14,496",-,4
110,108,Double Lover,Cohen,$343,+66.5%,2,+1,$172,"$167,093",-,8
111,97,Did You Wonder Who Fired the Gun?,Ghop,$298,-71.2%,2,-,$149,"$17,307",-,6
112,-,The Crime of Monsieur Lange (2017 re-release),Rialto,$271,-,1,-,$271,"$35,601",-,18
113,-,Chronicle of Anna Magdalena Bach,Ghop,$188,-,1,-,$188,"$13,435",-,5
114,-,El Mar La Mar,CGld,$90,-,1,-,$90,"$6,130",-,5
