TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,53,Howards End (2016 Restoration),Cohen,"$19,248",-56.3%,9,+3,"$2,139","$135,955",-,3
63,62,Dekalog (2016 re-release),Jan.,"$17,485",-5.6%,5,+2,"$3,497","$47,849",-,2
64,36,Independence Day: Resurgence,Fox,"$16,760",-88.8%,42,-349,$399,"$103,137,295",$165,12
65,65,The Innocents,MBox,"$16,397",+43.0%,21,+6,$781,"$1,008,710",-,11
66,38,Naam Hai Akira,FIP,"$15,824",-88.4%,51,-20,$310,"$212,285",-,2
67,80,Max Rose,Pala.,"$15,440",+286.0%,22,+21,$702,"$21,497",-,2
68,-,Saturday's Warrior,Purd.,"$13,520",-,11,-,"$1,229","$691,458",-,23
69,61,Absolutely Fabulous: The Movie,FoxS,"$13,126",-40.1%,22,-1,$597,"$4,731,933",-,8
70,N,Demon,Orch.,"$13,023",-,3,-,"$4,341","$13,023",-,1
71,64,In Order of Disappearance,Magn.,"$12,820",+0.4%,10,+3,"$1,282","$39,093",-,3
72,N,Cameraperson,Jan.,"$12,760",-,1,-,"$12,760","$12,760",-,1
73,N,The Last Princess,CJ,"$11,607",-,1,-,"$11,607","$11,607",-,1
74,77,The Angry Birds Movie,Sony,"$10,849",+140.3%,24,+4,$452,"$107,506,776",$73,17
75,N,The Map Against the World,CJ,"$9,962",-,4,-,"$2,491","$9,962",-,1
76,N,Come What May,Cohen,"$9,738",-,2,-,"$4,869","$9,738",-,1
77,N,Brother Nature,Gold.,"$9,699",-,17,-,$571,"$9,699",-,1
78,75,Love & Friendship,RAtt.,"$8,275",+64.5%,12,+2,$690,"$14,008,906",-,18
79,63,Morris from America,A24,"$8,234",-41.3%,20,-,$412,"$72,121",-,4
80,84,Reparation,Red Dirt,"$8,130",+206.9%,4,+3,"$2,033","$13,451",-,2
81,-,Our Little Sister,SPC,"$8,082",-,18,-,$449,"$396,010",-,10
82,54,Operation Chromite,CJ,"$7,169",-83.2%,8,-5,$896,"$1,017,824",-,6
83,N,Dancer,IFC,"$7,140",-,1,-,"$7,140","$7,140",-,1
84,79,Elevator to the Gallows (2016 re-issue),Rialto,"$6,946",+73.0%,5,+3,"$1,389","$69,687",-,6
85,93,"Life, Animated",Orch.,"$6,744",+592.4%,11,+5,$613,"$235,177",-,11
86,59,Happy Bhaag Jayegi,Eros,"$5,451",-80.6%,78,-,$70,"$349,099",-,4
87,N,The Carer,Crnth,"$5,102",-,1,-,"$5,102","$5,102",-,1
88,74,The Seasons in Quincy: Four Portraits of John Berger,Icar.,"$4,778",-9.9%,1,-,"$4,778","$16,738",-,2
89,-,My King (Mon roi),FM,"$4,316",-,11,-,$392,"$42,264",-,5
90,-,Maggie's Plan,SPC,"$4,290",-,8,-,$536,"$3,351,271",-,17
91,67,Miss Sharon Jones,SM,"$4,280",-51.7%,9,-3,$476,"$101,737",-,7
92,N,As I Open My Eyes,KL,"$4,189",-,1,-,"$4,189","$8,986",-,1
93,-,Germans & Jews,FRun,"$4,142",-,2,-,"$2,071","$36,040",-,10
94,-,Eat That Question: Frank Zappa in His Own Words,SPC,"$3,714",-,9,-,$413,"$343,540",-,12
95,70,The Music of Strangers,Orch.,"$3,620",-39.8%,10,-3,$362,"$1,148,838",-,14
96,N,Landfill Harmonic,TFC,"$3,526",-,1,-,"$3,526","$3,526",-,1
97,73,Born to Be Wild (IMAX),WB,"$3,347",-37.0%,5,-1,$669,"$24,942,721",-,284
98,66,Kingsglaive: Final Fantasy: XV,VE,"$3,024",-68.1%,1,-16,"$3,024","$269,609",-,4
99,-,Don't Blink - Robert Frank,Ghop,"$2,732",-,4,-,$683,"$58,303",-,7
100,83,Tickled,Magn.,"$2,530",-16.4%,4,-,$633,"$604,808",-,13
101,97,The Tenth Man,KL,"$2,454",+390.8%,1,-,"$2,454","$47,696",-,7
102,76,Fatima,KL,"$1,906",-60.2%,1,-,"$1,906","$33,683",-,3
103,81,Swiss Army Man,A24,"$1,604",-57.9%,3,-5,$535,"$4,195,590",-,12
104,N,Restored Me (Masters Media),Masters,"$1,316",-,10,-,$132,"$1,316",-,1
105,90,Our Kind of Traitor,RAtt.,"$1,298",+1.9%,3,-,$433,"$3,152,704",-,11
106,89,The Lobster (US Release),A24,"$1,232",-7.5%,4,-2,$308,"$8,692,408",-,18
107,-,"My Love, Don't Cross that River",FM,"$1,087",-,1,-,"$1,087","$82,098",-,13
108,-,Our Little Sister (Canadian),Mon,$918,-,1,-,$918,"$50,725",-,14
109,69,The Sea of Trees,A24,$909,-87.8%,3,-98,$303,"$20,083",-,3
110,-,"Right Now, Wrong Then",Ghop,$729,-,1,-,$729,"$21,007",-,7
111,78,Spa Night,Strand,$656,-83.9%,1,-1,$656,"$32,975",-,4
112,-,The Witness,FR,$579,-,1,-,$579,"$154,622",-,15
113,-,Unlocking the Cage,FRun,$343,-,1,-,$343,"$26,903",-,11
114,-,Kaili Blues,Ghop,$329,-,1,-,$329,"$23,584",-,13
115,105,Space Station 3-D (IMAX),Imax,$319,+149.2%,1,-,$319,"$93,215,907",-,725
116,-,Men Go To Battle,FM,$277,-,1,-,$277,"$17,564",-,10
117,-,Neither Heaven Nor Earth,FM,$270,-,1,-,$270,"$10,162",-,6
118,106,Island of Lemurs: Madagascar (IMAX),WB,$237,+132.4%,2,+1,$119,"$10,664,750",-,128
119,-,Under the Sea 3D,WB,$231,-,2,-,$116,"$35,089,878",-,396
120,-,Summertime (2016),Strand,$225,-,1,-,$225,"$34,668",-,8
121,104,Last Cab to Darwin,FRun,$31,-77.5%,1,-,$31,"$32,848",-,14
