TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Jumanji: Welcome to the Jungle,Sony,"$19,505,170",-30.6%,"3,704",-145,"$5,266","$316,450,318",$90,5
2,N,12 Strong,WB,"$15,815,025",-,"3,002",-,"$5,268","$15,815,025",-,1
3,N,Den of Thieves,STX,"$15,206,108",-,"2,432",-,"$6,253","$15,206,108",-,1
4,2,The Post,Fox,"$11,716,960",-39.5%,"2,851",+32,"$4,110","$44,758,362",$50,5
5,4,The Greatest Showman,Fox,"$10,644,824",-14.6%,"2,823",-115,"$3,771","$113,125,431",$84,5
6,7,Paddington 2,WB,"$8,009,129",-27.2%,"3,702",-,"$2,163","$24,810,362",-,2
7,3,The Commuter,LGF,"$6,603,842",-51.8%,"2,892",-,"$2,283","$25,627,371",-,2
8,6,Star Wars: The Last Jedi,BV,"$6,555,435",-44.7%,"2,456",-634,"$2,669","$604,273,911",-,6
9,5,Insidious: The Last Key,Uni.,"$5,874,055",-52.7%,"2,546",-604,"$2,307","$58,658,320",$10,3
10,N,Forever My Girl,RAtt.,"$4,245,630",-,"1,114",-,"$3,811","$4,245,630",$3.5,1
11,8,Proud Mary,SGem,"$3,568,996",-64.2%,"2,125",-,"$1,680","$16,850,600",$14,2
12,20,Phantom Thread,Focus,"$3,246,720",+182.9%,896,+834,"$3,624","$6,059,449",-,4
13,9,Pitch Perfect 3,Uni.,"$3,022,185",-49.6%,"1,772",-733,"$1,706","$100,535,230",$45,5
14,13,"I, Tonya",Neon,"$2,861,168",-14.9%,799,+282,"$3,581","$14,509,885",-,7
15,10,Darkest Hour,Focus,"$2,729,810",-38.8%,"1,341",-352,"$2,036","$40,792,987",-,9
16,15,The Shape of Water,FoxS,"$2,186,311",-22.9%,853,+130,"$2,563","$30,195,358",-,8
17,16,"Three Billboards Outside Ebbing, Missouri",FoxS,"$1,917,162",-23.9%,954,-68,"$2,010","$31,994,519",-,11
18,14,Coco,BV,"$1,910,672",-42.7%,878,-484,"$2,176","$200,726,972",-,9
19,12,Ferdinand,Fox,"$1,686,160",-52.2%,"1,212",-942,"$1,391","$79,172,376",$111,6
20,11,Molly's Game,STX,"$1,622,177",-58.1%,"1,091",-617,"$1,487","$24,280,686",-,4
21,21,Call Me by Your Name,SPC,"$1,437,889",+102.3%,815,+641,"$1,764","$9,135,264",-,9
22,17,Lady Bird,A24,"$1,194,401",-32.5%,675,+23,"$1,769","$39,053,636",-,12
23,26,Hostiles,ENTMP,"$580,260",+112.3%,119,+77,"$4,876","$1,560,561",-,5
24,19,Wonder,LGF,"$536,824",-55.6%,496,-474,"$1,082","$129,891,525",-,10
25,18,All the Money in the World,TriS,"$377,888",-69.1%,374,"-1,034","$1,010","$24,106,979",-,4
26,N,Mary and the Witch's Flower,GK,"$348,475",-,161,-,"$2,164","$1,515,939",-,1
27,24,Thor: Ragnarok,BV,"$234,516",-36.8%,184,-58,"$1,275","$313,433,047",$180,12
28,30,Daddy's Home 2,Par.,"$210,675",+5.7%,183,-18,"$1,151","$103,543,455",$69,11
29,27,Murder on the Orient Express (2017),Fox,"$181,210",-29.6%,202,-70,$897,"$102,303,321",$55,11
30,22,The Disaster Artist,A24,"$174,998",-62.1%,147,-224,"$1,190","$20,726,034",-,8
31,28,Justice League,WB,"$126,109",-50.6%,151,-75,$835,"$227,702,179",-,10
32,31,Along with the Gods: The Two Worlds,WGUSA,"$103,706",-46.3%,24,-8,"$4,321","$1,684,791",-,5
33,29,Condorito: La Pelicula,LGF,"$76,014",-69.4%,134,-19,$567,"$400,460",-,2
34,33,The Star,Sony,"$73,445",-30.5%,132,-28,$556,"$40,715,377",$20,10
35,25,Downsizing,Par.,"$70,037",-76.8%,134,-278,$523,"$24,314,346",$68,5
36,N,The Final Year,Magn.,"$67,971",-,35,-,"$1,942","$67,971",-,1
37,35,Blade Runner 2049,WB,"$49,170",-29.8%,124,-1,$397,"$92,001,208",$150,16
38,36,The Florida Project,A24,"$38,903",-27.0%,37,-3,"$1,051","$5,571,691",-,16
39,32,Ex-File 3 (Qian Ren 3),CL,"$38,658",-65.6%,21,-3,"$1,841","$808,378",-,4
40,34,Father Figures,WB,"$38,300",-60.7%,96,-105,$399,"$17,388,350",-,5
41,40,Film Stars Don't Die in Liverpool,SPC,"$35,255",+7.1%,16,+7,"$2,203","$190,829",-,4
42,44,Happy End,SPC,"$30,403",+33.1%,18,+7,"$1,689","$161,783",-,5
43,38,Loving Vincent,Good Deed,"$29,372",-31.0%,35,-5,$839,"$6,532,388",-,18
44,42,The Insult,Cohen,"$23,222",-5.6%,3,-,"$7,741","$64,642",-,2
45,51,A Beautiful Planet,Imax,"$18,250",+17.2%,12,-,"$1,521","$13,051,669",-,91
46,N,The Road Movie,Osci.,"$17,175",-,19,-,$904,"$17,175",-,1
47,48,In the Fade,Magn.,"$16,227",-17.7%,9,-1,"$1,803","$101,082",-,4
48,43,Only The Brave,Sony,"$15,506",-33.6%,43,-11,$361,"$18,324,258",$38,14
49,41,Goldbuster,WGUSA,"$13,770",-50.5%,6,-,"$2,295","$173,006",-,3
50,47,The Square,Magn.,"$13,064",-36.9%,9,-10,"$1,452","$1,351,205",-,13
51,50,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$12,346",-27.4%,6,-6,"$2,058","$217,460",-,9
52,49,Jane (2017),Abr.,"$11,587",-39.0%,12,-6,$966,"$1,625,674",-,14
53,37,Mukkabaaz,Eros,"$11,406",-76.1%,19,-,$600,"$74,075",-,2
54,39,Parchi,ADC,"$10,710",-68.9%,10,-29,"$1,071","$59,577",-,2
55,53,Faces Places,Cohen,"$9,772",-15.5%,7,-6,"$1,396","$696,989",-,16
56,N,Beuys,KL,"$9,084",-,2,-,"$4,542","$11,613",-,1
57,46,Wastelander,Indic.,"$8,631",-58.4%,9,-13,$959,"$35,711",-,2
58,N,Ridge Runners,Indic.,"$8,015",-,7,-,"$1,145","$8,015",-,1
59,55,My Friend Dahmer,FR,"$7,311",-24.3%,2,-,"$3,656","$1,332,948",-,12
60,N,Tall: The American Skyscraper and Louis Sullivan,CGld,"$7,216",-,1,-,"$7,216","$7,216",-,1
61,62,Wonder Wheel,Amazon,"$6,380",+4.4%,6,-4,"$1,063","$1,392,830",-,8
62,N,A Ciambra,IFC,"$6,330",-,1,-,"$6,330","$6,330",-,1
63,67,Django,UTMW,"$6,005",+33.2%,7,+2,$858,"$29,294",-,3
64,58,In Between,FM,"$5,898",-16.0%,7,+3,$843,"$33,660",-,3
65,52,"Roman J. Israel, Esq.",Sony,"$5,581",-56.3%,25,-17,$223,"$11,926,994",$22,10
66,45,Youth (2017),CL,"$5,241",-74.8%,3,-4,"$1,747","$1,888,311",-,6
67,60,Island of Lemurs: Madagascar (IMAX),WB,"$5,010",-25.3%,3,-1,"$1,670","$11,108,930",-,199
68,66,Freak Show,IFC,"$4,927",+2.5%,7,+6,$704,"$12,489",-,2
69,84,Under the Sea 3D,WB,"$4,837",+499.4%,6,+2,$806,"$35,696,979",-,467
70,76,1945,Men.,"$3,733",+104.9%,6,+2,$622,"$269,204",-,12
71,59,Birdboy: The Forgotten Children,GK,"$3,730",-46.0%,5,-4,$746,"$29,692",-,6
72,77,Hubble 3D,WB,"$3,595",+98.6%,4,+3,$899,"$51,996,447",-,410
73,N,Mama Africa Miriam Makeba,Artma,"$3,495",-,1,-,"$3,495","$3,495",-,1
74,61,Big Sonia,Argo.,"$3,330",-48.9%,2,-,"$1,665","$146,696",-,10
75,65,My Art,FM,"$3,131",-43.5%,2,+1,"$1,566","$11,126",-,2
76,57,Memories of Underdevelopment (2017 re-release),Jan.,"$2,916",-64.6%,1,-,"$2,916","$19,461",-,2
77,71,Humor Me,Shout!,"$2,851",-14.7%,2,+1,"$1,426","$7,984",-,2
78,63,The Breadwinner,GK,"$2,796",-51.7%,4,-2,$699,"$250,729",-,10
79,68,The Sacrifice (2017 re-release),KL,"$2,677",-27.8%,3,-1,$892,"$41,447",-,14
80,79,Thelma,Orch.,"$2,582",+56.3%,3,-1,$861,"$143,575",-,11
81,70,Same Kind of Different as Me,PFR,"$2,492",-28.3%,9,-2,$277,"$6,421,634",-,14
82,N,Kangaroo,Abr.,"$2,282",-,2,-,"$1,141","$2,282",-,1
83,93,Born to Be Wild (IMAX),WB,"$2,199","+3,041.4%",6,+3,$367,"$25,623,439",-,355
84,-,In Search of Fellini,AMBI,"$1,976",-,1,-,"$1,976","$12,772",-,5
85,75,Just Getting Started,BG,"$1,970",-1.2%,1,-,"$1,970","$6,067,735",$22,7
86,56,Tom of Finland,KL,"$1,874",-79.1%,2,-2,$937,"$347,038",-,15
87,64,The Man Who Invented Christmas,BST,"$1,778",-68.0%,8,-13,$222,"$5,675,534",-,9
88,74,The Lucky Man,Indic.,"$1,722",-32.7%,2,-1,$861,"$18,892",-,-37
89,72,The Other Side of Hope,Jan.,"$1,718",-48.0%,1,-1,"$1,718","$179,848",-,8
90,83,Novitiate,SPC,"$1,504",+43.0%,6,+2,$251,"$574,809",-,13
91,80,Felicite,Strand,"$1,327",-14.9%,5,+1,$265,"$12,022",-,13
92,-,The Paris Opera,FM,"$1,312",-,1,-,"$1,312","$55,482",-,14
93,-,The Divine Order,Zeit.,$908,-,2,-,$454,"$66,258",-,13
94,73,The Crime of Monsieur Lange (2017 re-release),Rialto,$877,-73.4%,1,-2,$877,"$33,542",-,10
95,69,Vazante,MBox,$784,-77.5%,1,-,$784,"$6,318",-,2
96,81,Let there be Light,ADC,$541,-57.5%,1,-1,$541,"$7,214,987",-,13
97,78,Porto,KL,$278,-83.8%,2,+1,$139,"$13,784",-,10
98,85,BPM (Beats Per Minute),Orch.,$276,-56.3%,1,-2,$276,"$97,151",-,14
99,82,God's Own Country,Orion,$155,-87.1%,1,-1,$155,"$324,569",-,13
100,-,Shadowman,FM,$73,-,1,-,$73,"$11,572",-,7
101,87,On the Beach at Night Alone,CGld,$59,-89.6%,1,-2,$59,"$32,799",-,10
