TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Don't Breathe,SGem,"$26,411,706",-,"3,051",-,"$8,657","$26,411,706",$9.9,1
2,1,Suicide Squad,WB,"$12,248,439",-41.3%,"3,582",-342,"$3,419","$283,021,066",$175,4
3,4,Kubo and the Two Strings,Focus,"$7,844,822",-37.8%,"3,279",+19,"$2,392","$24,856,200",$60,2
4,2,Sausage Party,Sony,"$7,525,655",-51.4%,"3,135",+32,"$2,401","$79,869,165",$19,3
5,N,Mechanic: Resurrection,LG/S,"$7,456,525",-,"2,258",-,"$3,302","$7,456,525",-,1
6,5,Pete's Dragon (2016),BV,"$7,441,458",-34.4%,"3,244",-458,"$2,294","$54,874,836",$65,3
7,3,War Dogs,WB,"$7,022,257",-52.2%,"3,258",-,"$2,155","$27,524,944",-,2
8,8,Bad Moms,STX,"$5,573,833",-29.9%,"2,565",-246,"$2,173","$95,267,068",$20,5
9,7,Jason Bourne,Uni.,"$5,141,045",-35.9%,"2,445",-442,"$2,103","$149,268,280",$120,5
10,6,Ben-Hur (2016),Par.,"$4,560,825",-59.3%,"3,084",-,"$1,479","$19,583,702",$100,2
11,9,The Secret Life of Pets,Uni.,"$3,879,180",-34.0%,"2,091",-313,"$1,855","$353,340,185",$75,8
12,12,Hell or High Water,LGF,"$3,551,931",+31.9%,909,+437,"$3,908","$8,391,030",$12,3
13,10,Florence Foster Jenkins,Par.,"$2,967,526",-32.3%,"1,324",-204,"$2,241","$19,820,821",$29,3
14,N,Southside with You,RAtt.,"$2,868,403",-,813,-,"$3,528","$2,868,403",-,1
15,11,Star Trek Beyond,Par.,"$2,261,531",-42.7%,"1,277",-689,"$1,771","$150,891,580",$185,6
16,N,Hands of Stone,Wein.,"$1,751,388",-,810,-,"$2,162","$1,751,388",-,1
17,13,Lights Out,WB (NL),"$670,144",-58.2%,603,-339,"$1,111","$65,468,595",$4.9,6
18,17,Finding Dory,BV,"$632,138",-30.3%,345,-105,"$1,832","$479,600,783",-,11
19,N,Greater,Ham,"$627,974",-,340,-,"$1,847","$627,974",-,1
