TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Black Panther,BV,"$40,817,579",-38.4%,"3,942",-142,"$10,355","$561,697,180",-,4
2,N,A Wrinkle in Time,BV,"$33,123,609",-,"3,980",-,"$8,323","$33,123,609",-,1
3,N,Strangers: Prey at Night,Aviron,"$10,402,271",-,"2,464",-,"$4,222","$10,402,271",-,1
4,2,Red Sparrow,Fox,"$8,502,263",-49.6%,"3,064",+8,"$2,775","$31,471,006",$69,2
5,4,Game Night,WB (NL),"$7,863,391",-24.5%,"3,061",-441,"$2,569","$45,004,023",$37,3
6,5,Peter Rabbit,Sony,"$6,775,718",-32.3%,"3,112",-495,"$2,177","$93,433,524",$50,5
7,3,Death Wish (2018),MGM,"$6,581,130",-49.4%,"2,882",+35,"$2,284","$23,856,431",$30,2
8,6,Annihilation,Par.,"$3,302,319",-41.1%,"1,709",-403,"$1,932","$26,246,833",$40,3
9,N,The Hurricane Heist,ENTMP,"$3,024,399",-,"2,402",-,"$1,259","$3,024,399",$35,1
10,7,Jumanji: Welcome to the Jungle,Sony,"$2,742,244",-38.2%,"2,157",-156,"$1,271","$397,250,264",$90,12
11,N,Gringo,STX,"$2,722,420",-,"2,404",-,"$1,132","$2,722,420",-,1
12,11,The Shape of Water,FoxS,"$2,347,664",+58.7%,"1,552",+720,"$1,513","$61,085,147",-,15
13,9,The Greatest Showman,Fox,"$1,914,157",-29.2%,952,-455,"$2,011","$167,614,558",$84,12
14,8,Fifty Shades Freed,Uni.,"$1,368,020",-59.8%,"1,357","-1,257","$1,008","$98,382,615",$55,5
15,N,Thoroughbreds,Focus,"$1,224,430",-,549,-,"$2,230","$1,224,430",-,1
16,N,Met Opera: Semiramide,Fathom,"$1,200,000",-,900,-,"$1,333","$1,200,000",-,1
17,13,"Three Billboards Outside Ebbing, Missouri",FoxS,"$694,643",-46.2%,552,-218,"$1,258","$53,465,243",-,18
18,14,The Post,Fox,"$328,610",-69.3%,278,-393,"$1,182","$81,168,402",$50,12
19,15,Call Me by Your Name,SPC,"$293,406",-62.5%,309,-605,$950,"$17,458,151",-,16
20,35,A Fantastic Woman,SPC,"$271,632",+117.3%,166,+77,"$1,636","$1,157,307",-,6
21,17,Darkest Hour,Focus,"$265,545",-61.9%,245,-668,"$1,084","$56,088,295",-,16
22,27,Star Wars: The Last Jedi,BV,"$265,513",+5.1%,246,+25,"$1,079","$619,483,244",-,13
23,12,The 15:17 to Paris,WB,"$264,490",-81.3%,420,"-1,383",$630,"$35,772,875",$30,5
24,19,"I, Tonya",Neon,"$263,031",-52.4%,243,-268,"$1,082","$29,509,368",-,14
25,25,Coco,BV,"$258,951",-19.4%,194,-41,"$1,335","$208,845,284",-,16
26,10,Every Day (2018),Orion,"$251,513",-83.7%,615,"-1,054",$409,"$5,955,811",$4.9,3
27,16,Phantom Thread,Focus,"$235,490",-68.7%,184,-531,"$1,280","$20,713,025",-,11
28,30,Ferdinand,Fox,"$192,103",-9.2%,201,-3,$956,"$83,362,967",$111,13
29,N,The Death of Stalin,IFC,"$184,805",-,4,-,"$46,201","$184,805",-,1
30,22,Maze Runner: The Death Cure,Fox,"$181,633",-61.4%,214,-329,$849,"$57,448,833",$62,7
31,18,Lady Bird,A24,"$173,634",-69.5%,156,-554,"$1,113","$48,701,472",-,19
