TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Deadpool 2,Fox,"$125,507,153",-,"4,349",-,"$28,859","$125,507,153",$110,1
2,1,Avengers: Infinity War,BV,"$29,452,903",-52.6%,"4,002",-472,"$7,360","$595,813,862",-,4
3,N,Book Club,Par.,"$13,582,231",-,"2,781",-,"$4,884","$13,582,231",-,1
4,2,Life of the Party ,WB (NL),"$7,603,850",-57.5%,"3,656",-,"$2,080","$30,915,357",-,2
5,3,Breaking In (2018),Uni.,"$6,826,385",-61.3%,"2,537",-,"$2,691","$29,106,095",$6,2
6,N,Show Dogs,Global Road,"$6,023,972",-,"3,212",-,"$1,875","$6,023,972",-,1
7,4,Overboard (2018),PNT,"$4,625,858",-53.1%,"1,820",-186,"$2,542","$36,874,428",-,3
8,5,A Quiet Place,Par.,"$3,944,442",-38.9%,"2,327",-817,"$1,695","$176,080,755",$17,7
9,7,Rampage (2018),WB (NL),"$1,577,260",-54.4%,"1,466","-1,082","$1,076","$92,500,589",$120,6
10,14,Super Troopers 2,Fox,"$1,294,113",+31.7%,478,-901,"$2,707","$29,106,469",$13.5,5
11,6,I Feel Pretty,STX,"$1,265,813",-66.7%,"1,505","-1,353",$841,"$46,604,270",$32,5
12,10,RBG,Magn.,"$1,252,920",+5.4%,375,+196,"$3,341","$3,853,686",-,3
13,9,Black Panther,BV,"$860,442",-58.6%,935,-435,$920,"$697,822,227",-,14
14,8,Tully (2018),Focus,"$560,020",-75.1%,670,-686,$836,"$8,430,545",-,3
15,19,Disobedience,BST,"$521,915",+24.0%,247,+147,"$2,113","$1,901,655",-,4
16,N,Pope Francis - A Man of His Word,Focus,"$507,870",-,346,-,"$1,468","$507,870",-,1
17,12,Blockers,Uni.,"$462,580",-58.5%,439,-672,"$1,054","$59,038,055",$21,7
18,16,Ready Player One,WB,"$365,484",-59.1%,388,-416,$942,"$135,292,094",-,8
19,13,Isle Of Dogs,FoxS,"$344,866",-67.8%,288,-758,"$1,197","$30,743,143",-,9
20,20,Sherlock Gnomes,Par.,"$297,486",-26.8%,419,-189,$710,"$42,216,688",$59,9
21,15,Truth or Dare,Uni.,"$250,845",-72.6%,380,-889,$660,"$40,287,855",$3.5,6
22,N,2001: A Space Odyssey (2018 re-release),WB,"$202,759",-,4,-,"$50,690","$202,759",-,1
23,21,I Can Only Imagine,RAtt.,"$171,411",-57.5%,274,-155,$626,"$82,818,978",$7,10
24,25,The Rider,SPC,"$162,211",-26.7%,90,+5,"$1,802","$1,104,525",-,6
25,11,A Wrinkle in Time,BV,"$160,746",-86.1%,230,"-1,754",$699,"$97,366,188",-,11
26,22,102 Not Out,Sony,"$128,616",-56.2%,102,-,"$1,261","$1,209,343",-,3
27,31,Pandas,WB,"$124,259",+10.1%,35,-,"$3,550","$1,379,343",-,7
28,41,Beast,RAtt.,"$102,087",+91.7%,31,+27,"$3,293","$181,101",-,2
29,17,Nothing to Lose (2018),Swen,"$98,094",-85.6%,44,-25,"$2,229","$937,530",-,2
30,N,First Reformed,A24,"$97,562",-,4,-,"$24,391","$97,562",-,1
31,32,Let the Sunshine In,IFC,"$86,937",-21.6%,49,+15,"$1,774","$392,041",-,4
32,24,Chappaquiddick,ENTMP,"$86,561",-65.4%,150,-167,$577,"$17,171,471",-,7
33,47,"Love, Simon",Fox,"$76,237",+87.9%,32,-71,"$2,382","$40,797,033",$17,10
34,33,Peter Rabbit,Sony,"$67,311",-33.4%,145,-34,$464,"$115,045,409",$50,15
35,26,Tyler Perry's Acrimony,LGF,"$67,282",-67.5%,116,-141,$580,"$43,385,631",-,8
36,30,Tomb Raider,WB,"$65,701",-42.5%,134,-26,$490,"$57,333,205",$94,10
37,35,The Seagull,SPC,"$63,890",-19.1%,13,+7,"$4,915","$178,806",-,2
38,29,Game Night,WB (NL),"$60,278",-47.5%,121,-37,$498,"$68,838,771",$37,13
39,27,The Death of Stalin,IFC,"$56,987",-55.6%,50,-80,"$1,140","$7,809,066",-,11
40,23,Traffik,LGF,"$48,716",-82.4%,81,-300,$601,"$9,079,213",-,5
41,28,The Miracle Season,Mirr/LD,"$45,831",-63.4%,101,-133,$454,"$10,017,545",-,7
42,63,Red Sparrow,Fox,"$36,832",+196.6%,22,-10,"$1,674","$46,826,445",$69,12
43,N,On Chesil Beach,BST,"$35,765",-,4,-,"$8,941","$35,765",-,1
44,39,The Greatest Showman,Fox,"$34,127",-44.3%,67,-22,$509,"$173,947,134",$84,22
45,58,Champion (2018),WGUSA,"$32,261",+88.7%,29,+27,"$1,112","$57,226",-,2
46,44,Jumanji: Welcome to the Jungle,Sony,"$30,609",-38.3%,67,-31,$457,"$404,468,712",$90,22
47,65,A Beautiful Planet,Imax,"$28,643",+143.6%,12,+1,"$2,387","$14,214,686",-,108
48,54,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,"$27,649",+21.7%,11,+9,"$2,514","$65,690",-,2
49,34,You Were Never Really Here,Amazon,"$27,119",-67.9%,32,-70,$847,"$2,448,819",-,7
50,42,Sgt. Stubby: An American Hero,FunAcad,"$22,293",-57.6%,30,-79,$743,"$3,054,285",-,6
51,43,"Paul, Apostle of Christ",Sony,"$21,430",-57.5%,59,-53,$363,"$17,547,999",$5,9
52,48,The Leisure Seeker,SPC,"$20,658",-47.0%,29,-38,$712,"$3,138,182",-,23
53,37,Beirut,BST,"$18,999",-69.3%,15,-52,"$1,267","$4,953,165",-,6
54,36,Lean on Pete,A24,"$17,701",-76.1%,44,-85,$402,"$1,121,842",-,7
55,49,God's Not Dead: A Light in Darkness,PFR,"$16,608",-43.9%,45,-22,$369,"$5,704,812",-,8
56,18,Bad Samaritan,Electric,"$16,190",-96.9%,48,"-1,498",$337,"$3,424,744",-,3
57,55,Death Wish (2018),MGM,"$15,043",-21.7%,25,+2,$602,"$33,997,862",$30,12
58,50,Bag of Marbles,Gaum.,"$14,584",-42.2%,11,-4,"$1,326","$307,999",-,9
59,N,Gray Matter,Indic.,"$14,064",-,12,-,"$1,172","$14,064",-,1
60,72,Always at the Carlyle,Good Deed,"$13,204",+42.9%,7,+6,"$1,886","$28,382",-,2
61,53,Grace Jones: Bloodlight and Bami,KL,"$12,979",-45.1%,16,-14,$811,"$312,271",-,6
62,52,The Endless,WGUSA,"$12,784",-46.9%,8,-10,"$1,598","$242,528",-,7
63,46,Finding Your Feet,RAtt.,"$12,737",-69.1%,30,-31,$425,"$1,374,248",-,8
64,76,Filmworker,KL,"$11,196",+40.2%,4,+3,"$2,799","$32,448",-,2
65,73,The Guardians,MBox,"$11,007",+24.7%,7,+4,"$1,572","$35,958",-,3
66,45,Revenge (2018),Neon,"$10,615",-76.9%,15,-22,$708,"$81,973",-,2
67,40,Lu Over the Wall,GK,"$7,787",-87.2%,12,-85,$649,"$96,863",-,2
68,57,Goodland,PDF,"$7,740",-56.1%,3,+1,"$2,580","$25,272",-,2
69,51,Itzhak,Greenwich,"$6,558",-73.5%,14,-20,$468,"$505,513",-,11
70,79,Hubble 3D,WB,"$6,268",-9.2%,5,-1,"$1,254","$52,200,361",-,427
71,N,That Summer,IFC,"$5,977",-,1,-,"$5,977","$5,977",-,1
72,108,Bye Bye Germany,FM,"$5,861","+1,196.7%",5,+3,"$1,172","$41,327",-,6
73,78,Ferdinand,Fox,"$5,440",-27.4%,17,-8,$320,"$84,389,759",$111,23
74,68,Sollers Point,Osci.,"$5,101",-52.0%,2,+1,"$2,551","$16,543",-,2
75,67,Keep the Change,KL,"$5,049",-53.2%,7,-2,$721,"$181,367",-,10
76,-,The Escape,IFC,"$4,992",-,29,+27,$172,"$8,901",-,2
77,71,Strangers: Prey at Night,Aviron,"$4,938",-47.6%,15,-9,$329,"$24,428,800",-,11
78,88,Anything,Pala.,"$4,883",+18.8%,27,+24,$181,"$11,166",-,2
79,-,Zama,Strand,"$4,826",-,7,-,$689,"$170,267",-,6
80,61,1945,Men.,"$4,407",-65.8%,8,-8,$551,"$687,944",-,29
81,94,Under the Sea 3D,WB,"$4,317",+75.8%,6,-1,$720,"$35,831,851",-,484
82,64,Final Portrait,SPC,"$4,222",-65.8%,14,-10,$302,"$453,123",-,9
83,90,The Day After,CGld,"$3,824",+2.6%,3,+2,"$1,275","$11,738",-,2
84,69,Godard Mon Amour,Cohen,"$3,729",-64.0%,10,-2,$373,"$78,401",-,5
85,81,Mountain,Greenwich,"$3,504",-42.2%,1,-,"$3,504","$32,127",-,2
86,60,Ghost Stories,IFC,"$3,406",-79.1%,9,-7,$378,"$132,887",-,5
87,59,Little Pink House,Da.,"$3,249",-80.5%,5,-8,$650,"$185,812",-,5
88,91,Sweet Country (2018),Gold.,"$3,017",-13.8%,5,+1,$603,"$90,783",-,7
89,N,The Most Unknown,Abr.,"$2,905",-,1,-,"$2,905","$2,905",-,1
90,101,Cold Water (2018 re-release),Jan.,"$2,587",+168.1%,1,-,"$2,587","$19,979",-,4
91,97,Deep Sea 3D (IMAX),WB,"$2,549",+42.6%,4,-,$637,"$46,345,044",-,628
92,83,After Auschwitz,Passion Rive,"$2,483",-52.6%,5,-3,$497,"$71,746",-,6
93,80,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$2,466",-63.7%,6,-5,$411,"$812,807",-,26
94,77,Getting Grace,Hann.,"$2,296",-70.2%,3,-1,$765,"$214,781",-,9
95,-,Saving Brinton,BOP,"$2,000",-,1,-,"$2,000","$27,927",-,12
96,-,The Desert Bride,Strand,"$1,658",-,4,-,$415,"$10,327",-,3
97,113,The Great Silence (2018 re-release),FM,"$1,590",+511.5%,1,-1,"$1,590","$40,193",-,8
98,86,Leaning Into The Wind,Magn.,"$1,501",-69.2%,4,-8,$375,"$381,046",-,11
99,75,Oh Lucy!,FM,"$1,448",-82.4%,3,-10,$483,"$362,404",-,12
100,118,The House of Tomorrow,Shout!,"$1,400","+1,328.6%",2,-,$700,"$14,051",-,4
101,70,Foxtrot,SPC,"$1,149",-88.7%,8,-14,$144,"$611,744",-,12
102,-,The Gardener,Grav.,"$1,117",-,2,-,$559,"$37,799",-,5
103,-,The Happys,Indic.,"$1,089",-,2,-,$545,"$16,617",-,9
104,93,The Doctor from India,Zeit.,$900,-71.9%,1,-1,$900,"$14,506",-,5
105,62,Back to Burgundy,MBox,$855,-93.4%,3,-14,$285,"$245,527",-,9
106,87,The Devil and Father Amorth,Orch.,$720,-83.7%,1,-3,$720,"$19,895",-,5
108,112,Born to Be Wild (IMAX),WB,$702,+154.3%,4,-1,$176,"$25,705,440",-,372
107,85,Hitler's Hollywood,KL,$702,-86.2%,3,-,$234,"$38,265",-,6
109,107,Jet Trash,Indic.,$482,-,1,-,$482,"$10,857",-,4
110,114,Apocalypsis,Indic.,$300,+41.5%,1,-,$300,"$18,157",-,12
111,100,Ismael's Ghosts,Magn.,$282,-79.7%,2,-5,$141,"$102,286",-,9
112,98,Claire's Camera,CGld,$264,-83.5%,1,-1,$264,"$73,667",-,11
113,105,The Heart of Nuba,Abr.,$232,-62.3%,1,-,$232,"$29,255",-,7
114,99,Island of Lemurs: Madagascar (IMAX),WB,$232,-84.2%,2,-,$116,"$11,232,233",-,216
115,89,A Fantastic Woman,SPC,$203,-94.7%,1,-6,$203,"$2,020,988",-,16
116,-,Did You Wonder Who Fired the Gun?,Ghop,$188,-,2,-,$94,"$20,304",-,12
117,-,Strangers on the Earth,FRun,$172,-,1,-,$172,"$7,452",-,3
118,-,On the Beach at Night Alone,CGld,$89,-,1,-,$89,"$36,056",-,24
120,-,Chronicle of Anna Magdalena Bach,Ghop,$66,-,1,-,$66,"$14,659",-,12
119,103,Journey to the South Pacific,Imax,$66,-90.4%,1,-,$66,"$7,626,324",-,230
