TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Star Wars: The Force Awakens,BV,"$42,353,785",-53.1%,"4,134",-,"$10,245","$812,734,828",$245,4
2,23,The Revenant,Fox,"$39,826,840","+8,793.3%","3,375","+3,371","$11,801","$41,383,741",$135,3
3,2,Daddy's Home,Par.,"$15,015,465",-48.6%,"3,483",+141,"$4,311","$116,329,041",-,3
4,N,The Forest,Focus,"$12,741,176",-,"2,451",-,"$5,198","$12,741,176",$10,1
5,4,Sisters,Uni.,"$7,189,455",-43.7%,"2,864",-114,"$2,510","$73,899,400",$30,4
6,3,The Hateful Eight,Wein.,"$6,402,187",-59.2%,"2,938",+464,"$2,179","$41,525,007",$44,3
7,7,The Big Short,Par.,"$6,174,503",-31.9%,"2,529",+941,"$2,441","$42,724,340",$28,5
8,5,Alvin and the Chipmunks: The Road Chip,Fox,"$5,703,675",-52.8%,"2,972",-502,"$1,919","$75,812,014",-,4
9,6,Joy,Fox,"$4,476,246",-56.2%,"2,513",-411,"$1,781","$46,531,854",$60,3
10,8,Concussion (2015),Sony,"$3,029,367",-61.4%,"2,056",-785,"$1,473","$30,947,645",$35,3
11,9,Point Break (2015),WB,"$2,148,406",-68.5%,"1,981",-929,"$1,085","$26,757,029",$105,3
12,10,The Hunger Games: Mockingjay - Part 2,LGF,"$2,106,887",-54.4%,"1,227",-258,"$1,717","$277,578,497",$160,8
13,11,The Good Dinosaur,BV,"$1,748,321",-56.8%,"1,190",-545,"$1,469","$117,438,706",-,7
14,12,Creed,WB (NL),"$1,514,260",-59.5%,"1,001",-374,"$1,513","$105,605,754",$35,7
15,16,Carol,Wein.,"$1,486,065",+25.8%,525,+336,"$2,831","$7,004,358",-,8
16,14,Brooklyn,FoxS,"$1,055,322",-15.5%,294,+9,"$3,590","$22,439,281",-,10
17,15,Spotlight,ORF,"$928,471",-21.7%,368,-17,"$2,523","$28,546,477",-,10
18,13,The Danish Girl,Focus,"$845,610",-45.2%,417,-32,"$2,028","$7,605,915",-,7
19,N,Wazir,Relbig.,"$586,028",-,111,-,"$5,280","$586,028",-,1
20,19,Spectre,Sony,"$403,519",-44.8%,379,+48,"$1,065","$198,500,048",$245,10
21,21,The Martian,Fox,"$375,913",-33.5%,271,-11,"$1,387","$226,486,935",$108,15
22,22,The Peanuts Movie,Fox,"$276,096",-47.7%,286,-34,$965,"$129,152,908",$99,10
23,18,Bajirao Mastani,Eros,"$246,744",-68.4%,302,-,$817,"$6,281,854",-,4
24,34,Anomalisa,Par.,"$216,544",+60.1%,17,+13,"$12,738","$486,076",$8,2
25,26,Hotel Transylvania 2,Sony,"$199,384",-34.3%,177,-19,"$1,126","$169,051,260",$80,16
26,24,Youth,FoxS,"$185,186",-47.5%,95,-49,"$1,949","$1,998,532",-,6
27,31,The Himalayas,CJ,"$181,223",+20.2%,36,+11,"$5,034","$442,417",-,4
28,20,In the Heart of the Sea,WB,"$180,046",-73.8%,222,-311,$811,"$24,183,085",$100,5
29,28,Goosebumps,Sony,"$144,207",-39.2%,164,-20,$879,"$79,574,647",$58,13
30,17,Krampus,Uni.,"$132,325",-83.7%,245,-418,$540,"$42,592,530",$15,6
31,27,Mr. Six,CL,"$128,265",-56.0%,32,+4,"$4,008","$1,316,217",-,3
32,N,The Masked Saint,Free,"$123,839",-,482,-,$257,"$123,839",-,1
33,36,Room,A24,"$115,820",-0.3%,88,-3,"$1,316","$5,166,724",-,13
34,29,Trumbo (2015),BST,"$114,600",-33.5%,90,-,"$1,273","$7,203,646",-,10
35,30,Bridge of Spies,BV,"$103,395",-36.3%,95,-14,"$1,088","$70,780,769",$40,13
36,80,Yellow Day (2015),PFP,"$101,573","+17,719.8%",40,+37,"$2,539","$132,909",-,5
37,38,45 Years,IFC,"$77,117",-11.9%,9,+3,"$8,569","$341,270",-,3
38,39,Ho Mann Jahaan,Eros,"$49,153",-36.6%,23,+4,"$2,137","$146,636",-,2
39,32,Love the Coopers,LGF,"$48,761",-64.9%,128,-85,$381,"$26,284,475",$17,9
40,25,Dilwale,UTV,"$46,924",-84.9%,42,-92,"$1,117","$4,830,637",-,4
41,40,The 33,WB,"$44,407",-39.3%,82,-29,$542,"$12,188,642",-,9
42,35,Mojin: The Lost Legend,WGUSA,"$43,439",-65.4%,11,-8,"$3,949","$1,215,501",$37,4
43,42,Macbeth (2015),Wein.,"$35,789",-27.6%,22,-3,"$1,627","$974,893",-,6
44,41,Sicario,LGF,"$30,285",-43.5%,53,-6,$571,"$46,875,468",$30,17
45,44,Devil and Angel (E Gun Tian Shi),CL,"$28,225",-37.1%,9,-3,"$3,136","$110,158",-,2
46,43,The Secret in their Eyes (2015),STX,"$27,947",-42.3%,62,-5,$451,"$20,167,424",$19.5,8
47,45,Son of Saul,SPC,"$24,709",-24.6%,4,-,"$6,177","$201,327",-,4
48,37,The Night Before,Sony,"$22,143",-76.0%,64,-68,$346,"$43,035,725",$25,8
49,48,Mustang,Cohen,"$20,866",-16.6%,14,+3,"$1,490","$221,390",-,8
50,50,Janis: Little Girl Blue,FR,"$19,879",-14.2%,9,-4,"$2,209","$303,547",-,7
51,51,Chimes at Midnight (2016 re-release),Jan.,"$19,652",-4.0%,2,-,"$9,826","$54,476",-,2
52,56,Hubble 3D,WB,"$18,815",+98.6%,10,+6,"$1,882","$50,870,940",-,284
53,N,Trust Fund,Trans,"$18,023",-,4,-,"$4,506","$18,043",-,1
54,53,Peggy Guggenheim Art Addict,SD,"$17,804",+20.5%,10,+1,"$1,780","$420,299",-,10
55,47,Maze Runner: The Scorch Trials,Fox,"$17,497",-41.5%,39,-9,$449,"$81,687,587",$61,17
56,57,Hitchcock/Truffaut,Cohen,"$16,075",+94.2%,17,+11,$946,"$228,788",-,6
