TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Blade Runner 2049,WB,"$32,753,122",-,"4,058",-,"$8,071","$32,753,122",$150,1
2,N,The Mountain Between Us,Fox,"$10,551,336",-,"3,088",-,"$3,417","$10,551,336",$35,1
3,2,It,WB (NL),"$9,972,002",-41.0%,"3,605",-312,"$2,766","$305,250,480",$35,5
4,N,My Little Pony: The Movie,LGF,"$8,885,899",-,"2,528",-,"$3,515","$8,885,899",-,1
5,1,Kingsman: The Golden Circle,Fox,"$8,675,412",-48.8%,"3,488",-550,"$2,487","$80,539,837",$104,3
6,3,American Made,Uni.,"$8,446,715",-49.7%,"3,031",+7,"$2,787","$30,818,675",$50,2
7,4,The LEGO Ninjago Movie,WB,"$7,002,474",-39.9%,"3,611",-436,"$1,939","$44,076,137",-,3
8,11,Victoria and Abdul,Focus,"$4,171,870",+282.0%,732,+655,"$5,699","$5,987,264",-,3
9,5,Flatliners (2017),Sony,"$3,975,021",-39.5%,"2,552",-,"$1,558","$12,504,623",$19,2
10,6,Battle of the Sexes,FoxS,"$2,567,218",-24.7%,"1,822",+609,"$1,409","$7,845,009",-,3
11,7,American Assassin,LGF,"$1,388,305",-58.1%,"1,656","-1,364",$838,"$34,449,582",$33,4
12,9,Til Death Do Us Part,NN,"$751,647",-50.8%,550,-12,"$1,367","$2,671,694",-,2
13,N,The Stray,Purd.,"$596,547",-,640,-,$932,"$596,547",-,1
14,8,Home Again,ORF,"$568,000",-67.1%,"1,003","-1,367",$566,"$26,353,346",$12,5
15,12,A Question Of Faith,PFR,"$453,717",-55.8%,608,-53,$746,"$1,788,973",-,2
16,10,mother!,Par.,"$387,753",-73.2%,481,"-1,359",$806,"$17,297,289",$30,4
17,16,Judwaa 2,FIP,"$312,250",-51.1%,192,-,"$1,626","$1,184,239",-,2
18,21,Despicable Me 3,Uni.,"$289,605",-20.8%,304,-115,$953,"$262,637,975",$80,15
19,13,Stronger,RAtt.,"$278,121",-69.9%,335,-310,$830,"$3,770,494",-,3
20,18,Spider-Man: Homecoming,Sony,"$272,576",-53.7%,326,-353,$836,"$333,125,680",$175,14
21,24,The Emoji Movie,Sony,"$226,939",-12.8%,254,-116,$893,"$85,194,738",$50,11
22,22,Dunkirk,WB,"$224,438",-32.0%,313,-88,$717,"$187,261,727",$100,12
23,19,Leap!,Wein.,"$212,219",-56.1%,401,-329,$529,"$21,217,248",-,7
24,17,Wind River,Wein.,"$206,273",-65.5%,356,-536,$579,"$33,233,057",$11,10
25,15,The Hitman's Bodyguard,LG/S,"$168,367",-75.2%,314,-805,$536,"$75,020,039",$30,8
26,35,Loving Vincent,Good Deed,"$167,647",+202.2%,28,+24,"$5,987","$287,969",-,3
27,N,The Florida Project,A24,"$157,553",-,4,-,"$39,388","$156,833",-,1
28,23,Annabelle: Creation,WB (NL),"$147,702",-52.6%,188,-197,$786,"$101,788,793",$15,9
29,N,City of Rock,WGUSA,"$115,524",-,43,-,"$2,687","$115,524",-,1
30,20,Brad's Status,Annapurna,"$112,185",-72.0%,247,-206,$454,"$2,029,594",-,4
31,36,Cars 3,BV,"$111,504",+104.9%,131,+43,$851,"$152,603,003",-,17
32,41,Lucky (2017),Magn.,"$95,434",+120.4%,34,+29,"$2,807","$176,013",-,2
33,25,Wonder Woman,WB,"$86,682",-53.2%,155,-106,$559,"$412,400,625",$149,19
34,27,Chasing the Dragon,WGUSA,"$85,219",-38.4%,31,-21,"$2,749","$306,946",-,2
35,26,War for the Planet of the Apes,Fox,"$79,975",-43.2%,121,-83,$661,"$146,580,059",$150,13
36,14,Friend Request,ENTMP,"$75,156",-89.7%,154,"-1,927",$488,"$3,700,326",$9.9,3
37,45,Mark Felt: The Man Who Brought Down the White House,SPC,"$59,937",+75.2%,17,+12,"$3,526","$109,033",-,2
38,N,Architects of Denial,Da.,"$58,472",-,11,-,"$5,316","$58,472",-,1
39,59,Kidnap (2017),Aviron,"$54,108",+260.2%,77,+9,$703,"$30,597,320",$21,10
40,29,The Dark Tower,Sony,"$53,707",-54.7%,114,-119,$471,"$50,644,837",$60,10
41,28,Baby Driver,TriS,"$51,303",-60.4%,95,-82,$540,"$107,770,367",$34,15
42,34,The Glass Castle,LGF,"$46,008",-19.5%,113,-23,$407,"$17,238,739",-,9
43,N,Earth: One Amazing Day,BBC,"$45,480",-,70,-,$650,"$45,480",-,1
44,39,Dolores,PBS,"$43,345",-17.1%,26,-1,"$1,667","$419,201",-,6
45,31,Girls Trip,Uni.,"$43,320",-61.1%,90,-89,$481,"$115,088,305",$19,12
46,30,Viceroy's House,IFC,"$43,171",-61.4%,67,-38,$644,"$1,009,275",-,6
47,N,Faces Places,Cohen,"$31,006",-,5,-,"$6,201","$31,006",-,1
48,38,Columbus,INDEP,"$26,431",-50.2%,36,-13,$734,"$892,778",-,10
49,63,Take Every Wave: The Life of Liard Hamilton,IFC,"$25,248",+99.8%,12,+11,"$2,104","$41,053",-,2
50,N,Chavela,MBox,"$22,453",-,4,-,"$5,613","$26,506",-,1
51,40,The Big Sick,LGF,"$20,940",-52.6%,34,-47,$616,"$42,824,653",-,16
