TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,52,The Meddler,SPC,"$8,912",-46.2%,16,-8,$557,"$4,242,098",-,13
63,55,The Kind Words,Strand,"$8,807",-33.8%,7,+1,"$1,258","$67,873",-,4
64,64,"My Love, Don't Cross that River",FM,"$7,764",+14.4%,3,-3,"$2,588","$47,927",-,5
65,N,Lucha Mexico,KL,"$7,245",-,25,-,$290,"$7,245",-,1
66,-,How He Fell in Love,Orion,"$7,156",-,9,-,$795,"$8,892",-,2
67,56,Eye in the Sky,BST,"$6,943",-38.7%,14,-2,$496,"$18,700,837",-,19
68,57,Kung Fu Panda 3,Fox,"$5,612",-48.5%,18,-5,$312,"$143,523,463",$145,25
69,62,The Wailing (Goksung),WGUSA,"$5,377",-24.2%,5,+1,"$1,075","$750,612",-,9
70,N,Phantom Boy,GK,"$4,352",-,1,-,"$4,352","$4,352",-,1
71,59,Les cowboys,Cohen,"$4,225",-49.1%,6,-4,$704,"$73,725",-,4
72,73,De Palma,A24,"$3,978",+40.7%,13,+2,$306,"$154,456",-,6
73,N,Undrafted,INDEP,"$3,829",-,20,-,$191,"$3,829",-,1
74,61,The Fits,Osci.,"$3,504",-51.9%,5,-3,$701,"$130,833",-,7
75,66,Last Cab to Darwin,FRun,"$3,131",-35.9%,3,-1,"$1,044","$20,936",-,6
76,-,Kaili Blues,Ghop,"$2,782",-,4,-,$696,"$16,858",-,4
77,68,Saturday's Warrior,Purd.,"$2,548",-35.3%,7,-2,$364,"$669,265",-,16
78,60,The Witness,FR,"$2,337",-71.0%,5,-2,$467,"$132,674",-,7
79,97,Presenting Princess Shaw,Magn.,"$2,268",+415.5%,1,-,"$2,268","$36,497",-,8
80,84,Therapy for a Vampire,MBox,"$2,216",+80.5%,4,+2,$554,"$29,610",-,6
81,69,God's Not Dead 2,PFR,"$2,028",-46.6%,8,-3,$254,"$20,773,070",-,16
82,65,"Hello, My Name is Doris",RAtt.,"$2,022",-69.9%,7,-6,$289,"$14,440,072",-,19
83,71,Sunset Song,Magn.,"$1,991",-35.8%,3,-2,$664,"$144,586",-,10
84,78,Men Go To Battle,FM,"$1,977",-5.3%,2,+1,$989,"$5,240",-,2
85,63,Raiders!: The Story of the Greatest Fan Film Ever Made,Drft.,"$1,972",-71.7%,9,-4,$219,"$61,054",-,5
86,-,Kamikaze '89,FM,"$1,583",-,2,-,$792,"$13,824",-,5
87,67,Dheepan,IFC,"$1,507",-66.8%,7,-4,$215,"$241,789",-,11
88,82,High-Rise,Magn.,"$1,099",-22.3%,2,-1,$550,"$323,899",-,10
89,94,Hubble 3D,WB,"$1,065",+56.4%,2,-,$533,"$51,698,013",-,331
90,-,Neon Bull,KL,"$1,006",-,2,-,$503,"$26,353",-,15
91,70,Indian Point,FRun,$879,-72.4%,1,-,$879,"$5,341",-,2
92,92,Paths of the Soul,Icar.,$848,+14.1%,1,-,$848,"$21,711",-,10
93,95,Island of Lemurs: Madagascar (IMAX),WB,$819,+42.7%,2,-,$410,"$10,659,604",-,120
94,76,Miles Ahead,SPC,$654,-72.5%,3,-9,$218,"$2,609,971",-,16
95,79,Band of Outsiders (2016 re-issue),Rialto,$577,-71.3%,1,-,$577,"$36,073",-,11
96,-,Breaking a Monster,Abr.,$500,-,1,-,$500,"$4,212",-,4
97,96,Our Last Tango,Strand,$470,-11.3%,3,+1,$157,"$98,993",-,14
98,-,Under the Sea 3D,WB,$448,-,3,-,$149,"$35,056,203",-,388
99,93,Journey to the South Pacific,Imax,$355,-51.0%,1,-,$355,"$7,142,824",-,138
100,-,Sweet Bean,KL,$341,-,1,-,$341,"$77,894",-,17
101,-,Viktoria,BWP,$311,-,1,-,$311,"$7,595",-,6
102,88,The Measure of a Man,KL,$293,-66.9%,1,-,$293,"$110,806",-,14
103,77,Hockney,FM,$230,-90.1%,1,-,$230,"$119,945",-,13
104,85,The Fallen Idol (2016 re-issue),Rialto,$222,-80.0%,1,-,$222,"$52,586",-,8
105,72,From Afar,Strand,$215,-92.7%,2,-1,$108,"$29,448",-,6
106,87,Cosmos,KL,$204,-78.2%,1,-,$204,"$15,871",-,5
107,-,Chevalier,Strand,$179,-,1,-,$179,"$25,443",-,8
108,75,No One's Life Is Easy: So I Married an Anti-Fan,CL,$90,-96.6%,1,-5,$90,"$89,372",-,3
109,-,"Right Now, Wrong Then",Ghop,$87,-,1,-,$87,"$17,819",-,4
110,90,Wedding Doll,Strand,$78,-90.1%,1,-1,$78,"$55,906",-,14
