TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Don't Breathe,SGem,"$15,833,223",-40.1%,"3,051",-,"$5,190","$51,257,175",$9.9,2
2,2,Suicide Squad,WB,"$9,910,256",-19.1%,"3,292",-290,"$3,010","$297,327,572",$175,5
3,3,Kubo and the Two Strings,Focus,"$6,375,278",-18.7%,"2,985",-294,"$2,136","$34,236,714",$60,3
4,6,Pete's Dragon (2016),BV,"$6,349,807",-14.7%,"3,272",+28,"$1,941","$64,101,746",$65,4
5,4,Sausage Party,Sony,"$5,193,461",-31.0%,"2,766",-369,"$1,878","$88,339,585",$19,4
6,7,War Dogs,WB,"$4,812,634",-31.5%,"2,848",-410,"$1,690","$35,325,594",-,3
7,8,Bad Moms,STX,"$4,766,501",-14.5%,"2,306",-259,"$2,067","$102,553,695",$20,6
8,N,The Light Between Oceans,BV,"$4,765,838",-,"1,500",-,"$3,177","$4,765,838",$20,1
9,12,Hell or High Water,LGF,"$4,440,573",+25.0%,"1,303",+394,"$3,408","$14,592,206",$12,4
10,5,Mechanic: Resurrection,LG/S,"$4,440,321",-40.5%,"2,258",-,"$1,966","$14,583,107",-,2
11,9,Jason Bourne,Uni.,"$3,962,600",-22.9%,"1,976",-469,"$2,005","$155,133,255",$120,6
12,N,No Manches Frida,PNT,"$3,676,235",-,362,-,"$10,155","$3,676,235",-,1
13,11,The Secret Life of Pets,Uni.,"$3,534,925",-8.9%,"2,069",-22,"$1,709","$358,542,415",$75,9
14,15,Star Trek Beyond,Par.,"$2,477,309",+9.5%,"1,202",-75,"$2,061","$154,320,631",$185,7
15,10,Ben-Hur (2016),Par.,"$2,201,643",-51.7%,"2,167",-917,"$1,016","$23,709,782",$100,3
16,13,Florence Foster Jenkins,Par.,"$2,109,083",-28.9%,"1,341",+17,"$1,573","$23,490,002",$29,4
17,18,Finding Dory,BV,"$2,055,852",+225.2%,"2,075","+1,730",$991,"$481,976,921",-,12
18,N,Morgan,Fox,"$2,012,709",-,"2,020",-,$996,"$2,012,709",$8,1
19,14,Southside with You,RAtt.,"$1,324,003",-53.8%,897,+84,"$1,476","$4,981,396",-,2
20,16,Hands of Stone,Wein.,"$1,263,660",-27.8%,"2,011","+1,201",$628,"$3,680,867",-,2
21,20,Ghostbusters (2016),Sony,"$1,082,009",+95.5%,"1,091",+657,$992,"$126,256,636",$144,8
22,21,Ice Age: Collision Course,Fox,"$685,124",+34.2%,692,+237,$990,"$62,591,154",$105,7
23,22,Nerve,LGF,"$680,294",+33.5%,761,+306,$894,"$37,629,317",$19,6
24,17,Lights Out,WB (NL),"$564,002",-15.8%,446,-157,"$1,265","$66,244,280",$4.9,7
25,N,Willy Wonka and the Chocolate Factory (2016 re-release),WB,"$526,633",-,155,-,"$3,398","$526,633",-,1
26,24,Don't Think Twice,TFA,"$455,752",+4.2%,165,+15,"$2,762","$2,990,381",-,7
27,23,Nine Lives (2016),EC,"$377,355",-25.2%,385,-147,$980,"$18,805,290",$30,5
28,19,Greater,Ham,"$347,253",-44.7%,175,-165,"$1,984","$1,188,480",-,2
29,27,The BFG,BV,"$309,144",-1.5%,220,-15,"$1,405","$54,740,331",$140,10
30,25,Cafe Society,LGF,"$278,369",-17.3%,190,-26,"$1,465","$10,442,940",-,8
31,28,The Legend of Tarzan,WB,"$273,573",-9.1%,252,-36,"$1,086","$126,285,556",$180,10
32,46,Hillary's America: The Secret History of the Democratic Party,QF,"$253,481",+356.4%,404,+324,$627,"$12,760,662",-,8
33,26,Equity,SPC,"$201,289",-38.6%,221,-34,$911,"$1,255,935",-,6
34,32,Captain Fantastic,BST,"$153,373",-25.9%,122,-,"$1,257","$5,302,494",-,9
35,30,Indignation,RAtt.,"$149,763",-40.0%,116,-56,"$1,291","$3,066,883",-,6
36,43,Independence Day: Resurgence,Fox,"$149,628",+131.0%,391,+279,$383,"$103,048,681",$165,11
37,36,Hunt for the Wilderpeople,Orch.,"$145,528",+15.0%,85,-15,"$1,712","$4,599,348",-,11
38,N,Naam Hai Akira,FIP,"$136,644",-,71,-,"$1,925","$136,644",-,1
39,37,A Beautiful Planet,Imax,"$135,912",+8.1%,36,-2,"$3,775","$5,887,413",-,19
40,39,A Tale of Love and Darkness,Focus,"$127,475",+10.8%,66,+40,"$1,931","$343,142",-,3
41,40,Captain America: Civil War,BV,"$127,462",+51.8%,81,-12,"$1,574","$407,996,396",$250,18
42,31,The Shallows,Sony,"$126,532",-46.6%,80,-57,"$1,582","$54,963,890",$17,11
43,34,Tunnel,WGUSA,"$123,308",-28.5%,26,-10,"$4,743","$400,698",-,2
44,29,The Jungle Book (2016),BV,"$114,548",-59.7%,109,-243,"$1,051","$363,809,990",$175,21
45,51,The Hollars,SPC,"$98,954",+159.0%,23,+19,"$4,302","$149,218",-,2
46,48,Little Men (2016),Magn.,"$95,128",+88.7%,57,+22,"$1,669","$403,648",-,5
47,42,Mike and Dave Need Wedding Dates,Fox,"$93,667",+35.3%,89,-5,"$1,052","$45,857,536",$33,9
48,47,Train to Busan,WGUSA,"$65,863",+20.1%,15,-4,"$4,391","$1,746,403",-,7
49,38,"Lo and Behold, Reveries of the Connected World",Magn.,"$63,285",-48.3%,46,-1,"$1,376","$407,356",-,3
50,35,Anthropoid,BST,"$58,680",-59.1%,59,-65,$995,"$2,890,005",-,4
51,53,Mia Madre,MBox,"$57,143",+67.6%,21,+15,"$2,721","$109,939",-,2
52,54,The Infiltrator,BG,"$45,049",+35.1%,60,+31,$751,"$15,319,403",-,8
53,55,Howards End (2016 Restoration),Cohen,"$44,008",+84.6%,6,+4,"$7,335","$85,230",-,2
54,44,Operation Chromite,CJ,"$42,618",-26.6%,13,-2,"$3,278","$981,117",-,5
55,61,Complete Unknown,IFC,"$42,436",+199.9%,22,+20,"$1,929","$63,199",-,2
56,57,The People vs. Fritz Bauer,Cohen,"$37,051",+67.2%,12,+4,"$3,088","$124,431",-,3
57,49,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$36,704",-17.0%,53,-20,$693,"$82,035,527",$135,14
58,N,White Girl,FR,"$34,058",-,3,-,"$11,353","$34,058",-,1
59,45,Happy Bhaag Jayegi,Eros,"$28,116",-50.5%,78,-,$360,"$335,959",-,3
60,58,Ixcanul,KL,"$23,015",+18.2%,9,+3,"$2,557","$84,529",-,22
61,52,Absolutely Fabulous: The Movie,FoxS,"$21,929",-39.8%,23,-15,$953,"$4,700,224",-,7
62,N,Dekalog (2016 re-release),Jan.,"$18,532",-,3,-,"$6,177","$18,532",-,1
63,62,Morris from America,A24,"$14,018",+2.8%,20,+11,$701,"$56,253",-,3
64,73,In Order of Disappearance,Magn.,"$12,771",+145.2%,7,+5,"$1,824","$21,510",-,2
65,66,The Innocents,MBox,"$11,467",+6.1%,15,+3,$764,"$980,746",-,10
66,50,Kingsglaive: Final Fantasy: XV,VE,"$9,494",-78.1%,17,-9,$558,"$261,374",-,3
67,63,Miss Sharon Jones,SM,"$8,861",-34.7%,12,+2,$738,"$91,743",-,6
68,41,Remember the Goal,5&2,"$8,454",-87.9%,17,-60,$497,"$88,616",-,2
69,91,The Sea of Trees,A24,"$7,421",+295.4%,101,+99,$73,"$10,697",-,2
70,64,The Music of Strangers,Orch.,"$6,017",-52.2%,13,-5,$463,"$1,139,631",-,13
71,59,Mohenjo Daro,UTV,"$5,787",-64.6%,8,-14,$723,"$1,262,538",-,4
72,-,Disorder,IFC,"$5,612",-,8,-,$702,"$38,337",-,4
73,76,Born to Be Wild (IMAX),WB,"$5,312",+20.3%,6,+2,$885,"$24,935,347",-,283
74,N,The Seasons in Quincy: Four Portraits of John Berger,Icar.,"$5,304",-,1,-,"$5,304","$7,718",-,1
75,69,Love & Friendship,RAtt.,"$5,031",-44.2%,10,-10,$503,"$13,995,203",-,17
76,71,Fatima,KL,"$4,789",-23.0%,1,-,"$4,789","$27,805",-,2
77,60,The Angry Birds Movie,Sony,"$4,515",-71.0%,20,-25,$226,"$107,493,232",$73,16
78,70,Spa Night,Strand,"$4,066",-54.6%,2,-,"$2,033","$28,915",-,3
79,82,Elevator to the Gallows (2016 re-issue),Rialto,"$4,016",+13.7%,2,+1,"$2,008","$60,132",-,5
80,N,Max Rose,Pala.,"$4,000",-,1,-,"$4,000","$4,000",-,1
81,79,Swiss Army Man,A24,"$3,808",-4.7%,8,+1,$476,"$4,190,375",-,11
82,-,Weiner,IFC,"$3,807",-,2,-,"$1,904","$1,675,196",-,16
83,74,Tickled,Magn.,"$3,025",-38.6%,4,-4,$756,"$597,876",-,12
84,N,Reparation,Red Dirt,"$2,649",-,1,-,"$2,649","$2,649",-,1
85,95,Under the Sun (2016),Icar.,"$2,497",+66.7%,1,-1,"$2,497","$85,061",-,9
