TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,The Secret Life of Pets,Uni.,"$104,352,905",-,"4,370",-,"$23,879","$104,352,905",$75,1
2,2,The Legend of Tarzan,WB,"$21,006,462",-45.5%,"3,591",+30,"$5,850","$81,804,174",$180,2
3,1,Finding Dory,BV,"$20,817,949",-50.2%,"3,871",-434,"$5,378","$423,047,192",-,4
4,N,Mike and Dave Need Wedding Dates,Fox,"$16,628,170",-,"2,982",-,"$5,576","$16,628,170",$33,1
5,3,The Purge: Election Year,Uni.,"$12,388,445",-60.7%,"2,821",+25,"$4,392","$58,798,720",$10,2
6,6,Central Intelligence,WB (NL),"$8,031,386",-35.8%,"2,841",-325,"$2,827","$108,231,724",$50,4
7,4,The BFG,BV,"$7,809,384",-58.4%,"3,392",+35,"$2,302","$38,944,146",$140,2
8,5,Independence Day: Resurgence,Fox,"$7,779,531",-53.5%,"3,061","-1,030","$2,541","$91,575,113",$165,3
9,7,The Shallows,Sony,"$4,804,345",-45.3%,"2,406",-556,"$1,997","$45,829,624",$17,3
10,N,Sultan,Yash,"$2,371,100",-,282,-,"$8,408","$3,383,185",$13.43,1
11,9,The Conjuring 2,WB (NL),"$1,711,805",-55.4%,"1,052",-956,"$1,627","$99,340,137",$40,5
12,8,Free State of Jones,STX,"$1,350,103",-67.4%,"1,264","-1,517","$1,068","$19,286,811",$50,3
13,10,Now You See Me 2,LG/S,"$1,320,430",-55.4%,864,-924,"$1,528","$62,149,643",-,5
14,12,Our Kind of Traitor,RAtt.,"$712,157",-27.7%,399,+26,"$1,785","$2,225,293",-,2
15,11,Swiss Army Man,A24,"$675,012",-52.3%,600,-36,"$1,125","$3,114,213",-,3
16,18,Warcraft,Uni.,"$443,340",-13.0%,228,-183,"$1,944","$46,557,475",$160,5
17,14,Me Before You,WB (NL),"$416,197",-49.3%,318,-205,"$1,309","$54,802,331",$20,6
18,13,X-Men: Apocalypse,Fox,"$410,257",-54.7%,288,-342,"$1,425","$154,499,734",$178,7
19,28,Hunt for the Wilderpeople,Orch.,"$387,110",+170.6%,72,+49,"$5,377","$728,748",-,3
20,16,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$333,276",-56.6%,293,-426,"$1,137","$80,417,077",$135,6
21,19,Love & Friendship,RAtt.,"$304,737",-24.9%,161,-24,"$1,893","$13,127,779",-,9
22,15,Captain America: Civil War,BV,"$293,217",-61.9%,238,-129,"$1,232","$406,226,381",$250,10
23,22,The Lobster (US Release),A24,"$262,155",-15.9%,122,-29,"$2,149","$8,003,727",-,9
24,17,The Jungle Book (2016),BV,"$252,298",-60.8%,197,-97,"$1,281","$360,163,181",$175,13
25,20,Alice Through the Looking Glass,BV,"$215,765",-45.3%,145,-47,"$1,488","$76,122,761",$170,7
26,23,The Nice Guys,WB,"$192,849",-34.5%,212,-52,$910,"$35,884,063",$50,8
27,21,The Angry Birds Movie,Sony,"$190,088",-39.6%,203,-75,$936,"$106,126,504",$73,8
28,24,Maggie's Plan,SPC,"$163,838",-29.6%,103,-55,"$1,591","$2,928,772",-,8
29,N,Cold War 2,WGUSA,"$157,385",-,22,-,"$7,154","$157,385",-,1
30,26,A Beautiful Planet,Imax,"$155,661",-8.3%,36,-,"$4,324","$3,387,714",-,11
31,33,The Music of Strangers,Orch.,"$148,187",+35.5%,77,+16,"$1,925","$570,433",-,5
32,27,Zootopia,BV,"$129,738",-22.8%,161,-30,$806,"$340,984,985",-,19
33,43,The Innocents,MBox,"$127,112",+311.4%,34,+31,"$3,739","$179,277",-,2
34,N,Captain Fantastic,BST,"$93,824",-,4,-,"$23,456","$93,824",-,1
35,36,Wiener-Dog,IFC,"$91,004",+3.6%,63,+28,"$1,445","$273,439",-,3
36,32,Neighbors 2: Sorority Rising,Uni.,"$82,795",-26.9%,127,-62,$652,"$55,291,815",-,8
37,31,Money Monster,TriS,"$80,081",-32.9%,141,-31,$568,"$40,882,037",$27,9
38,30,Genius,RAtt.,"$78,894",-34.5%,77,-21,"$1,025","$1,208,207",-,5
39,39,Tickled,Magn.,"$62,456",+11.7%,33,+8,"$1,893","$291,906",-,4
40,34,Dark Horse (2016),SPC,"$59,744",-32.5%,52,-15,"$1,149","$749,639",-,10
41,35,Weiner,IFC,"$56,975",-35.2%,47,-20,"$1,212","$1,487,311",-,8
42,48,Sing Street,Wein.,"$54,155",+181.1%,101,+81,$536,"$3,173,411",-,13
43,N,Zero Days,Magn.,"$49,110",-,18,-,"$2,728","$49,110",-,1
44,37,The Man Who Knew Infinity,IFC,"$46,109",-28.1%,39,-22,"$1,182","$3,767,877",-,11
45,29,The Neon Demon,BG,"$43,722",-68.1%,16,-169,"$2,733","$1,235,464",-,3
46,42,Eat That Question: Frank Zappa in His Own Words,SPC,"$32,236",+1.4%,15,+5,"$2,149","$113,225",-,3
47,41,Barbershop: The Next Cut,WB (NL),"$30,244",-24.5%,55,-11,$550,"$54,014,580",-,13
48,N,Our Little Sister,SPC,"$25,118",-,3,-,"$8,373","$25,118",-,1
49,45,Miracles from Heaven,TriS,"$22,078",-18.8%,45,-4,$491,"$61,663,333",$13,17
50,47,"Life, Animated",Orch.,"$21,070",-3.7%,8,+5,"$2,634","$52,690",-,2
51,N,Norman Lear: Just Another Version of You,MBox,"$16,912",-,2,-,"$8,456","$16,912",-,1
52,44,The Meddler,SPC,"$16,552",-45.5%,24,-6,$690,"$4,222,790",-,12
53,N,Under the Sun (2016),Icar.,"$15,454",-,2,-,"$7,727","$21,066",-,1
54,55,Dough,Men.,"$14,515",+21.4%,7,-1,"$2,074","$1,077,828",-,22
55,50,The Kind Words,Strand,"$13,312",-13.7%,6,+2,"$2,219","$53,041",-,3
56,49,Eye in the Sky,BST,"$11,320",-38.4%,16,-21,$708,"$18,686,817",-,18
57,53,Kung Fu Panda 3,Fox,"$10,892",-24.4%,23,-6,$474,"$143,508,522",$145,24
58,58,Born to Be Wild (IMAX),WB,"$8,477",+15.1%,5,-,"$1,695","$24,813,458",-,275
59,46,Les cowboys,Cohen,"$8,308",-62.9%,10,-2,$831,"$65,320",-,3
60,54,The Witness,FR,"$8,046",-43.8%,7,-,"$1,149","$127,440",-,6
61,57,The Fits,Osci.,"$7,292",-35.2%,8,-3,$912,"$123,084",-,6
62,65,The Wailing (Goksung),WGUSA,"$7,097",+55.3%,4,+1,"$1,774","$741,040",-,8
63,77,Raiders!: The Story of the Greatest Fan Film Ever Made,Drft.,"$6,959",+204.2%,13,+7,$535,"$56,202",-,4
64,82,"My Love, Don't Cross that River",FM,"$6,785",+631.1%,6,+3,"$1,131","$34,501",-,4
65,60,"Hello, My Name is Doris",RAtt.,"$6,711",+6.9%,13,-5,$516,"$14,434,907",-,18
66,67,Last Cab to Darwin,FRun,"$4,883",+8.8%,4,+1,"$1,221","$14,930",-,5
67,59,Dheepan,IFC,"$4,546",-29.6%,11,-5,$413,"$237,366",-,10
68,70,Saturday's Warrior,Purd.,"$3,936",-1.5%,9,-,$437,"$662,312",-,15
69,61,God's Not Dead 2,PFR,"$3,796",-36.4%,11,-3,$345,"$20,768,823",-,15
70,N,Indian Point,FRun,"$3,186",-,1,-,"$3,186","$3,186",-,1
71,66,Sunset Song,Magn.,"$3,102",-32.0%,5,-3,$620,"$140,771",-,9
72,71,From Afar,Strand,"$2,947",-20.0%,3,-,$982,"$27,373",-,5
73,64,De Palma,A24,"$2,827",-43.6%,11,-4,$257,"$146,297",-,5
74,56,Microbe & Gasoline,Scre.,"$2,690",-77.4%,2,-,"$1,345","$19,345",-,2
75,38,No One's Life Is Easy: So I Married an Anti-Fan,CL,"$2,650",-95.5%,6,-16,$442,"$87,365",-,2
76,62,Miles Ahead,SPC,"$2,374",-59.7%,12,-5,$198,"$2,608,016",-,15
77,-,Hockney,FM,"$2,333",-,1,-,"$2,333","$119,715",-,12
78,N,Men Go To Battle,FM,"$2,087",-,1,-,"$2,087","$2,087",-,1
