TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Deadpool,Fox,"$56,470,167",-57.4%,"3,722",+164,"$15,172","$236,865,054",$58,2
2,2,Kung Fu Panda 3,Fox,"$12,516,601",-36.6%,"3,448",-396,"$3,630","$117,121,185",$145,4
3,N,Risen,Sony,"$11,801,271",-,"2,915",-,"$4,048","$11,801,271",$20,1
4,N,The Witch,A24,"$8,800,230",-,"2,046",-,"$4,301","$8,800,230",$4,1
5,3,How to Be Single,WB (NL),"$8,202,430",-54.1%,"3,357",+14,"$2,443","$31,746,063",$38,2
6,N,Race (2016),Focus,"$7,353,922",-,"2,369",-,"$3,104","$7,353,922",-,1
7,4,Zoolander 2,Par.,"$5,455,344",-60.6%,"3,418",+24,"$1,596","$23,673,355",-,2
8,7,Star Wars: The Force Awakens,BV,"$3,907,295",-36.6%,"1,618",-192,"$2,415","$921,713,590",$245,10
9,5,The Revenant,Fox,"$3,866,741",-40.7%,"1,939",-327,"$1,994","$165,183,291",$135,9
10,6,"Hail, Caesar!",Uni.,"$2,745,705",-57.1%,"1,726",-522,"$1,591","$26,258,850",$22,3
11,9,Ride Along 2,Uni.,"$2,229,825",-50.0%,"1,210",-354,"$1,843","$86,515,305",$40,6
12,8,The Choice,LGF,"$1,802,224",-65.5%,"1,817",-814,$992,"$16,619,702",-,3
13,22,The Lady in the Van,SPC,"$1,504,739",+171.7%,540,+410,"$2,787","$3,817,926",-,12
14,10,The Boy (2016),STX,"$1,436,592",-54.3%,977,-473,"$1,470","$33,360,570",$10,5
15,12,The 5th Wave,Sony,"$1,312,378",-51.4%,850,-594,"$1,544","$31,956,244",$38,5
16,11,The Finest Hours,BV,"$1,010,546",-62.8%,946,-848,"$1,068","$25,473,815",-,4
17,N,The Mermaid (Mei ren yu),Sony,"$985,052",-,35,-,"$28,144","$985,052",-,1
18,N,Busco Novio Para Mi Mujer,PNT,"$902,457",-,357,-,"$2,528","$902,457",-,1
19,16,The Big Short,Par.,"$893,550",-33.6%,432,-103,"$2,068","$67,141,291",$28,11
20,17,Brooklyn,FoxS,"$766,626",-29.6%,443,-52,"$1,731","$35,364,727",-,16
21,14,Dirty Grandpa,LGF,"$709,715",-68.3%,789,-823,$900,"$34,566,188",$25,5
22,15,13 Hours: The Secret Soldiers of Benghazi,Par.,"$630,726",-58.6%,601,-331,"$1,049","$51,706,404",$50,6
23,N,Neerja,FIP,"$626,528",-,73,-,"$8,583","$626,528",-,1
24,18,Daddy's Home,Par.,"$570,836",-44.9%,408,-124,"$1,399","$147,689,801",-,9
25,19,Where to Invade Next,Drft.,"$564,575",-37.1%,275,-33,"$2,053","$1,991,445",-,2
26,20,Spotlight,ORF,"$522,353",-25.3%,401,-54,"$1,303","$38,102,424",-,16
27,25,Room,A24,"$407,968",-9.3%,352,+36,"$1,159","$12,657,987",-,19
28,24,The Good Dinosaur,BV,"$375,040",-21.6%,264,-13,"$1,421","$121,862,742",-,13
29,23,45 Years,IFC,"$331,924",-38.2%,251,+14,"$1,322","$3,376,073",-,9
30,13,Pride and Prejudice and Zombies,SGem,"$307,443",-88.0%,476,"-2,455",$646,"$10,714,293",$28,3
31,27,Alvin and the Chipmunks: The Road Chip,Fox,"$275,252",-20.9%,253,-24,"$1,088","$84,536,627",-,10
32,26,2016 Oscar Nominated Short Films,Shrts.,"$266,157",-38.6%,260,+35,"$1,024","$2,316,310",-,4
33,21,Fifty Shades of Black,ORF,"$204,841",-69.6%,237,-248,$864,"$11,204,865",-,4
34,29,The Hunger Games: Mockingjay - Part 2,LGF,"$192,870",-37.5%,215,-30,$897,"$281,666,058",$160,14
35,34,Creed,WB (NL),"$183,636",+26.3%,248,+100,$740,"$109,467,088",$35,13
36,38,Norm of the North,LGF,"$125,743",+13.5%,225,+37,$559,"$16,666,914",-,6
37,51,Spectre,Sony,"$108,423",+186.7%,340,+293,$319,"$199,778,275",$245,16
38,32,Carol,Wein.,"$106,028",-34.4%,101,-40,"$1,050","$12,306,203",-,14
39,45,The Forest,Focus,"$89,280",+56.0%,121,+58,$738,"$26,391,326",$10,7
40,37,The Little Prince,EOne,"$86,071",-26.4%,59,+7,"$1,459","$236,042",-,2
41,42,Son of Saul,SPC,"$84,527",+18.1%,75,+25,"$1,127","$1,112,311",-,10
42,36,Sisters,Uni.,"$81,665",-32.9%,149,-29,$548,"$86,876,125",$30,10
43,31,Ip Man 3,WGUSA,"$81,289",-49.9%,35,-16,"$2,323","$2,598,810",-,5
44,35,Joy,Fox,"$79,186",-39.2%,124,-49,$639,"$56,250,869",$60,9
45,33,The Hateful Eight,Wein.,"$77,152",-47.5%,88,-63,$877,"$53,478,070",$44,9
46,59,Touched with Fire,RAtt.,"$69,132",+311.1%,67,+61,"$1,032","$95,232",-,2
47,39,The Danish Girl,Focus,"$64,090",-28.1%,72,-16,$890,"$10,908,024",-,13
48,41,Anomalisa,Par.,"$54,437",-30.3%,45,-27,"$1,210","$2,484,777",$8,8
49,N,Embrace of the Serpent,Osci.,"$50,955",-,3,-,"$16,985","$62,164",-,1
50,30,The Monkey King 2 in 3D,CL,"$50,777",-70.9%,19,-14,"$2,672","$622,015",-,3
51,28,Fitoor,UTV,"$47,181",-86.4%,63,-84,$749,"$506,806",-,2
52,47,Dough,Men.,"$45,373",-10.8%,9,-,"$5,041","$133,650",-,2
53,40,The Martian,Fox,"$45,226",-46.9%,75,-33,$603,"$228,334,654",$108,21
54,43,Bridge of Spies,BV,"$36,965",-39.3%,244,+155,$151,"$72,216,420",$40,19
55,53,Mustang,Cohen,"$32,792",+20.3%,25,-3,"$1,312","$673,893",-,14
56,46,Concussion (2015),Sony,"$29,305",-46.0%,45,-11,$651,"$34,411,070",$35,9
57,44,Point Break (2015),WB,"$25,815",-55.8%,61,-57,$423,"$28,772,222",$105,9
58,60,Hotel Transylvania 2,Sony,"$23,230",+41.1%,54,+19,$430,"$169,670,839",$80,22
59,52,Hubble 3D,WB,"$22,832",-19.3%,13,+4,"$1,756","$51,170,262",-,297
60,66,A War,Magn.,"$20,908",+129.9%,18,+13,"$1,162","$36,047",-,2
61,55,Youth,FoxS,"$20,191",-11.0%,15,-14,"$1,346","$2,657,568",-,12
62,49,Trumbo (2015),BST,"$19,752",-53.5%,31,-26,$637,"$7,817,557",-,16
