TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
62,N,Outside In,Orch.,"$14,136",-,9,-,"$1,571","$14,136",-,1
63,57,The Last Suit,OutF,"$13,952",-49.4%,6,-,"$2,325","$51,627",-,2
64,62,Keep the Change,KL,"$11,950",-31.4%,13,+5,$919,"$87,677",-,3
65,48,The Party (2017),RAtt.,"$11,754",-71.6%,35,-35,$336,"$707,996",-,7
66,N,Love After Love,IFC,"$11,290",-,1,-,"$11,290","$11,290",-,1
67,52,Gringo,STX,"$9,160",-74.7%,35,-82,$262,"$4,964,754",-,4
68,66,Bag of Marbles,Gaum.,"$9,091",-37.0%,4,-,"$2,273","$31,126",-,2
69,N,The Great Silence (2018 re-release),FM,"$8,755",-,1,-,"$8,755","$10,275",-,1
70,60,Ismael's Ghosts,Magn.,"$8,748",-54.3%,2,-,"$4,374","$37,267",-,2
71,71,Forever My Girl,RAtt.,"$8,472",-17.0%,16,-9,$530,"$16,326,769",$3.5,11
72,63,The Insult,Cohen,"$7,895",-49.8%,9,-2,$877,"$974,845",-,12
73,65,Samson,PFR,"$7,665",-48.2%,22,-14,$348,"$4,713,353",-,7
74,N,The Gardener,Grav.,"$6,298",-,1,-,"$6,298","$6,298",-,1
75,68,Ramen Heads,FB,"$6,296",-48.8%,5,-1,"$1,259","$36,658",-,3
76,82,Detective Chinatown 2,WB,"$6,039",-3.8%,2,-1,"$3,020","$1,981,595",-,7
77,92,Under the Sea 3D,WB,"$5,395",+143.6%,6,-,$899,"$35,783,665",-,477
78,84,Island of Lemurs: Madagascar (IMAX),WB,"$5,350",-5.0%,5,-,"$1,070","$11,218,086",-,209
79,73,Mary and the Witch's Flower,GK,"$5,289",-34.3%,6,-10,$882,"$2,414,560",-,11
80,76,Claire's Camera,CGld,"$4,992",-30.9%,4,+1,"$1,248","$46,575",-,4
81,N,The Last Movie Star,A24,"$3,780",-,2,-,"$1,890","$3,780",-,1
82,N,FourPlay,PDF,"$3,550",-,2,-,"$1,775","$3,550",-,1
83,108,Legend of the Mountain (2017 re-release),KL,"$2,637","+2,275.7%",2,+1,"$1,319","$7,524",-,9
84,80,Tehran Taboo,KL,"$2,523",-60.8%,3,-5,$841,"$70,764",-,7
85,N,Status Update,VE,"$2,205",-,75,-,$29,"$2,205",-,1
86,93,Agent Mr. Chan,CL,"$2,196",+11.4%,1,-,"$2,196","$208,351",-,6
87,90,Faces Places,Cohen,"$2,194",-20.4%,5,-5,$439,"$947,454",-,26
88,74,1945,Men.,"$2,048",-74.5%,3,-5,$683,"$450,761",-,22
89,81,Eight Hours Don't Make a Day (2018 re-release),Jan.,"$2,022",-68.2%,1,-,"$2,022","$19,987",-,3
90,78,In the Fade,Magn.,"$1,793",-72.6%,5,-7,$359,"$319,786",-,14
91,-,Walk With Me,Gathr,"$1,694",-,1,-,"$1,694","$696,679",-,25
92,72,Summer in the Forest,Abr.,"$1,485",-82.2%,1,-,"$1,485","$16,217",-,2
93,94,Hubble 3D,WB,"$1,462",-17.5%,5,+2,$292,"$52,092,295",-,420
94,83,The Young Karl Marx,Orch.,"$1,177",-79.9%,9,-6,$131,"$111,650",-,6
95,95,Big Sonia,Argo.,"$1,140",-25.1%,2,+1,$570,"$194,129",-,20
96,89,The Workshop,Strand,"$1,139",-60.2%,1,-,"$1,139","$6,712",-,2
97,91,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,"$1,077",-59.1%,8,-,$135,"$4,591",-,2
98,111,Did You Wonder Who Fired the Gun?,Ghop,"$1,035","+1,468.2%",2,+1,$518,"$17,009",-,5
99,96,Mind Game (2017 re-release),GK,$923,-30.8%,1,-1,$923,"$36,437",-,7
100,75,Shed Skin Papa,CL,$871,-89.0%,1,-7,$871,"$13,331",-,2
101,103,Ichi The Killer (2017 re-release),WGUSA,$619,-1.0%,1,-,$619,"$20,285",-,21
102,101,Born to Be Wild (IMAX),WB,$556,-27.6%,8,+2,$70,"$25,661,393",-,365
103,85,The Happys,Indic.,$375,-89.8%,1,-,$375,"$14,146",-,3
104,-,Have a Nice Day,Strand,$321,-,1,-,$321,"$78,175",-,10
105,-,Vazante,MBox,$316,-,1,-,$316,"$20,333",-,12
106,99,King of Hearts (2018 re-release),Cohen,$267,-68.3%,1,-1,$267,"$16,514",-,6
107,97,Apocalypsis,Indic.,$250,-72.3%,1,-,$250,"$10,665",-,5
108,98,Souvenir,Strand,$238,-73.5%,1,-2,$238,"$9,278",-,5
109,104,Double Lover,Cohen,$206,-66.0%,1,-1,$206,"$166,506",-,7
110,-,On the Beach at Night Alone,CGld,$158,-,1,-,$158,"$35,815",-,20
