TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Suicide Squad,WB,"$43,536,013",-67.4%,"4,255",-,"$10,232","$222,640,741",$175,2
2,N,Sausage Party,Sony,"$34,263,534",-,"3,103",-,"$11,042","$34,263,534",$19,1
3,N,Pete's Dragon (2016),BV,"$21,514,095",-,"3,702",-,"$5,811","$21,514,095",$65,1
4,2,Jason Bourne,Uni.,"$13,846,875",-38.2%,"3,528",-511,"$3,925","$127,009,220",$120,3
5,3,Bad Moms,STX,"$11,362,783",-18.9%,"3,188",-27,"$3,564","$71,374,076",$20,3
6,4,The Secret Life of Pets,Uni.,"$9,064,565",-21.2%,"2,958",-459,"$3,064","$336,166,640",$75,6
7,5,Star Trek Beyond,Par.,"$6,892,793",-31.3%,"2,577",-686,"$2,675","$139,772,742",$185,4
8,N,Florence Foster Jenkins,Par.,"$6,601,313",-,"1,528",-,"$4,320","$6,601,313",$29,1
9,6,Nine Lives (2016),EC,"$3,526,166",-43.6%,"2,264",-,"$1,557","$13,576,991",$30,2
10,7,Lights Out,WB (NL),"$3,215,446",-46.5%,"1,652",-929,"$1,946","$61,130,264",$4.9,4
11,8,Nerve,LGF,"$2,639,399",-45.7%,"1,777",-761,"$1,485","$33,087,794",$19,3
12,9,Ghostbusters (2016),Sony,"$2,272,206",-51.4%,"1,437","-1,108","$1,581","$121,681,208",$144,5
13,10,Ice Age: Collision Course,Fox,"$2,053,831",-52.5%,"1,548","-1,190","$1,327","$58,727,102",$105,4
14,11,Finding Dory,BV,"$1,312,219",-33.0%,631,-491,"$2,080","$476,725,279",-,9
15,N,Anthropoid,BST,"$1,233,519",-,452,-,"$2,729","$1,233,516",-,1
16,12,Cafe Society,LGF,"$937,696",-41.6%,455,-176,"$2,061","$8,480,882",-,5
17,N,Rustom,Zee,"$773,662",-,133,-,"$5,817","$773,662",-,1
18,16,Indignation,RAtt.,"$758,392",+80.5%,267,+212,"$2,840","$1,508,488",-,3
19,N,Mohenjo Daro,UTV,"$747,791",-,246,-,"$3,040","$747,791",-,1
20,N,Hell or High Water,LGF,"$621,329",-,32,-,"$19,417","$621,329",$12,1
21,18,Central Intelligence,WB (NL),"$410,366",+10.6%,295,+29,"$1,391","$126,660,783",$50,9
22,14,The Legend of Tarzan,WB,"$370,422",-53.8%,333,-315,"$1,112","$124,879,110",$180,7
