TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Black Panther,BV,"$111,658,835",-44.7%,"4,020",-,"$27,776","$403,613,257",-,2
2,N,Game Night,WB (NL),"$17,005,332",-,"3,488",-,"$4,875","$17,005,332",$37,1
3,2,Peter Rabbit,Sony,"$12,760,382",-27.1%,"3,707",-18,"$3,442","$71,506,084",$50,3
4,N,Annihilation,Par.,"$11,071,584",-,"2,012",-,"$5,503","$11,071,584",$40,1
5,3,Fifty Shades Freed,Uni.,"$7,147,285",-58.7%,"3,265",-503,"$2,189","$89,793,065",$55,3
6,4,Jumanji: Welcome to the Jungle,Sony,"$5,650,497",-28.8%,"2,519",-281,"$2,243","$387,284,712",$90,10
7,5,The 15:17 to Paris,WB,"$3,573,259",-52.9%,"2,752",-290,"$1,298","$32,231,011",$30,3
8,6,The Greatest Showman,Fox,"$3,411,649",-32.2%,"1,601",-335,"$2,131","$160,778,519",$84,10
9,N,Every Day (2018),Orion,"$3,016,149",-,"1,667",-,"$1,809","$3,016,149",$4.9,1
10,N,Met Opera: La Bohème (2018),Fathom,"$1,875,000",-,900,-,"$2,083","$1,875,000",-,1
11,7,Early Man,LGF,"$1,773,963",-44.4%,"2,494",-,$711,"$6,853,385",-,2
12,13,"Three Billboards Outside Ebbing, Missouri",FoxS,"$1,370,863",-9.5%,691,-89,"$1,984","$50,275,442",-,16
13,12,The Shape of Water,FoxS,"$1,311,276",-21.1%,721,-236,"$1,819","$55,497,120",-,13
14,10,The Post,Fox,"$1,242,239",-37.5%,795,-255,"$1,563","$78,890,240",$50,10
15,19,Phantom Thread,Focus,"$993,205",+38.3%,651,+296,"$1,526","$19,145,299",-,9
16,11,Samson,PFR,"$970,708",-50.0%,"1,140",-109,$851,"$3,743,204",-,2
17,8,Maze Runner: The Death Cure,Fox,"$962,619",-63.0%,952,-940,"$1,011","$56,329,223",$62,5
18,9,Winchester,LGF,"$929,450",-57.9%,852,-627,"$1,091","$23,735,224",-,4
19,16,Darkest Hour,Focus,"$745,625",-19.6%,795,+193,$938,"$54,465,467",-,14
20,23,Lady Bird,A24,"$669,640",+7.4%,601,+194,"$1,114","$47,459,099",-,17
21,17,"I, Tonya",Neon,"$582,853",-35.8%,423,-79,"$1,378","$28,096,626",-,12
22,N,The Dark Crystal (special re-release),Fathom,"$561,977",-,618,-,$909,"$561,977",-,1
23,26,Call Me by Your Name,SPC,"$523,206",+3.0%,675,+343,$775,"$15,764,116",-,14
24,22,The Oscar Nominated Short Films 2018,Shrts.,"$488,311",-28.2%,232,-40,"$2,105","$2,634,591",-,3
25,21,Coco,BV,"$469,403",-31.9%,266,-119,"$1,765","$208,032,413",-,14
26,N,Operation Red Sea,WGUSA,"$436,059",-,45,-,"$9,690","$436,059",-,1
27,15,Den of Thieves,STX,"$395,974",-57.6%,357,-373,"$1,109","$44,306,529",-,6
28,14,12 Strong,WB,"$385,032",-59.0%,448,-367,$859,"$44,893,967",-,6
29,20,Detective Chinatown 2,WB,"$381,886",-45.8%,111,-4,"$3,440","$1,537,464",-,2
30,24,Star Wars: The Last Jedi,BV,"$352,838",-42.9%,292,-59,"$1,208","$618,728,556",-,11
31,18,Hostiles,ENTMP,"$350,326",-58.2%,416,-351,$842,"$29,133,147",-,10
32,32,Ferdinand,Fox,"$240,571",-18.4%,214,-37,"$1,124","$82,809,980",$111,11
33,25,La Boda de Valentina,PNT,"$228,501",-57.1%,141,-190,"$1,621","$2,508,135",-,3
34,29,Paddington 2,WB,"$213,231",-46.9%,281,-112,$759,"$39,802,641",-,7
35,71,Mary and the Witch's Flower,GK,"$203,439","+3,519.9%",3,-,"$67,813","$2,160,432",-,6
36,27,Padmaavat,VPD,"$187,949",-60.5%,91,-49,"$2,065","$11,846,060",-,5
37,34,Wonder,LGF,"$168,350",-16.0%,158,-35,"$1,066","$131,947,082",-,15
38,28,Forever My Girl,RAtt.,"$162,660",-61.5%,218,-183,$746,"$16,024,892",$3.5,6
39,42,A Fantastic Woman,SPC,"$158,254",+67.9%,78,+49,"$2,029","$585,333",-,4
40,35,Thor: Ragnarok,BV,"$137,366",-29.8%,131,-18,"$1,049","$314,812,368",$180,17
41,33,Molly's Game,STX,"$125,445",-37.9%,104,-66,"$1,206","$28,595,534",-,9
42,40,The Commuter,LGF,"$113,208",-1.4%,138,-10,$820,"$36,114,858",-,7
43,30,Pad Man,Sony,"$103,019",-70.5%,95,-57,"$1,084","$1,602,164",-,3
44,48,The Party (2017),RAtt.,"$100,474",+168.7%,30,+27,"$3,349","$151,976",-,2
45,31,Monster Hunt 2,LGF,"$99,768",-70.8%,55,-14,"$1,814","$611,267",-,2
46,37,Pitch Perfect 3,Uni.,"$90,250",-35.3%,135,-22,$669,"$104,782,735",$45,10
47,38,Justice League,WB,"$85,256",-35.6%,137,-7,$622,"$228,890,349",-,15
48,43,The Insult,Cohen,"$76,270",-9.6%,51,+8,"$1,495","$762,171",-,7
49,39,Film Stars Don't Die in Liverpool,SPC,"$74,979",-35.3%,102,-5,$735,"$700,851",-,9
50,36,Insidious: The Last Key,Uni.,"$74,065",-50.5%,110,-59,$673,"$67,325,620",$10,8
