TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,The Magnificent Seven (2016),Sony,"$34,703,397",-,"3,674",-,"$9,446","$34,703,397",$90,1
2,N,Storks,WB,"$21,311,407",-,"3,922",-,"$5,434","$21,311,407",$70,1
3,1,Sully,WB,"$13,537,270",-37.5%,"3,955",+430,"$3,423","$92,100,717",$60,3
4,3,Bridget Jones's Baby,Uni.,"$4,656,690",-45.7%,"2,930",+3,"$1,589","$16,594,365",$35,2
5,4,Snowden,ORF,"$4,056,229",-49.3%,"2,443",-,"$1,660","$15,050,455",$40,2
6,2,Blair Witch,LGF,"$4,053,785",-57.7%,"3,121",-,"$1,299","$16,232,480",$5,2
7,5,Don't Breathe,SGem,"$3,773,226",-33.1%,"2,438",-770,"$1,548","$81,084,034",$9.9,5
8,7,Suicide Squad,WB,"$3,108,351",-33.9%,"2,172",-568,"$1,431","$318,131,694",$175,8
9,6,When the Bough Breaks,SGem,"$2,515,605",-54.1%,"1,444",-802,"$1,742","$26,628,954",$10,3
10,9,Kubo and the Two Strings,Focus,"$1,124,384",-55.7%,"1,209",-548,$930,"$45,975,957",$60,6
11,11,Hell or High Water,LGF,"$1,069,226",-48.5%,"1,128",-377,$948,"$24,809,653",$12,7
12,12,Bad Moms,STX,"$997,055",-43.5%,986,-500,"$1,011","$111,669,607",$20,9
13,10,Pete's Dragon (2016),BV,"$870,025",-59.6%,"1,230",-718,$707,"$74,213,367",$65,7
14,14,No Manches Frida,PNT,"$721,405",-44.1%,416,-40,"$1,734","$10,286,626",-,4
15,15,The Secret Life of Pets,Uni.,"$692,430",-43.8%,747,-258,$927,"$364,331,130",$75,12
16,16,Sausage Party,Sony,"$562,680",-53.2%,551,-630,"$1,021","$96,384,272",$19,7
17,17,Jason Bourne,Uni.,"$533,220",-51.4%,623,-385,$856,"$161,307,760",$120,9
18,13,Hillsong - Let Hope Rise,PFR,"$414,824",-69.4%,763,-53,$544,"$2,097,944",-,2
19,21,The Beatles: Eight Days a Week - The Touring Years,Abr.,"$413,373",-47.4%,151,+66,"$2,738","$1,478,310",-,2
20,8,The Wild Life (2016),LG/S,"$411,840",-85.1%,"1,431","-1,062",$288,"$7,701,352",-,3
21,18,War Dogs,WB,"$380,488",-62.9%,417,-485,$912,"$42,480,676",-,6
22,N,Queen of Katwe,BV,"$304,933",-,52,-,"$5,864","$304,933",$15,1
23,22,Star Trek Beyond,Par.,"$302,897",-51.0%,338,-170,$896,"$158,092,980",$185,10
24,19,Mechanic: Resurrection,LG/S,"$299,269",-62.7%,398,-560,$752,"$20,736,746",-,5
25,20,The Light Between Oceans,BV,"$278,457",-64.6%,416,-717,$669,"$11,947,328",$20,4
26,36,The Hollars,SPC,"$250,340",+113.3%,298,+201,$840,"$706,484",-,5
27,26,Finding Dory,BV,"$194,444",-33.4%,197,-95,$987,"$484,192,130",-,15
28,N,The Dressmaker,BG,"$185,165",-,36,-,"$5,143","$185,165",-,1
29,23,Florence Foster Jenkins,Par.,"$175,803",-55.3%,235,-,$748,"$26,954,148",$29,7
30,27,Ice Age: Collision Course,Fox,"$175,108",-26.4%,198,-41,$884,"$63,685,040",$105,10
31,N,The Age of Shadows,CJ,"$165,685",-,33,-,"$5,021","$165,685",-,1
32,30,Ghostbusters (2016),Sony,"$132,208",-35.4%,165,-60,$801,"$127,448,192",$144,11
33,32,Don't Think Twice,TFA,"$130,388",-30.7%,95,-45,"$1,373","$4,000,344",-,10
34,29,Lights Out,WB (NL),"$130,295",-38.1%,188,-94,$693,"$67,235,683",$4.9,10
35,28,Ben-Hur (2016),Par.,"$128,927",-44.4%,240,-,$537,"$26,274,090",$100,6
36,31,Nerve,LGF,"$111,252",-43.2%,172,-72,$647,"$38,466,761",$19,9
37,25,Mr. Church,Free,"$103,192",-69.5%,233,-121,$443,"$597,073",-,2
38,34,The BFG,BV,"$92,908",-31.4%,131,-48,$709,"$55,366,922",$140,13
39,38,Hunt for the Wilderpeople,Orch.,"$75,878",-13.0%,81,+5,$937,"$5,010,744",-,14
40,42,A Beautiful Planet,Imax,"$68,764",+4.3%,32,-,"$2,149","$6,271,562",-,22
41,39,Cafe Society,LGF,"$64,676",-23.6%,48,-41,"$1,347","$11,000,223",-,11
42,35,Nine Lives (2016),EC,"$64,017",-49.6%,105,-88,$610,"$19,403,620",$30,8
43,37,Greater,Ham,"$56,137",-51.7%,60,-47,$936,"$1,838,675",-,5
44,41,Captain Fantastic,BST,"$55,404",-27.4%,55,-28,"$1,007","$5,699,826",-,12
45,44,Train to Busan,WGUSA,"$30,140",-39.7%,20,-,"$1,507","$2,000,456",-,10
46,33,Baar Baar Dekho,Eros,"$30,004",-79.1%,146,-,$206,"$973,246",-,3
47,48,Little Men (2016),Magn.,"$26,852",-28.4%,36,-7,$746,"$619,491",-,8
48,47,Victor,CZ,"$25,617",-33.6%,12,-,"$2,135","$75,863",-,2
49,40,Southside with You,RAtt.,"$24,219",-70.4%,45,-69,$538,"$6,248,032",-,5
50,45,The People vs. Fritz Bauer,Cohen,"$23,148",-46.2%,20,-15,"$1,157","$277,636",-,6
51,N,Goat,TFA,"$23,020",-,20,-,"$1,151","$23,020",-,1
52,54,Indignation,RAtt.,"$22,906",-21.1%,25,-12,$916,"$3,308,735",-,9
53,55,White Girl,FR,"$20,479",-25.5%,12,-4,"$1,707","$153,520",-,4
54,46,The Shallows,Sony,"$20,021",-51.0%,17,-20,"$1,178","$55,121,623",$17,14
55,51,Equity,SPC,"$19,594",-34.2%,18,-26,"$1,089","$1,554,932",-,9
56,59,Mia Madre,MBox,"$18,960",-12.6%,20,-,$948,"$249,749",-,5
57,50,Cock and Bull,CL,"$18,815",-43.4%,6,-6,"$3,136","$69,723",-,2
58,N,Banjo,Eros,"$18,320",-,30,-,$611,"$18,320",-,1
59,81,Max Rose,Pala.,"$17,485",+114.5%,29,+13,$603,"$56,365",-,4
60,52,3 Weeks in Yerevan,RME,"$16,291",-44.3%,4,+1,"$4,073","$45,536",-,2
61,57,A Tale of Love and Darkness,Focus,"$15,210",-39.1%,17,-16,$895,"$553,557",-,6
62,49,Morgan,Fox,"$14,984",-57.8%,38,-61,$394,"$3,896,446",$8,4
63,N,The Lovers and the Despot,Magn.,"$14,925",-,8,-,"$1,866","$14,925",-,1
64,53,The Jungle Book (2016),BV,"$13,330",-54.2%,34,-23,$392,"$363,995,937",$175,24
65,62,"Lo and Behold, Reveries of the Connected World",Magn.,"$13,077",-35.6%,21,-3,$623,"$556,947",-,6
66,43,Kicks,FCW,"$11,076",-82.7%,15,-50,$738,"$145,368",-,3
67,80,Our Little Sister,SPC,"$11,012",+16.8%,14,-,$787,"$427,976",-,12
68,70,Other People,VE,"$10,897",-21.9%,12,+4,$908,"$80,330",-,3
69,68,Ixcanul,KL,"$10,577",-26.3%,11,+2,$962,"$184,630",-,25
70,66,The Infiltrator,BG,"$9,818",-43.1%,12,-15,$818,"$15,425,870",-,11
71,24,The Disappointments Room,Rela.,"$9,643",-97.4%,36,"-1,518",$268,"$2,395,050",$15,3
72,N,The Best Democracy Money Can Buy: A Tale of Billionaires & Ballot Bandits,CLS,"$9,511",-,1,-,"$9,511","$9,511",-,1
73,56,Dancer,IFC,"$9,463",-63.7%,10,+4,$946,"$53,954",-,3
74,63,Mike and Dave Need Wedding Dates,Fox,"$9,229",-54.0%,29,-16,$318,"$45,985,309",$33,12
75,65,Demon,Orch.,"$9,075",-48.4%,10,-5,$908,"$56,817",-,3
76,64,Author: The JT LeRoy Story,Magn.,"$8,805",-50.1%,25,+3,$352,"$66,669",-,3
77,73,Dekalog (2016 re-release),Jan.,"$8,260",-33.2%,3,-2,"$2,753","$85,881",-,4
78,78,Is That a Gun in Your Pocket?,A23,"$8,166",-21.6%,3,+1,"$2,722","$22,330",-,2
79,87,Come What May,Cohen,"$7,347",+8.6%,6,+2,"$1,225","$33,275",-,3
80,61,Complete Unknown,IFC,"$6,132",-69.8%,25,-22,$245,"$182,219",-,5
81,N,Closet Monster,Strand,"$6,118",-,1,-,"$6,118","$6,118",-,1
82,58,Hands of Stone,Wein.,"$6,053",-75.4%,22,-83,$275,"$4,681,940",-,5
83,N,Generation Startup,Long Shot,"$5,756",-,1,-,"$5,756","$5,756",-,1
84,84,Cameraperson,Jan.,"$5,428",-30.3%,3,+1,"$1,809","$38,674",-,3
85,89,Tanna,Lightyear,"$5,137",-10.1%,5,+3,"$1,027","$14,227",-,2
86,71,The Innocents,MBox,"$5,011",-62.5%,12,-6,$418,"$1,054,253",-,13
87,N,The Ruins of Lifta,FRun,"$4,620",-,1,-,"$4,620","$4,620",-,1
88,85,Hieronymus Bosch: Touched by the Devil,KL,"$4,539",-40.5%,6,+3,$757,"$113,301",-,11
89,76,La Notte (2016 re-release),Rialto,"$4,438",-57.9%,2,-,"$2,219","$28,339",-,2
90,74,Elevator to the Gallows (2016 re-issue),Rialto,"$4,390",-62.9%,2,-3,"$2,195","$97,489",-,8
91,99,Howards End (2016 Restoration),Cohen,"$4,161",+53.8%,3,-1,"$1,387","$157,888",-,5
92,102,Seed: The Untold Story,CEye,"$4,158",+74.0%,3,-,"$1,386","$15,138",-,5
93,-,"My Love, Don't Cross that River",FM,"$4,063",-,1,-,"$4,063","$88,018",-,15
94,N,Made in France,UTMW,"$3,688",-,1,-,"$3,688","$3,688",-,1
95,86,Swiss Army Man,A24,"$3,446",-50.3%,7,-,$492,"$4,208,879",-,14
96,75,Absolutely Fabulous: The Movie,FoxS,"$3,274",-71.5%,7,-13,$468,"$4,764,515",-,10
97,92,The Music of Strangers,Orch.,"$3,215",-27.6%,10,-3,$322,"$1,161,574",-,16
98,93,Born to Be Wild (IMAX),WB,"$3,133",-27.0%,7,+2,$448,"$24,954,083",-,286
99,77,Saturday's Warrior,Purd.,"$2,913",-72.3%,9,-3,$324,"$730,840",-,26
100,N,New World Order,Indic.,"$2,790",-,2,-,"$1,395","$2,790",-,1
101,N,Girl Asleep,Osci.,"$2,567",-,1,-,"$2,567","$2,567",-,1
102,96,Morris from America,A24,"$2,541",-28.9%,10,+2,$254,"$84,260",-,6
103,N,Chronic,MR,"$2,403",-,2,-,"$1,202","$2,403",-,1
104,98,"Life, Animated",Orch.,"$2,239",-17.9%,5,-5,$448,"$244,031",-,13
105,94,Fatima,KL,"$2,157",-47.7%,3,-,$719,"$45,050",-,5
106,103,Tickled,Magn.,"$1,874",-19.4%,8,+2,$234,"$612,816",-,15
107,69,Hillary's America: The Secret History of the Democratic Party,QF,"$1,869",-86.9%,17,-45,$110,"$13,086,192",-,11
108,N,"1,000 Rupee Note",KL,"$1,697",-,1,-,"$1,697","$1,697",-,1
109,79,The Map Against the World,CJ,"$1,688",-83.5%,3,-1,$563,"$32,893",-,3
110,-,Front Cover,Strand,"$1,309",-,1,-,"$1,309","$24,310",-,5
111,120,Deep Sea 3D (IMAX),WB,"$1,226",+344.2%,3,+1,$409,"$46,215,217",-,527
112,97,Miss Sharon Jones,SM,"$1,158",-62.3%,4,-2,$290,"$110,269",-,9
113,-,Island of Lemurs: Madagascar (IMAX),WB,"$1,114",-,2,-,$557,"$10,666,683",-,130
114,113,Don't Blink - Robert Frank,Ghop,"$1,001",+6.7%,2,-,$501,"$62,149",-,11
115,-,Under the Sun (2016),Icar.,$995,-,1,-,$995,"$92,398",-,12
116,111,The Wailing (Goksung),WGUSA,$992,-6.1%,1,-1,$992,"$786,397",-,19
117,106,The Lobster (US Release),A24,$899,-52.2%,2,-2,$450,"$8,699,235",-,20
118,-,The Seventh Fire,FM,$633,-,1,-,$633,"$27,440",-,9
119,-,Hubble 3D,WB,$564,-,2,-,$282,"$51,706,724",-,341
120,118,Reparation,Red Dirt,$552,-14.8%,1,-,$552,"$18,896",-,4
121,117,Maggie's Plan,SPC,$524,-22.9%,3,-1,$175,"$3,351,230",-,19
122,107,Eat That Question: Frank Zappa in His Own Words,SPC,$496,-62.1%,2,-1,$248,"$348,457",-,14
123,67,Tunnel,WGUSA,$318,-97.9%,2,-10,$159,"$568,691",-,5
124,-,Unlocking the Cage,FRun,$314,-,1,-,$314,"$27,264",-,14
125,-,Kate Plays Christine,Ghop,$200,-,1,-,$200,"$18,172",-,5
126,114,Paths of the Soul,Icar.,$171,-80.9%,1,-,$171,"$27,449",-,20
127,115,The Seasons in Quincy: Four Portraits of John Berger,Icar.,$140,-84.3%,2,-,$70,"$21,089",-,4
128,-,Ghost Team,Orch.,$118,-,2,-,$59,"$6,581",-,7
129,116,My King (Mon roi),FM,$85,-88.9%,1,-3,$85,"$47,582",-,7
130,105,Under the Sea 3D,WB,$83,-96.1%,2,-2,$42,"$35,094,727",-,398
131,-,Men Go To Battle,FM,$74,-,1,-,$74,"$17,950",-,12
132,122,The Last Film Festival,Mont.,$64,-8.6%,1,-,$64,$134,-,4
133,101,Miss Stevens,Orch.,$50,-98.0%,1,-1,$50,"$3,858",-,2
