TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,The Jungle Book (2016),BV,"$103,261,464",-,"4,028",-,"$25,636","$103,261,464",$175,1
2,N,Barbershop: The Next Cut,WB (NL),"$20,242,415",-,"2,661",-,"$7,607","$20,242,415",-,1
3,1,The Boss,Uni.,"$9,958,855",-57.8%,"3,495",+15,"$2,849","$40,140,765",$29,2
4,2,Batman v Superman: Dawn of Justice,WB,"$9,028,356",-61.4%,"3,505",-597,"$2,576","$311,330,086",$250,4
5,3,Zootopia,BV,"$8,142,641",-43.2%,"3,209",-235,"$2,537","$307,386,397",-,7
6,N,Criminal (2016),LG/S,"$5,767,278",-,"2,683",-,"$2,150","$5,767,278",-,1
7,4,My Big Fat Greek Wedding 2,Uni.,"$3,258,720",-49.7%,"2,297",-730,"$1,419","$52,094,210",-,4
8,6,Miracles from Heaven,TriS,"$1,938,578",-58.8%,"2,082",-701,$931,"$56,969,578",$13,5
9,7,God's Not Dead 2,PFR,"$1,877,835",-55.7%,"1,611",-769,"$1,166","$17,173,672",-,3
10,10,Eye in the Sky,BST,"$1,553,083",-46.4%,891,-198,"$1,743","$13,113,068",-,6
11,5,Hardcore Henry,STX,"$1,445,326",-71.7%,"3,015",-,$479,"$8,117,998",-,2
12,N,Fan,Yash,"$1,382,871",-,307,-,"$4,504","$1,382,871",$15.67,1
13,8,The Divergent Series: Allegiant,LG/S,"$1,370,630",-61.0%,"1,484","-1,019",$924,"$64,011,791",-,5
14,9,10 Cloverfield Lane,Par.,"$1,058,603",-63.6%,"1,085",-801,$976,"$69,793,284",-,6
15,11,Deadpool,Fox,"$974,651",-53.3%,791,-644,"$1,232","$360,087,900",$58,10
16,13,"Hello, My Name is Doris",RAtt.,"$781,502",-51.5%,650,-329,"$1,202","$10,908,609",-,6
17,12,Meet the Blacks,Free,"$489,765",-76.4%,584,-423,$839,"$8,367,099",-,3
18,14,Midnight Special,WB,"$431,251",-61.8%,521,+28,$828,"$3,116,328",-,5
19,17,Everybody Wants Some!!,Par.,"$428,527",-12.2%,134,+71,"$3,198","$1,529,630",-,3
20,16,London Has Fallen,Focus,"$302,004",-68.7%,436,-478,$693,"$61,401,210",$60,7
21,15,Demolition,FoxS,"$293,296",-73.3%,862,+8,$340,"$1,822,315",-,2
22,18,Kung Fu Panda 3,Fox,"$273,771",-38.3%,293,-48,$934,"$141,314,608",$145,12
23,24,Miles Ahead,SPC,"$195,153",-7.2%,47,+22,"$4,152","$618,280",-,3
24,19,Star Wars: The Force Awakens,BV,"$190,152",-49.8%,260,-86,$731,"$935,832,841",$245,18
25,21,The Revenant,Fox,"$155,013",-36.7%,222,-64,$698,"$183,231,223",$135,17
26,27,WARx2,WARX2,"$131,813",-2.9%,10,+1,"$13,181","$267,574",-,5
27,22,Whiskey Tango Foxtrot,Par.,"$121,411",-48.7%,223,-54,$544,"$22,920,992",$35,7
28,N,The First Monday in May,Magn.,"$99,242",-,20,-,"$4,962","$99,242",-,1
29,26,Gods of Egypt,LG/S,"$94,727",-44.2%,163,-31,$581,"$30,883,112",$140,8
30,31,Born to be Blue (US Release),IFC,"$90,434",-12.9%,79,+32,"$1,145","$420,595",-,4
31,N,Green Room,A24,"$87,984",-,3,-,"$29,328","$87,984",-,1
32,23,Chongqing Hot Pot,CL,"$86,775",-61.0%,39,-6,"$2,225","$667,373",-,3
33,N,Sing Street,Wein.,"$63,573",-,5,-,"$12,715","$63,573",-,1
34,33,The 5th Wave,Sony,"$61,226",-36.7%,99,-17,$618,"$34,650,223",$38,13
35,20,I Saw the Light,SPC,"$59,352",-79.6%,103,-445,$576,"$1,536,726",-,4
36,41,Remember (US Release),A24,"$50,068",-18.5%,44,-7,"$1,138","$488,592",-,6
37,32,The Lady in the Van,SPC,"$46,856",-54.7%,71,-33,$660,"$9,738,796",-,20
38,34,Saturday's Warrior,Purd.,"$45,947",-47.7%,28,-,"$1,641","$384,506",-,3
39,38,Marguerite,Cohen,"$45,289",-35.1%,39,-3,"$1,161","$400,770",-,6
40,37,Spotlight,ORF,"$45,247",-43.1%,103,-9,$439,"$44,808,479",-,24
41,40,The Invitation,Drft.,"$44,160",-34.9%,19,+9,"$2,324","$144,140",-,2
42,N,"New York, New York (2016)",CL,"$42,239",-,16,-,"$2,640","$42,239",-,1
43,35,Eddie the Eagle,Fox,"$41,293",-52.8%,94,-34,$439,"$15,634,318",$23,8
44,44,Race (2016),Focus,"$39,144",-13.3%,90,+17,$435,"$19,097,994",-,9
45,57,The Hateful Eight,Wein.,"$38,029",+60.8%,23,-43,"$1,653","$54,096,599",$44,17
46,29,The Witch,A24,"$37,876",-70.9%,55,-101,$689,"$25,044,102",$4,9
47,42,City of Gold,IFC,"$36,870",-39.1%,50,-,$737,"$539,724",-,6
48,45,April and the Extraordinary World,GK,"$36,710",-14.8%,27,+14,"$1,360","$139,419",-,4
49,43,Embrace of the Serpent,Osci.,"$30,406",-40.2%,36,-,$845,"$1,220,819",-,9
50,58,Francofonia,MBox,"$28,833",+37.7%,8,+5,"$3,604","$91,990",-,3
51,69,Vaxxed: From Cover-Up to Catastrophe,CLS,"$27,885",+312.0%,5,+4,"$5,577","$81,588",-,3
52,N,Los Sures,Osci.,"$26,088",-,1,-,"$26,088","$26,088",-,1
53,47,My Golden Days,Magn.,"$23,781",-41.0%,32,+3,$743,"$218,255",-,5
54,48,Alvin and the Chipmunks: The Road Chip,Fox,"$19,886",-47.7%,59,-21,$337,"$85,825,210",-,18
55,56,Louder than Bombs,Orch.,"$19,514",-19.6%,15,+11,"$1,301","$54,402",-,2
56,73,Hubble 3D,WB,"$18,531",+205.1%,11,+7,"$1,685","$51,582,071",-,313
57,72,The Dark Horse,BG,"$17,414",+172.1%,10,+7,"$1,741","$37,906",-,3
58,39,Risen,Sony,"$17,216",-75.1%,57,-104,$302,"$36,732,506",$20,9
59,50,The Little Prince,EOne,"$15,751",-51.8%,53,+6,$297,"$1,248,226",-,10
60,N,Revelation: Dawn of Global Government,RM,"$14,975",-,2,-,"$7,488","$14,975",-,1
61,30,The Perfect Match,LGF,"$14,276",-88.5%,60,-93,$238,"$9,628,171",-,6
62,67,Dough,Men.,"$13,390",+83.5%,7,+2,"$1,913","$361,546",-,10
63,65,The Young Messiah,Focus,"$12,341",+49.8%,55,+14,$224,"$6,462,576",-,6
64,51,Brooklyn,FoxS,"$11,967",-61.9%,29,-21,$413,"$38,231,771",-,24
65,49,Where to Invade Next,Drft.,"$11,813",-66.4%,23,-28,$514,"$3,801,054",-,10
66,62,Vita Activa: The Spirit of Hannah Arendt,Zeit.,"$10,814",-18.3%,1,-,"$10,814","$36,192",-,2
67,N,The Measure of a Man,KL,"$10,011",-,2,-,"$5,006","$10,011",-,1
68,81,Sold,Mats.,"$8,959",+183.3%,4,+1,"$2,240","$21,559",-,3
69,66,Krisha,A24,"$6,720",-10.7%,20,+9,$336,"$131,439",-,5
70,N,Our Last Tango,Strand,"$6,550",-,1,-,"$6,550","$6,550",-,1
71,70,Fireworks Wednesday,Ghop,"$6,111",-6.1%,4,+1,"$1,528","$37,354",-,5
72,N,Time Renegades,CJ,"$6,068",-,1,-,"$6,068","$6,068",-,1
73,N,Adderall Diaries,A24,"$5,517",-,30,-,$184,"$5,517",-,1
74,74,Standing Tall (La tete haute),Cohen,"$4,131",-27.8%,5,+3,$826,"$24,013",-,3
75,64,Knight of Cups,BG,"$3,970",-55.0%,8,-6,$496,"$548,665",-,7
76,100,The Wave,Magn.,"$3,622",+302.0%,6,+3,$604,"$170,465",-,7
77,86,Room,A24,"$3,596",+68.2%,6,+2,$599,"$14,674,733",-,27
78,61,Sweet Bean,KL,"$3,535",-73.6%,4,-1,$884,"$38,489",-,5
79,68,Born to be Blue,EOne,"$3,312",-52.1%,11,+3,$301,"$151,512",-,7
80,71,Neon Bull,KL,"$3,110",-51.5%,4,+3,$778,"$12,490",-,2
81,85,Son of Saul,SPC,"$3,038",+15.5%,11,-2,$276,"$1,767,793",-,18
82,N,Wedding Doll,Strand,"$2,771",-,3,-,$924,"$2,771",-,1
83,76,Under the Sea 3D,WB,"$2,368",-52.9%,6,+1,$395,"$34,963,803",-,368
84,60,Be Here Now: The Andy Whitfield Story,TUG,"$2,299",-83.1%,1,-10,"$2,299","$16,977",-,2
85,92,To the Arctic (IMAX),WB,"$1,821",+37.1%,3,+2,$607,"$14,437,727",-,197
86,93,Take Me to the River (2016),FM,"$1,787",+35.8%,4,+1,$447,"$23,472",-,5
87,94,Songs My Brothers Taught Me,KL,"$1,728",+39.8%,3,-,$576,"$30,217",-,7
88,84,Island of Lemurs: Madagascar (IMAX),WB,"$1,727",-36.3%,6,+3,$288,"$10,600,267",-,107
89,-,Of Mind and Music,Mont.,"$1,376",-,2,-,$688,"$10,847",-,8
90,89,Cemetery of Splendor,Strand,"$1,230",-30.5%,4,-2,$308,"$48,385",-,7
91,110,Journey to the South Pacific,Imax,"$1,162",+160.5%,2,-1,$581,"$7,119,480",-,114
92,105,Space Station 3-D (IMAX),Imax,"$1,042",+55.5%,6,+2,$174,"$93,179,642",-,701
93,111,Marinoni: The Fire in the Frame,FRun,$994,+128.0%,3,+2,$331,"$2,772",-,3
94,91,Mountains May Depart,KL,$992,-27.5%,1,-4,$992,"$65,960",-,10
95,77,No Home Movie,Icar.,$971,-80.1%,1,-3,$971,"$20,958",-,9
96,-,Ran (2016 re-issue),Rialto,$873,-,1,-,$873,"$51,496",-,8
97,N,In Harmony,Distrib.,$809,-,1,-,$809,$809,-,1
98,107,Janis: Little Girl Blue,FR,$683,+31.9%,1,-,$683,"$403,821",-,21
99,99,Born to Be Wild (IMAX),WB,$598,-34.5%,8,+4,$75,"$24,572,397",-,255
101,95,Galapagos (IMAX),Imax,$593,-47.4%,2,-,$297,"$18,543,766",-,801
100,80,Valley of Love,Strand,$593,-83.3%,2,-3,$297,"$26,678",-,4
102,102,A War,Magn.,$591,-21.7%,4,-,$148,"$121,577",-,10
103,N,From the East,Icar.,$564,-,1,-,$564,$564,-,1
104,-,Mad Tiger,FM,$507,-,2,-,$254,"$2,888",-,5
105,-,Jafar Panahi's Taxi,KL,$490,-,1,-,$490,"$321,511",-,28
106,97,Lolo,FR,$350,-66.9%,2,-1,$175,"$18,786",-,6
107,-,Next Time I'll Aim for the Heart,Distrib.,$259,-,1,-,$259,$714,-,3
108,115,Creative Control,Magn.,$258,+46.6%,6,+5,$43,"$62,480",-,6
109,116,The Bronze,SPC,$192,+32.4%,1,-1,$192,"$615,654",-,5
110,112,Aferim!,BWP,$190,-50.1%,2,+1,$95,"$99,002",-,13
111,104,I Don't Belong Anywhere: The Cinema of Chantal Akerman,Icar.,$135,-81.3%,1,-,$135,"$2,843",-,3
112,114,Eisenstein in Guanajuato,Strand,$110,-59.9%,1,-,$110,"$34,282",-,11
113,103,Deep Sea 3D (IMAX),WB,$78,-89.5%,3,+1,$26,"$46,186,626",-,498
114,98,The Dying of the Light,FRun,$78,-92.2%,1,-,$78,"$3,006",-,2
115,63,DONGJU: The Portrait of a Poet,CJ,$74,-99.4%,1,-3,$74,"$56,184",-,3
116,79,Only Yesterday (2016 re-release),GK,$52,-98.6%,2,-10,$26,"$452,499",-,16
117,101,The Program (2016),EOne,$6,-99.3%,1,-,$6,"$12,570",-,5
118,119,Burning Bodhi,Mont.,$4,-86.7%,1,-,$4,"$2,413",-,5
