TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Black Panther,BV,"$26,650,690",-34.7%,"3,834",-108,"$6,951","$605,027,218",-,5
2,N,Tomb Raider,WB,"$23,633,317",-,"3,854",-,"$6,132","$23,633,317",$94,1
3,N,I Can Only Imagine,RAtt.,"$17,108,914",-,"1,629",-,"$10,503","$17,108,914",$7,1
4,2,A Wrinkle in Time,BV,"$16,256,879",-50.9%,"3,980",-,"$4,085","$60,751,533",-,2
5,N,"Love, Simon",Fox,"$11,756,244",-,"2,402",-,"$4,894","$11,756,244",$17,1
6,5,Game Night,WB (NL),"$5,602,230",-28.8%,"2,686",-375,"$2,086","$54,206,414",$37,4
7,6,Peter Rabbit,Sony,"$5,201,647",-23.2%,"2,725",-387,"$1,909","$102,441,915",$50,6
8,3,Strangers: Prey at Night,Aviron,"$4,701,089",-54.8%,"2,464",-,"$1,908","$18,503,141",-,2
9,4,Red Sparrow,Fox,"$4,531,187",-46.7%,"2,583",-481,"$1,754","$39,664,829",$69,3
10,7,Death Wish (2018),MGM,"$3,368,565",-48.8%,"2,676",-206,"$1,259","$29,950,250",$30,3
11,8,Annihilation,Par.,"$1,733,605",-47.5%,"1,087",-622,"$1,595","$29,628,348",$40,4
12,10,Jumanji: Welcome to the Jungle,Sony,"$1,622,505",-40.8%,"1,556",-601,"$1,043","$400,246,103",$90,13
13,N,7 Days in Entebbe,Focus,"$1,592,645",-,838,-,"$1,901","$1,592,645",-,1
14,13,The Greatest Showman,Fox,"$1,134,199",-40.7%,737,-215,"$1,539","$169,703,817",$84,13
15,9,The Hurricane Heist,ENTMP,"$1,033,247",-65.8%,"2,283",-119,$453,"$5,369,167",$35,2
16,12,The Shape of Water,FoxS,"$793,617",-66.2%,758,-794,"$1,047","$62,826,599",-,16
17,11,Gringo,STX,"$655,891",-75.9%,"2,314",-90,$283,"$4,522,102",-,2
18,14,Fifty Shades Freed,Uni.,"$610,535",-55.4%,873,-484,$699,"$99,626,835",$55,6
19,29,The Death of Stalin,IFC,"$537,497",+190.8%,32,+28,"$16,797","$801,066",-,2
20,15,Thoroughbreds,Focus,"$487,690",-60.2%,564,+15,$865,"$2,294,050",-,2
21,N,Raid (2018),Eros,"$423,817",-,79,-,"$5,365","$423,817",-,1
22,17,"Three Billboards Outside Ebbing, Missouri",FoxS,"$266,797",-61.6%,282,-270,$946,"$54,016,459",-,19
23,20,A Fantastic Woman,SPC,"$192,471",-29.1%,190,+24,"$1,013","$1,484,490",-,7
24,25,Coco,BV,"$184,351",-28.8%,177,-17,"$1,042","$209,170,730",-,17
25,22,Star Wars: The Last Jedi,BV,"$174,756",-34.2%,211,-35,$828,"$619,791,373",-,14
26,28,Ferdinand,Fox,"$166,091",-13.5%,169,-32,$983,"$83,725,454",$111,14
27,35,The Leisure Seeker,SPC,"$142,355",+25.2%,49,+21,"$2,905","$320,311",-,5
28,18,The Post,Fox,"$132,503",-59.7%,159,-119,$833,"$81,434,938",$50,13
29,19,Call Me by Your Name,SPC,"$121,703",-58.5%,118,-191,"$1,031","$17,736,560",-,17
30,24,"I, Tonya",Neon,"$121,595",-53.8%,160,-83,$760,"$29,755,240",-,15
31,30,Maze Runner: The Death Cure,Fox,"$103,094",-43.2%,147,-67,$701,"$57,639,089",$62,8
32,21,Darkest Hour,Focus,"$102,595",-61.4%,133,-112,$771,"$56,309,040",-,17
33,27,Phantom Thread,Focus,"$94,580",-59.8%,92,-92,"$1,028","$20,907,000",-,12
34,41,12 Strong,WB,"$79,046",+24.0%,148,+37,$534,"$45,410,021",-,9
35,23,The 15:17 to Paris,WB,"$75,588",-71.4%,155,-265,$488,"$35,958,478",$30,6
36,33,Operation Red Sea,WGUSA,"$74,228",-55.0%,28,-14,"$2,651","$1,434,087",-,4
37,36,Early Man,LGF,"$69,426",-33.9%,144,-42,$482,"$8,168,933",-,5
38,31,Lady Bird,A24,"$68,406",-60.6%,88,-68,$777,"$48,845,671",-,20
39,43,Wonder,LGF,"$60,463",+10.2%,96,-42,$630,"$132,389,819",-,18
40,37,The Party (2017),RAtt.,"$60,228",-39.9%,80,-11,$753,"$597,811",-,5
41,42,Hostiles,ENTMP,"$51,717",-16.1%,102,+12,$507,"$29,700,564",-,13
42,32,Winchester,LGF,"$50,076",-70.1%,91,-170,$550,"$24,987,223",-,7
43,46,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$49,974",+7.8%,26,+5,"$1,922","$495,769",-,17
44,55,Foxtrot,SPC,"$49,660",+81.1%,12,+6,"$4,138","$172,834",-,3
45,N,Flower,Orch.,"$48,919",-,3,-,"$16,306","$48,919",-,1
46,52,Oh Lucy!,FM,"$48,785",+48.4%,31,+15,"$1,574","$117,111",-,3
47,44,Loveless (2018),SPC,"$47,569",-11.3%,43,+6,"$1,106","$385,313",-,5
48,51,A Beautiful Planet,Imax,"$39,965",+18.7%,16,-1,"$2,498","$13,564,591",-,99
49,62,Itzhak,Greenwich,"$35,173",+145.1%,19,+17,"$1,851","$57,594",-,2
50,38,Den of Thieves,STX,"$33,507",-55.2%,60,-44,$558,"$44,933,602",-,9
51,26,Every Day (2018),Orion,"$32,378",-87.1%,110,-505,$294,"$6,087,943",$4.9,4
52,56,Leaning Into The Wind,Magn.,"$31,489",+26.8%,12,+7,"$2,624","$72,081",-,2
53,58,The Princess and the Matchmaker,CJ,"$21,439",+6.4%,6,+3,"$3,573","$54,237",-,2
54,45,Detective Chinatown 2,WB,"$21,337",-57.1%,8,-12,"$2,667","$1,953,983",-,5
55,59,The Insult,Cohen,"$20,006",+1.1%,14,-3,"$1,429","$934,572",-,10
56,67,1945,Men.,"$19,914",+74.9%,10,+4,"$1,991","$428,396",-,20
57,39,Samson,PFR,"$19,902",-72.1%,34,-59,$585,"$4,675,433",-,5
58,50,Forever My Girl,RAtt.,"$16,723",-56.2%,37,-27,$452,"$16,290,689",$3.5,9
59,74,Goldstone,Lightyear,"$13,603",+134.1%,14,+12,$972,"$25,621",-,3
60,-,Monster Family,VPD,"$12,939",-,14,-,$924,"$112,014",-,6
61,57,Film Stars Don't Die in Liverpool,SPC,"$12,816",-39.1%,38,-3,$337,"$841,716",-,12
62,N,Keep the Change,KL,"$12,445",-,1,-,"$12,445","$48,769",-,1
63,N,Journey's End,Good Deed,"$11,798",-,2,-,"$5,899","$11,798",-,1
64,53,All the Money in the World,TriS,"$10,862",-65.4%,27,-22,$402,"$25,106,315",-,12
65,40,The Oscar Nominated Short Films 2018,Shrts.,"$9,440",-85.3%,9,-47,"$1,049","$3,503,077",-,6
66,60,Agent Mr. Chan,CL,"$9,262",-41.6%,3,-1,"$3,087","$196,362",-,4
67,81,In Between,FM,"$7,962",+136.1%,5,-3,"$1,592","$94,821",-,11
68,N,The Happys,Indic.,"$7,707",-,2,-,"$3,854","$7,707",-,1
69,61,Girls vs Gangsters,WGUSA,"$7,368",-51.0%,3,-1,"$2,456","$32,743",-,2
70,69,Mary and the Witch's Flower,GK,"$7,205",-16.8%,16,+5,$450,"$2,390,147",-,9
71,N,Ramen Heads,FB,"$7,085",-,2,-,"$3,543","$7,085",-,1
72,65,The Young Karl Marx,Orch.,"$6,911",-40.6%,9,-4,$768,"$93,157",-,4
73,66,Claire's Camera,CGld,"$6,853",-40.4%,1,-,"$6,853","$25,474",-,2
74,75,Hubble 3D,WB,"$6,558",+31.8%,7,+3,$937,"$52,067,001",-,418
75,71,Under the Sea 3D,WB,"$6,506",-17.2%,8,-3,$813,"$35,770,034",-,475
76,N,Eight Hours Don't Make a Day (2018 re-release),Jan.,"$5,880",-,1,-,"$5,880","$5,880",-,1
77,79,Tehran Taboo,KL,"$5,677",+52.8%,7,+2,$811,"$45,444",-,5
78,68,Faces Places,Cohen,"$5,409",-50.4%,12,-1,$451,"$934,945",-,24
79,70,The Florida Project,A24,"$5,328",-32.5%,9,-3,$592,"$5,901,117",-,24
80,-,24 Frames,Jan.,"$3,795",-,1,-,"$3,795","$32,345",-,7
81,73,In the Fade,Magn.,"$3,787",-42.1%,10,-4,$379,"$305,685",-,12
82,77,Happy End,SPC,"$3,579",-21.0%,11,-3,$325,"$299,545",-,13
83,95,Our Blood is Wine,MBox,"$3,519",+128.5%,2,-,"$1,760","$8,357",-,2
84,102,November (2018),Osci.,"$3,076",+225.2%,8,+5,$385,"$12,594",-,4
85,83,Mind Game (2017 re-release),GK,"$3,043",+5.1%,3,-,"$1,014","$28,779",-,5
86,-,Intent to Destory (Gathr release),Gathr,"$2,562",-,1,-,"$2,562","$12,984",-,14
87,93,The Square,Magn.,"$2,501",+43.7%,4,+1,$625,"$1,500,734",-,21
88,86,Deep Sea 3D (IMAX),WB,"$2,120",-17.2%,1,-1,"$2,120","$46,319,738",-,612
89,105,The Sacrifice (2017 re-release),KL,"$2,000",+486.5%,1,-,"$2,000","$60,589",-,22
90,89,Have a Nice Day,Strand,"$1,919",-22.3%,4,+1,$480,"$77,732",-,8
91,80,Island of Lemurs: Madagascar (IMAX),WB,"$1,852",-49.2%,5,-1,$370,"$11,181,568",-,207
92,63,Walk With Me,Gathr,"$1,608",-87.7%,1,-,"$1,608","$689,633",-,22
93,97,Tom of Finland,KL,"$1,596",+19.6%,2,-,$798,"$377,900",-,23
94,82,Western,CGld,"$1,509",-52.5%,3,-2,$503,"$31,510",-,5
95,91,Chronicle of Anna Magdalena Bach,Ghop,"$1,350",-34.4%,1,-1,"$1,350","$12,151",-,3
97,-,Saving Brinton,BOP,"$1,250",-,1,-,"$1,250","$25,840",-,8
96,100,Souvenir,Strand,"$1,250",+19.4%,3,+2,$417,"$7,023",-,3
98,99,Big Sonia,Argo.,"$1,233",+14.5%,1,-1,"$1,233","$190,011",-,18
99,101,Ichi The Killer (2017 re-release),WGUSA,"$1,196",+19.7%,2,-1,$598,"$19,041",-,19
100,-,Death House,Hann.,"$1,080",-,1,-,"$1,080","$11,695",-,3
101,N,12 Days,Distrib.,$923,-,1,-,$923,$923,-,1
102,94,Apocalypsis,Indic.,$812,-50.3%,2,-,$406,"$8,722",-,3
