TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Suicide Squad,WB,"$133,682,248",-,"4,255",-,"$31,418","$133,682,248",$175,1
2,1,Jason Bourne,Uni.,"$22,405,125",-62.2%,"4,039",+13,"$5,547","$103,111,145",$120,2
3,3,Bad Moms,STX,"$14,004,006",-41.2%,"3,215",-,"$4,356","$50,850,836",$20,2
4,4,The Secret Life of Pets,Uni.,"$11,500,590",-39.2%,"3,417",-260,"$3,366","$319,519,370",$75,5
5,2,Star Trek Beyond,Par.,"$10,036,030",-59.5%,"3,263",-665,"$3,076","$127,737,394",$185,3
6,N,Nine Lives (2016),EC,"$6,249,915",-,"2,264",-,"$2,761","$6,249,915",$30,1
7,6,Lights Out,WB (NL),"$6,006,454",-44.4%,"2,581",-254,"$2,327","$54,715,706",$4.9,3
8,8,Nerve,LGF,"$4,861,528",-48.5%,"2,538",-,"$1,915","$26,850,322",$19,2
9,7,Ghostbusters (2016),Sony,"$4,676,192",-53.8%,"2,545",-507,"$1,837","$116,588,128",$144,4
10,5,Ice Age: Collision Course,Fox,"$4,325,094",-60.6%,"2,738","-1,259","$1,580","$53,564,891",$105,3
11,9,Finding Dory,BV,"$1,957,734",-54.7%,"1,122",-611,"$1,745","$473,872,375",-,8
12,12,Cafe Society,LGF,"$1,605,786",-31.2%,631,+66,"$2,545","$6,695,597",-,4
13,11,Hillary's America: The Secret History of the Democratic Party,QF,"$930,025",-62.1%,672,-394,"$1,384","$11,120,971",-,4
14,10,The Legend of Tarzan,WB,"$801,735",-67.5%,648,-855,"$1,237","$124,051,759",$180,6
15,14,Captain Fantastic,BST,"$589,171",-44.5%,363,-187,"$1,623","$3,586,232",-,5
16,34,Indignation,RAtt.,"$420,242",+351.3%,55,+51,"$7,641","$560,488",-,2
17,29,Don't Think Twice,TFA,"$373,556",+140.8%,57,+52,"$6,554","$679,404",-,3
18,15,Central Intelligence,WB (NL),"$371,126",-59.1%,266,-386,"$1,395","$126,088,877",$50,8
19,21,Hunt for the Wilderpeople,Orch.,"$335,494",-8.3%,176,+2,"$1,906","$3,469,226",-,7
20,17,Absolutely Fabulous: The Movie,FoxS,"$333,253",-59.9%,226,-129,"$1,475","$4,152,331",-,3
21,19,The BFG,BV,"$295,536",-35.5%,234,-39,"$1,263","$52,792,307",$140,6
22,13,Mike and Dave Need Wedding Dates,Fox,"$276,936",-80.9%,297,-773,$932,"$45,082,556",$33,5
23,22,The Jungle Book (2016),BV,"$216,877",-29.7%,200,-25,"$1,084","$362,645,141",$175,17
24,39,Captain America: Civil War,BV,"$207,186",+181.5%,174,+89,"$1,191","$407,197,282",$250,14
25,24,Train to Busan,WGUSA,"$190,913",-16.4%,36,+7,"$5,303","$1,075,498",-,3
26,16,The Infiltrator,BG,"$186,049",-78.3%,148,-502,"$1,257","$14,947,119",-,4
27,23,Independence Day: Resurgence,Fox,"$185,593",-36.8%,165,-62,"$1,125","$102,315,545",$165,7
28,18,The Purge: Election Year,Uni.,"$181,910",-75.4%,207,-303,$879,"$78,845,130",$10,6
29,28,A Beautiful Planet,Imax,"$177,352",+11.5%,37,+1,"$4,793","$4,842,075",-,15
