TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
63,N,The Club,MBox,"$6,514",-,2,-,"$3,257","$6,514",-,1
64,N,Southbound,Orch.,"$6,250",-,4,-,"$1,563","$6,250",-,1
65,78,Heart of a Dog,Abr.,"$5,482",+172.5%,4,-1,"$1,371","$373,607",-,16
66,62,Theeb,FM,"$4,139",-47.0%,9,-6,$460,"$230,478",-,14
67,58,Bajirao Mastani,Eros,"$4,009",-50.9%,302,-,$13,"$6,557,047",-,8
68,71,Under the Sea 3D,WB,"$3,725",-5.7%,2,-,"$1,863","$34,838,635",-,349
69,75,The Treasure,SDS,"$3,702",+46.2%,4,+2,$926,"$44,470",-,5
70,52,The Himalayas,CJ,"$3,696",-73.8%,2,-3,"$1,848","$696,717",-,8
71,61,"Rabin, the Last Day",KL,"$3,569",-55.1%,2,+1,"$1,785","$15,105",-,2
72,54,Caged No More,Free,"$3,513",-63.3%,1,-13,"$3,513","$114,903",-,3
73,65,Ho Mann Jahaan,Eros,"$3,202",-32.2%,23,-,$139,"$208,611",-,6
74,73,Island of Lemurs: Madagascar (IMAX),WB,"$2,839",-0.3%,6,+2,$473,"$10,502,740",-,97
75,76,River of Fundament,ICir,"$2,678",+10.0%,2,+1,"$1,339","$20,703",-,9
76,63,Chimes at Midnight (2016 re-release),Jan.,"$2,529",-64.3%,2,-2,"$1,265","$98,014",-,6
77,89,Dreams Rewired,Icar.,"$2,345",+332.7%,1,-1,"$2,345","$10,529",-,13
78,48,Mastizaade,Eros,"$2,233",-92.5%,46,-,$49,"$43,403",-,2
79,77,Born to Be Wild (IMAX),WB,"$2,183",-4.2%,5,-,$437,"$24,491,026",-,235
80,59,Burnt,Wein.,"$1,811",-77.5%,13,-14,$139,"$13,650,738",$20,15
81,74,Labyrinth of Lies,SPC,"$1,566",-44.9%,6,+2,$261,"$788,654",-,19
82,67,Hitchcock/Truffaut,Cohen,"$1,543",-65.6%,5,-,$309,"$296,037",-,10
82,79,Troublemakers: The Story of Land Art,FRun,"$1,280",-34.2%,2,-1,$640,"$24,924",-,5
83,72,Truth,SPC,"$1,214",-60.9%,2,-2,$607,"$2,541,554",-,17
84,-,To the Arctic (IMAX),WB,"$1,032",-,1,-,"$1,032","$14,409,331",-,176
85,-,Arabian Nights: Volume 1 - The Restless One,KL,$906,-,2,-,$453,"$11,098",-,7
86,66,Grandma (2015),SPC,$824,-82.0%,6,-13,$137,"$6,975,272",$0.6,25
87,57,Wazir,Relbig.,$817,-90.1%,3,-9,$272,"$1,123,748",-,5
88,64,In the Shadow of Women,Distrib.,$811,-88.4%,2,-1,$406,"$33,391",-,4
89,71,Journey to the South Pacific,Imax,$775,-77.5%,4,+1,$194,"$7,109,358",-,99
90,84,Trust Fund,Trans,$739,-47.4%,1,-,$739,"$36,475",-,5
91,92,Space Station 3-D (IMAX),Imax,$730,+64.8%,3,+1,$243,"$93,158,720",-,685
92,82,Woodlawn,PFR,$578,-64.4%,2,-,$289,"$14,393,862",-,17
93,55,Sembene!,KL,$519,-94.4%,1,-,$519,"$22,124",-,7
94,85,Anesthesia,IFC,$344,-74.5%,4,-2,$86,"$24,259",-,5
95,86,Mojave,A24,$331,-68.5%,3,+1,$110,"$8,231",-,3
96,90,Deep Sea 3D (IMAX),WB,$278,-47.8%,1,-2,$278,"$46,157,607",-,477
97,67,Jafar Panahi's Taxi,KL,$166,-95.9%,1,-1,$166,"$308,181",-,19
98,-,Arabian Nights: Volume 2 - The Desolate One,KL,$142,-,1,-,$142,"$5,442",-,6
99,96,Yosemite,Mont.,$29,-12.1%,1,-,$29,"$12,153",-,6
