TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Coco,BV,"$27,533,304",-45.8%,"3,987",-,"$6,906","$110,108,708",-,2
2,2,Justice League,WB,"$16,651,104",-59.5%,"3,820",-231,"$4,359","$197,407,025",-,3
3,3,Wonder,LGF,"$12,147,182",-46.4%,"3,449",+277,"$3,522","$87,679,805",-,3
4,4,Thor: Ragnarok,BV,"$9,885,936",-41.4%,"3,148",-133,"$3,140","$291,633,535",$180,5
5,5,Daddy's Home 2,Par.,"$7,572,390",-42.7%,"3,403",-115,"$2,225","$82,886,836",$69,4
6,6,Murder on the Orient Express (2017),Fox,"$6,767,002",-48.6%,"3,201",+49,"$2,114","$84,839,515",$55,4
7,10,"Three Billboards Outside Ebbing, Missouri",FoxS,"$4,396,537",-0.1%,"1,430",+816,"$3,075","$13,537,057",-,4
8,11,Lady Bird,A24,"$4,291,590",+5.8%,"1,194",+403,"$3,594","$16,837,041",-,5
9,7,The Star,Sony,"$4,078,423",-41.2%,"2,822",-15,"$1,445","$27,358,076",$20,3
10,8,A Bad Moms Christmas,STX,"$3,385,484",-30.8%,"2,251",-55,"$1,504","$64,737,307",$28,5
11,9,"Roman J. Israel, Esq.",Sony,"$1,958,702",-56.0%,"1,669",-,"$1,174","$9,526,792",$22,3
12,N,The Disaster Artist,A24,"$1,211,345",-,19,-,"$63,755","$1,211,345",-,1
13,12,The Man Who Invented Christmas,BST,"$885,786",-34.7%,674,+48,"$1,314","$3,177,303",-,2
14,N,Titanic (20th Anniversary),Par.,"$438,602",-,87,-,"$5,041","$438,602",-,1
15,13,Blade Runner 2049,WB,"$401,403",-25.8%,434,-,$925,"$90,785,165",$150,9
16,14,Call Me by Your Name,SPC,"$295,561",-28.4%,4,-,"$73,890","$922,456",-,2
17,39,Marshall,ORF,"$247,772",+310.4%,651,+540,$381,"$9,150,000",$12,8
18,15,Jigsaw,LGF,"$222,803",-40.0%,301,-82,$740,"$37,603,791",$10,6
19,16,Loving Vincent,Good Deed,"$213,066",-21.8%,161,+14,"$1,323","$5,503,561",-,11
20,N,The Shape of Water,FoxS,"$166,564",-,2,-,"$83,282","$166,564",-,1
21,32,The Polar Express (2017 re-release),WB,"$139,424",+60.0%,-,-,n/a,"$240,115",-,3
22,24,My Friend Dahmer,FR,"$133,113",-5.8%,90,+15,"$1,479","$932,407",-,5
23,N,Wonder Wheel,Amazon,"$125,570",-,5,-,"$25,114","$125,570",-,1
24,N,Dunkirk (Re-Issue 12/1),WB,"$122,115",-,53,-,"$2,304","$122,115",-,1
25,17,The Florida Project,A24,"$110,663",-47.1%,120,-44,$922,"$4,854,546",-,9
26,19,It,WB (NL),"$110,501",-40.6%,231,-,$478,"$327,346,413",$35,13
27,21,Darkest Hour,Focus,"$108,372",-38.1%,4,-,"$27,093","$411,853",-,2
28,18,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$103,767",-44.3%,212,-36,$489,"$47,162,645",$25,7
