TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,2,Jumanji: Welcome to the Jungle,Sony,"$37,233,653",-25.6%,"3,801",+36,"$9,796","$245,606,319",$90,3
2,N,Insidious: The Last Key,Uni.,"$29,581,355",-,"3,116",-,"$9,493","$29,581,355",$10,1
3,1,Star Wars: The Last Jedi,BV,"$23,728,944",-54.8%,"4,232",-,"$5,607","$572,691,546",-,4
4,4,The Greatest Showman,Fox,"$13,770,951",-11.3%,"3,342",+26,"$4,121","$76,875,323",$84,3
5,3,Pitch Perfect 3,Uni.,"$10,298,345",-38.7%,"3,458",-10,"$2,978","$86,055,435",$45,3
6,5,Ferdinand,Fox,"$7,697,773",-32.4%,"3,156",-181,"$2,439","$70,466,891",$111,4
7,13,Molly's Game,STX,"$6,856,578",+191.8%,"1,608","+1,337","$4,264","$14,073,138",-,2
8,8,Darkest Hour,Focus,"$6,050,225",+10.3%,"1,733",+790,"$3,491","$28,086,332",-,7
9,6,Coco,BV,"$5,382,651",-27.9%,"1,894",-210,"$2,842","$191,925,612",-,7
10,7,All the Money in the World,TriS,"$3,571,226",-36.1%,"2,123",+49,"$1,682","$20,153,135",-,2
11,11,The Shape of Water,FoxS,"$3,139,084",-11.1%,804,+48,"$3,904","$21,692,548",-,6
12,22,"I, Tonya",Neon,"$2,445,878",+273.1%,256,+207,"$9,554","$5,419,565",-,5
13,12,Wonder,LGF,"$2,381,646",-26.7%,"1,258",+65,"$1,893","$126,638,732",-,8
14,9,Downsizing,Par.,"$2,202,311",-53.2%,"2,020",-648,"$1,090","$22,932,429",$68,3
15,24,The Post,Fox,"$1,698,027",+202.6%,36,+27,"$47,167","$3,847,683",$50,3
16,14,Lady Bird,A24,"$1,572,031",+7.2%,562,+170,"$2,797","$34,128,122",-,10
17,10,Father Figures,WB,"$1,262,474",-67.0%,"1,717","-1,185",$735,"$16,772,934",-,3
18,20,Call Me by Your Name,SPC,"$747,129",-,117,+2,"$6,386","$6,073,058",-,7
19,16,The Disaster Artist,A24,"$746,034",-20.0%,478,-29,"$1,561","$19,431,782",-,6
20,21,"Three Billboards Outside Ebbing, Missouri",FoxS,"$705,188",+4.4%,310,+44,"$2,275","$25,392,902",-,9
21,15,Justice League,WB,"$556,851",-53.5%,518,-697,"$1,075","$227,032,490",-,8
22,19,Thor: Ragnarok,BV,"$514,940",-39.8%,325,-215,"$1,584","$312,459,726",$180,10
23,17,Daddy's Home 2,Par.,"$473,493",-48.6%,429,-341,"$1,104","$102,934,995",$69,9
24,23,Murder on the Orient Express (2017),Fox,"$450,509",-26.9%,314,-77,"$1,435","$101,555,644",$55,9
25,18,Tiger Zinda Hai,Yash,"$367,679",-60.1%,166,-118,"$2,215","$5,560,921",$20.47,3
26,28,Along with the Gods: The Two Worlds,WGUSA,"$277,065",+43.3%,35,+18,"$7,916","$1,118,190",-,3
27,39,Hostiles,ENTMP,"$268,373",+702.2%,46,+41,"$5,834","$393,565",-,3
28,26,Phantom Thread,Focus,"$240,240",+11.0%,6,+2,"$40,040","$947,190",-,2
