TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Captain America: Civil War,BV,"$72,637,142",-59.5%,"4,226",-,"$17,188","$295,966,220",$250,2
2,2,The Jungle Book (2016),BV,"$17,115,708",-30.1%,"3,970",-174,"$4,311","$311,111,818",$175,5
3,N,Money Monster,TriS,"$14,788,157",-,"3,104",-,"$4,764","$14,788,157",$27,1
4,N,The Darkness,BH Tilt,"$4,950,859",-,"1,755",-,"$2,821","$4,950,859",-,1
5,3,Mother's Day,ORF,"$3,287,342",-70.3%,"3,291",+150,$999,"$28,785,462",$25,3
6,6,Zootopia,BV,"$2,825,734",-12.1%,"1,935",-142,"$1,460","$331,840,173",-,11
7,4,The Huntsman: Winter's War,Uni.,"$2,629,825",-33.4%,"2,518",-383,"$1,044","$44,589,075",$115,4
8,5,Keanu,WB (NL),"$1,924,383",-41.5%,"2,120",-561,$908,"$18,636,886",$15,3
9,7,Barbershop: The Next Cut,WB (NL),"$1,668,455",-40.5%,"1,333",-401,"$1,252","$51,349,157",-,5
10,8,The Boss,Uni.,"$1,197,715",-37.4%,"1,350",-583,$887,"$61,159,415",$29,6
11,9,Ratchet & Clank,Focus,"$629,742",-57.0%,"1,258","-1,637",$501,"$8,146,999",-,3
12,14,Sing Street,Wein.,"$619,970",+41.5%,525,+372,"$1,181","$1,893,105",-,5
13,10,Batman v Superman: Dawn of Justice,WB,"$520,813",-50.4%,744,-849,$700,"$328,200,056",$250,8
14,21,The Man Who Knew Infinity,IFC,"$509,431",+131.2%,194,+154,"$2,626","$917,806",-,3
15,11,My Big Fat Greek Wedding 2,Uni.,"$489,485",-24.2%,717,+77,$683,"$58,977,375",-,8
16,16,Green Room,A24,"$411,376",+21.7%,777,+307,$529,"$2,707,971",-,5
17,17,The Meddler,SPC,"$372,941",+20.4%,127,+74,"$2,937","$1,061,114",-,4
18,12,Eye in the Sky,BST,"$366,627",-34.7%,360,-59,"$1,018","$17,892,030",-,10
19,15,"Hello, My Name is Doris",RAtt.,"$248,353",-28.4%,258,-36,$963,"$13,779,833",-,10
