TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
63,66,Dough,Men.,"$18,909",+31.1%,10,+3,"$1,891","$276,259",-,6
64,59,Born to be Blue,EOne,"$18,799",-17.8%,9,+7,"$2,089","$69,734",-,3
65,72,Spirits' Homecoming,PM&E,"$17,620",+76.0%,4,+2,"$4,405","$38,001",-,2
66,-,Under the Sea 3D,WB,"$16,573",-,6,-,"$2,762","$34,923,805",-,360
67,87,The Peanuts Movie,Fox,"$16,513",+482.5%,39,+26,$423,"$130,164,144",$99,20
68,N,Papa (Luo shan ji dao dan ji hua),Jampa,"$14,644",-,20,-,$732,"$14,644",-,1
69,76,Rams (Hrútar),Cohen,"$12,991",+101.0%,10,+3,"$1,299","$109,249",-,7
70,52,The Wave,Magn.,"$12,726",-64.8%,14,-23,$909,"$149,738",-,3
71,N,Ktown Cowboys,Free,"$12,523",-,4,-,"$3,131","$12,523",-,1
72,N,El Clan,FIP,"$12,519",-,3,-,"$4,173","$12,519",-,1
73,N,A Space Program,Zeit.,"$10,247",-,1,-,"$10,247","$10,247",-,1
74,64,Mustang,Cohen,"$10,101",-36.9%,13,-9,$777,"$812,697",-,18
75,N,Krisha,A24,"$9,880",-,2,-,"$4,940","$9,880",-,1
76,70,Trapped (2016),Abr.,"$9,347",-25.8%,6,-2,"$1,558","$55,460",-,3
77,67,2016 Oscar Nominated Short Films,Shrts.,"$8,228",-41.8%,10,-1,$823,"$2,812,088",-,8
78,N,Too Late,Vanishing,"$7,000",-,1,-,"$7,000","$7,000",-,1
79,N,Fireworks Wednesday,Ghop,"$6,132",-,1,-,"$6,132","$6,132",-,1
80,N,The Program (2016),EOne,"$5,763",-,18,-,$320,"$5,763",-,1
81,N,The Preppie Connection,IFC,"$5,576",-,2,-,"$2,788","$5,576",-,1
82,98,Chimes at Midnight (2016 re-release),Jan.,"$5,399",+300.5%,2,-,"$2,700","$123,398",-,12
83,60,Colliding Dreams,ICir,"$5,233",-75.1%,10,-4,$523,"$60,080",-,3
84,79,Cemetery of Splendor,Strand,"$4,951",-2.1%,6,+2,$825,"$27,179",-,3
85,74,Mountains May Depart,KL,"$4,946",-35.6%,10,+2,$495,"$43,004",-,6
86,N,Sweet Bean,KL,"$4,630",-,1,-,"$4,630","$4,630",-,1
87,-,Ran (2016 re-issue),Rialto,"$3,887",-,4,-,$972,"$31,446",-,4
88,45,The Boy and the Beast,FUN,"$3,536",-95.2%,5,-81,$707,"$487,042",-,3
89,71,The Dog Wedding,25th Frame,"$3,007",-75.2%,2,+1,"$1,504","$18,771",-,2
90,96,Born to Be Wild (IMAX),WB,"$2,886",+105.1%,4,-1,$722,"$24,537,908",-,247
91,103,Island of Lemurs: Madagascar (IMAX),WB,"$2,680",+142.3%,7,-2,$383,"$10,567,192",-,103
92,81,A War,Magn.,"$2,605",-43.0%,7,-8,$372,"$109,715",-,6
93,85,The Monkey King 2 in 3D,CL,"$2,379",-19.8%,1,-,"$2,379","$704,323",-,7
94,92,Janis: Little Girl Blue,FR,"$1,818",+0.1%,1,-,"$1,818","$394,516",-,17
